"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호...12","성분 및 원료","비고","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호2234","품목보고번호20170614111267","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명오늘부터 꼬옥 100%착즙 타트체리주스 NFC","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","체리주스","타트체리착즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2233","품목보고번호20170614111256","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명오늘부터 꼬옥 이너뷰티 ABC주스 콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)",NA,NA,NA,"1","2","3","4","5","6","7","8","과일혼합, 과즙","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)","자몽종자추출물","고형분37%(사과과즙액(국산)70%,사과과즙액(국산)70%.당근(국산)20%.레드비트(베트남산)10%","피쉬콜라겐분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2232","품목보고번호20170614111258","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명오늘부터 꼬옥 이너뷰티 어린 먹는 콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)",NA,NA,NA,"1","2","3","4","5","6","7",NA,"석류과즙","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,"고형분20%,석류(스페인산)100%","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2231","품목보고번호20170614111255","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명오늘부터 꼬옥 이너뷰티 타트체리 콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)",NA,NA,NA,"1","2","3","4","5","6","7",NA,"체리농축액","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,"고형분40%,타트체리100%)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2230","품목보고번호20170614111257","업소명(주)엔트리","품목유형혼합음료","유통/소비기한18개월","제품명오늘부터 꼬옥 이너뷰티 하프하프 호박 콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)",NA,NA,NA,"1","2","3","4","5","6","7","8","호박농축액","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)","자몽종자추출물","고형분40%,호박(독일산)100%","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2229","품목보고번호20130415052235","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오늘비움 스트롱","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216",NA,NA,NA,"1","2","3","4","5","6","7","8","정제수","자일리톨","유함유가공품","D-소비톨","만니톨","난소화성말토덱스트린(고시형)","천연요구르트향","석류농축액","","","락추로스 리퀴드","","","화이바솔-2","","","9","10","11","12","서양자두농축액","유산균배양건조물","탈지분유","황금혼합추출물","푸룬농축액","유산균배양분말(엔에프원사균체)","","복합황금추출물-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2228","품목보고번호20020623009478","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오늘은 복분자","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11",NA,NA,NA,"1","2","3","4","5","6","7","8","복분자농축액","아세로라농축분말","사양벌꿀","백설탕","액상과당","구연산","덱스트린","구연산삼나트륨","70brix","","","","","산도조절제","","산도조절제","9","10","11","12","레드칼라","카라멜색소","수크랄로스","복분자향","","","합성감미료","합성착향료","13","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2227","품목보고번호19860443015482","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오늘은 비움 Day","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8",NA,NA,NA,"1","2","3","4","5","6","7","8","정제수","식물혼합추출물","백포도농축액","브로콜리농축액","서양자두농축액","난소화성말토덱스트린분말(고시형)","프락토올리고당","사과농축액","","","","","푸룬농축액","","","","9","10","11","12","레드비트농축액","황금혼합추출물","야채혼합농축분말","비타민 C(고시형)","유기농레드비트농축액","복합황금추출물","","","13","포도씨앗추출물분말","포도씨추출분말","14","15","16","17","18","19","아로니아농축액","블랙엘더베리농축액","비타민B6염산염","비타민 B1염산염(고시형)","비타민 B2(고시형)","기타가공품","","엘더베리농축액","","","","열처리유산균, 유산균사균체분말"
"9","번호2226","품목보고번호19860443015575","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명오늘은 비움 Night","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8",NA,NA,NA,"1","2","3","4","5","6","7","8","정제수","D-소비톨액","서양자두농축액","난소화성말토덱스트린(고시형)","프락토올리고당","사과농축액","당류가공품","체리농축액","","솔비톨","푸룬농축액","","","","락추로스","","9","10","11","12","자일리톨","브로콜리농축액","황금혼합추출물","야채혼합농축분말","","","복합황금추출물","","13","올리고당","네오고스, 네오GOS","14",NA,NA,NA,NA,NA,"기타가공품",NA,NA,NA,NA,NA,"열처리유산균, 유산균사균체분말",NA,NA,NA,NA,NA
"10","번호2225","품목보고번호20020623009146","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한유통기한 단축(유리병100ml : 24개월 → 18개월)","제품명오늘은 석류","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11",NA,NA,NA,"1","2","3","4","5","6","7","8","석류농축액","사과식초","액상과당","구연산","덱스트린","콜라겐펩타이드","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11","12","레드칼라","카라멜색소","폴리소르베이트80","석류향",NA,NA,NA,NA,"13","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
