"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호841","품목보고번호20190413079103","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명테이크 얼라이브 쿨 샤인머스캣","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","12","기타과당","과.채가공품","유산균배양액","카르복시메틸셀룰로오스","청포도농축액","DL-사과산","합성향료","합성향료","구연산삼나트륨","비타민C","수크랄로스","정제수","","샤인머스캣혼합농축액","유산균시럽","","스페인산","","샤인머스캣향1","샤인머스캣향2","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호840","품목보고번호2019041307986","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명테이크 얼라이브 쿨 스위티자몽","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11",NA,"기타과당","자몽농축액","유산균배양액","카르복시메틸셀룰로오스","DL-사과산","자몽향","시트러스믹스향","구연산삼나트륨","비타민C","수크랄로스","정제수",NA,"","스위티자몽농축액","유산균시럽","","","자몽향W","시트러스믹스향TT","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호839","품목보고번호20200401439109","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명테이크핏 맥스 고소한맛","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","정제수","분리대두단백분말","분리유단백분말","유당분해우유","원액두유","곡류가공품","농축유단백","L-로이신","L-라이신염산염","비타민B6염산염","자당지방산에스테르","카라기난","","","","","","오곡분말(찐현미, 백태, 율무, 조, 수수)","","","","","","","13","14","15","16","17","18","19","20","21","22","23","탄산수소나트륨","수크랄로스","셀룰로오스혼합제제","젤란검","아세설팜칼륨","합성향료","합성향료","합성향료","합성향료","α-아밀라아제","셀룰라아제","","","결정셀룰로스, 셀룰로스검","","","오곡향","오곡향","오곡향","밤향","효소제제(α-아밀라아제)","효소제제(셀룰라아제)"
"4","번호838","품목보고번호20200401439138","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명테이크핏 맥스 바나나맛","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","정제수","분리대두단백분말","분리유단백분말","유당분해우유","원액두유","농축유단백","L-라이신염산염","L-로이신","과.채가공품","탄산수소나트륨","자당지방산에스테르","카라기난","","","","","","","","","바나나과즙농축액","","","","13","14","15","16","17","18",NA,NA,NA,NA,NA,"셀룰로오스혼합제제","수크랄로스","아세설팜칼륨","비타민B6염산염","향료","향료",NA,NA,NA,NA,NA,"결정셀룰로스, 셀룰로스검","","","","","",NA,NA,NA,NA,NA
"5","번호837","품목보고번호2022068312914","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명테이크핏 맥스 바나나맛","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","정제수","분리대두단백분말","분리유단백분말","유당분해우유","원액두유","농축유단백","L-라이신염산염","L-로이신","과.채가공품","탄산수소나트륨","자당지방산에스테르","카라기난","","","","","고형분 7% 이상","","","","바나나과즙농축액","","","","13","14","15","16","17","18","19","20",NA,NA,NA,"셀룰로오스혼합제제","비타민 B6 염산염 혼합제제","수크랄로스","아세설팜칼륨","향료","향료","향료","향료",NA,NA,NA,"결정셀룰로스, 셀룰로스검결정","","","","바나나향","바닐라향","바나나향","바나나향",NA,NA,NA
"6","번호836","품목보고번호20200401439110","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명테이크핏 맥스 초코맛","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"기타가공품","혼합제제","혼합제제","혼합제제","합성향료",NA,NA,NA,NA,NA,NA,NA,"맥스 단백 포뮬러","합성향료, 프로필렌글리콜, 합성향료","프로필렌글리콜, 카라멜화설탕, 카카오추출물, 에틸바닐린, 합성향료","주정, 트리아세틴, 정제수, 합성향료, d-토코페롤, 천연향료","바닐라후레바",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호835","품목보고번호19890449002184","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명테이크핏 밸런스 곡물맛","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","11","12","원유","원액두유","농축유단백","분리대두단백","혼합제제","산화아연","칼슘혼합제제","수산화마그네슘","자당지방산에스테르","카라기난","백설탕","L-발린","유당분해원유","","","","비타민프리믹스ND/M03","","SOLFA-Ca 1200","","","","","","13","14","15","16","17","18","19",NA,NA,NA,NA,"두류가공품","프락토올리고당","덱스트린","합성향료","합성향료","정제수","곡류가공품",NA,NA,NA,NA,"검은콩농축액","","","오곡향","토피넛향","","오곡분말",NA,NA,NA,NA
"8","번호834","품목보고번호19890449002185","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명테이크핏 밸런스 커피맛","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","11","12","원유","원액두유","농축유단백","분리대두단백","혼합제제","산화아연","칼슘혼합제제","수산화마그네슘","자당지방산에스테르","카라기난","백설탕","L-발린","유당분해원유","","","","비타민프리믹스ND/M03","","SOLFA-Ca 1200","","","","","","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,"커피","합성향료","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,"듀얼딥프레소 커피 추출액, 고형분 7.0~7.4%","커피향","","",NA,NA,NA,NA,NA,NA,NA
"9","번호833","품목보고번호2022068312919","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명테이크핏 퓨어프로틴 샤인머스캣맛","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","정제수","L-트립토판","기타가공품","글리신","염화칼륨","염화마그네슘","젖산칼슘","수크랄로스","아세설팜칼륨","정제소금","구연산","DL-사과산","","","초저분자 피쉬콜라겐 펩타이","","","","","","","","","","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,"치자청색소","구연산삼나트륨","홍화황색소","향료",NA,NA,NA,NA,NA,NA,NA,"","","","샤인머스캣향",NA,NA,NA,NA,NA,NA,NA
"10","번호832","품목보고번호2022068312920","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명테이크핏 퓨어프로틴 자몽맛","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타가공품","L-트립토판","글리신","염화칼륨","염화마그네슘","젖산칼슘","수크랄로스","아세설팜칼륨","정제소금","구연산","DL-사과산","","초저분자 피쉬콜라겐 펩타이드","","","","","","","","","","","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,"구연산삼나트륨","서류가공품","향료",NA,NA,NA,NA,NA,NA,NA,NA,"","자색고구마분말","자몽향",NA,NA,NA,NA,NA,NA,NA,NA
