"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","성분 및 원료4","비고4"
"1","번호4257","품목보고번호201001881095","업소명비슬미나리농장영농조합법인","품목유형혼합음료","유통/소비기한24개월","제품명미나리린[REEN]","분류식품","업체명","비슬미나리농장영농조합법인","소재지","대구광역시 달성군 논공읍 약산덧재길 166-7","1","2","3","발효식초","액상차","정제수","미나리흑초[미나리발효액(미나리국내산)29.78%, 정제수]","미나리수[미나리(국내산)61%, 흑설탕]","",NA,NA,NA
"2","번호4256","품목보고번호20170614111446","업소명(주)엔트리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명미나리혼합농축액","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","미나리","사과농축액","프락토올리고당","미나리착즙액[10Brix]","65Brix","","4","사양벌꿀",""
"3","번호4255","품목보고번호2012057308041","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명미네락","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA
"4","번호4254","품목보고번호2012057308055","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명미네락300","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,"정제수","염화칼륨",NA,NA,NA,NA,NA,NA,NA
"5","번호4253","품목보고번호2012057308056","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명미네락600","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,"정제수","염화칼륨",NA,NA,NA,NA,NA,NA,NA
"6","번호4252","품목보고번호2014021650620","업소명(주)물마루","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명미네랄 닥터 플러스","분류식품","업체명","(주)물마루","소재지","광주광역시 서구 월드컵4강로112번길 7(1층 화정동)","1","2",NA,"지하수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA
"7","번호4251","품목보고번호201402165065","업소명(주)물마루","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명미네랄 메이킹 7.4","분류식품","업체명","(주)물마루","소재지","광주광역시 서구 월드컵4강로112번길 7(1층 화정동)","1","2",NA,"지하수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA
"8","번호4250","품목보고번호19950622022153","업소명농업회사법인 동의바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명미네랄워터스프링","분류식품","업체명","농업회사법인 동의바이오 주식회사","소재지","경상남도 산청군 단성면 동방실로 80-22","1","2","3","정제수","셀레늄(고시형)","황산마그네슘",NA,NA,NA,NA,NA,NA
"9","번호4249","품목보고번호2019026365068","업소명주식회사 메가바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명미네랄파동수","분류식품","업체명","주식회사 메가바이오","소재지","세종특별자치시 연동면 노송강당길 24-1","1","2",NA,"정제수","산화아연",NA,NA,NA,NA,NA,NA,NA
"10","번호4248","품목보고번호201901611181","업소명대자연팔공수","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명미네랄팔공수","분류식품","업체명","대자연팔공수","소재지","대구광역시 동구 팔공산로 310(A동 1층 송정동)","1","2",NA,"정제수","혼합음료",NA,"지하수","파워미네랄",NA,NA,NA,NA
