"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고5","비고6","비고7","비고8","비고9"
"1","번호5382","품목보고번호2002046327524","업소명김순주 생강한과","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명김순주 식혜","분류식품","업체명","김순주 생강한과","소재지","충청남도 서산시 부석면 봉락지산길 211-16","1","2","3","4","쌀","설탕","엿기름","정제수","국산","","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5381","품목보고번호20180389742118","업소명농업회사법인(주)개성상인-제2공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명김오곤 녹용천국","분류식품","업체명","농업회사법인(주)개성상인-제2공장","소재지","경기도 양주시 은현면 검준2길 382-13(1층일부)","1","2","3","4","홍삼혼합추출액","액상과당","카라멜색소","카복시메틸셀룰로스나트륨","고형분 2%","","","","5","6","7","8","9","익모초농축액","구연산","비타민C","허브향","녹용추출액","","","","","고형분 0.3%"
"3","번호5380","품목보고번호20180389742122","업소명농업회사법인(주)개성상인-제2공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명김오곤 원장의 명작보","분류식품","업체명","농업회사법인(주)개성상인-제2공장","소재지","경기도 양주시 은현면 검준2길 382-13(1층일부)","1","2","3","4","홍삼혼합추출액","액상과당","이소말토올리고당","익모초농축액","녹용홍삼혼합추출액(고형분 2% 이상)","","","","5","6","7","8",NA,"카라멜색소","카복시메틸셀룰로스나트륨","구연산","허브향",NA,"","","","",NA
"4","번호5379","품목보고번호20180389742131","업소명농업회사법인(주)개성상인-제2공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명김오곤미인석류 콜라겐","분류식품","업체명","농업회사법인(주)개성상인-제2공장","소재지","경기도 양주시 은현면 검준2길 382-13(1층일부)","1","2","3","4","석류과즙","홍삼농축액","콜라겐","식물혼합추출액","","홍삼성분 70mg/g, 고형분 60% 이상","저분자콜라겐","고형분 2% 이상","5","6",NA,NA,NA,"프락토올리고당","카복시메틸셀룰로스나트륨",NA,NA,NA,"","",NA,NA,NA
"5","번호5378","품목보고번호2018038974289","업소명농업회사법인(주)개성상인-제2공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명김오곤원장의 녹용홍삼보","분류식품","업체명","농업회사법인(주)개성상인-제2공장","소재지","경기도 양주시 은현면 검준2길 382-13(1층일부)","1","2","3","4","홍삼혼합추출액","액상과당","이소말토올리고당","카라멜색소","녹용홍삼혼합추출액, 고형분 2%","","","","5","6","7","8",NA,"카복시메틸셀룰로스나트륨","구연산","익모초농축액","허브향",NA,"","","","",NA
"6","번호5377","품목보고번호20170614111409","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명김오곤원장의녹용홍삼보","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","홍삼혼합추출액","액상과당","이소말토올리고당(기능성원료인정제2005-10호)","카라멜색소","녹용홍삼혼합추출액(고형분2%)","","","","5","6","7","8",NA,"카복시메틸셀룰로스나트륨","구연산","익모초농축액","허브향",NA,"","","","",NA
"7","번호5376","품목보고번호20180389742148","업소명농업회사법인(주)개성상인-제2공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명김오곤의 신관통","분류식품","업체명","농업회사법인(주)개성상인-제2공장","소재지","경기도 양주시 은현면 검준2길 382-13(1층일부)","1","2","3","4","대보추출액","액상과당","두충쇠무릅추출액","두충추출액","대보추출진액 (고형분 3.2%)","","우슬추출액","고형분 0.35%","5","6","7","8",NA,"카라멜색소","카복시메틸셀룰로스나트륨","보스웰리아추출물분말","허브향",NA,"","","","",NA
"8","번호5375","품목보고번호200805432324","업소명안동식혜 영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명김유조 안동감주식혜","분류식품","업체명","안동식혜 영농조합법인","소재지","경상북도 안동시 송천길 123(송천동)","1","2","3","4","정제수","설탕","찹쌀","멥쌀",NA,NA,NA,NA,"5","6",NA,NA,NA,"엿기름","생강",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5374","품목보고번호200805432322","업소명안동식혜 영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명김유조안동단호박식혜","분류식품","업체명","안동식혜 영농조합법인","소재지","경상북도 안동시 송천길 123(송천동)","1","2","3","4","정제수","식물혼합추출액","설탕","단호박분말","","엿기름, 쌀혼합추출액(고형분 4% 이상)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5373","품목보고번호200805432327","업소명안동식혜 영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명김유조안동수정과","분류식품","업체명","안동식혜 영농조합법인","소재지","경상북도 안동시 송천길 123(송천동)","1","2","3","4","정제수","계피추출액","생강추출액","백설탕",NA,NA,NA,NA,"5",NA,NA,NA,NA,"흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA
