"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호...51","성분 및 원료","비고"
"1","번호1293","품목보고번호20030415157473","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명짜먹는 에너지 한톡","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","망고농축액","벌꿀","파인애플농축액","강황추출물분말","이노시톨","구연산","트로피칼향혼합제제","잔탄검","아미노산혼합분말","황금혼합추출물","타우린","","","잡화꿀","","수용성강황추출물분말(뿌리줄기)","","","","","","복합황금추출물","",NA,NA,NA,NA,NA,NA
"2","번호1292","품목보고번호198506140552810","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명짜먹는 콜라겐 1000","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","식품첨가물혼합제제","기타가공품","구연산","식품첨가물혼합제제","샤베트믹스","젖산칼슘","구연산삼나트륨","비타민C","수크랄로스","자주색고구마색소","","","검믹스 #16412","피쉬콜라겐","","요거트 후레바","유산균배양액베이스","","","","","","13","천연카로틴","천연카로틴-엘",NA,NA,NA
"3","번호1291","품목보고번호2016052105358","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명짱구는 못말려 딸기맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","액상과당","탈지분유","딸기농축액","구연산(무수)","두류가공품","젖산칼슘","합성향료","합성향료","수크랄로스","시트러스향","","","","마국산","이스라엘산","","대두다당류","","딸기향1","딸기향2","","",NA,NA,NA,NA,NA,NA
"4","번호1290","품목보고번호2016052105357","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명짱구는 못말려 요구르트맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","액상과당","설탕","탈지분유","구연산(무수)","두류가공품","젖산칼슘","요구르트향","밀크향","수크랄로스","시트러스향",NA,"","","","미국산","","대두다당류","","합성향료","합성향료","인공감미료","",NA,NA,NA,NA,NA,NA,NA
"5","번호1289","품목보고번호20070464094285","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쪼꼬달달 아이스쵸코","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","코코아분말","백설탕","전지분유","정제소금","카라기난","탄산수소나트륨","초콜릿향","정제수","탈지분유","잔탄검","카르복시메틸셀룰로오스나트륨","자당지방산에스테르","","","혼합전지분유","","","","","","","","","슈가에스테르 P-1670","13","자당지방산에스테르","슈가에스테르 S-570",NA,NA,NA
"6","번호1288","품목보고번호202208601642","업소명사천당","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명찐단호박식혜","분류식품","업체명","사천당","소재지","경상남도 사천시 사남면 진삼로 1222(102호)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀","서양호박","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1287","품목보고번호2013041505220","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한18개월","제품명차가보감","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"차가버섯추출물분말","시클로덱스트린","대보농축액","황금혼합추출물","정제수","녹용추출분말","인삼열매농축액",NA,NA,NA,NA,NA,"DRY CHAGA EXTRACT","베타","60Brix","","","녹용추출물분말","60Brix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1286","품목보고번호20080358277237","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명차를달이다유기농느린수정과","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"정제수","계피","생강","설탕","곶감",NA,NA,NA,NA,NA,NA,NA,"","유기농계피","유기농생강","유기농설탕","유기농곶감",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1285","품목보고번호20080358277238","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명차를달이다유기농느린식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"설탕","쌀","정제수","엿기름",NA,NA,NA,NA,NA,NA,NA,NA,"유기농설탕","유기농쌀","","유기농엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1284","품목보고번호19890445014399","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명차키토","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","원재료미등록",NA
