"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18","번호...66","성분 및 원료","비고"
"1","번호4364","품목보고번호19860443015102","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한25개월","제품명메타베리","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","액티브알로에","블루베리농축쥬스","크랜베리농축쥬스","페리농축쥬스","포도농축쥬스","맥셀","은행추출물분말","알파리포익에시드","소르빈산칼륨","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4363","품목보고번호20100543066890","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명멜론요거트","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","설탕","탈지분유","샤베트믹스","멜론농축액","카복시메틸셀룰로스나트륨","합성향료","구연산","두류가공품","구연산삼나트륨","","","","혼합탈지분유(우유, 네덜란드산)","요구르트베이스(국내산)","이스라엘산, 배합함량 100%, 멜론과즙으로 환원기준 5%","","멜론향","","대두다당류","","12","13","14","15","유화제","식용색소황색제4호","식용색소청색제1호","기타가공품","","착색료","착색료","열처리유산균nF1[Lactobacillus Plantarum:nF1-S25(사균체)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4362","품목보고번호2019036318413","업소명(주)어니스트에프앤티 농업회사법인","품목유형혼합음료","유통/소비기한냉장 12개월","제품명멜론향 워터젤리","분류식품","업체명","(주)어니스트에프앤티 농업회사법인","소재지","경기도 용인시 처인구 신송로 38(1~3층 마평동)","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","백설탕","혼합제제","멜론향","치자황색소","치자청색소","혼합제제",NA,NA,NA,NA,"","","슈퍼겔KW","","N0.100P","AJ-805141","엘에스-303(소포제)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4361","품목보고번호2020044271671","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명면역애글루칸","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3","4","5","6","7","8","9","10","11","식물혼합추출물","정제수","기타과당","이소말토올리고당","벌꿀","대추농축액","감초농축액","비타민C","기타가공품","구연산","자몽종자추출물","고형분1%","","고과당","","잡화","고형분60%","고형분55%","","치마버섯균사체배양물 베타글루칸36.17%","","","12","13","14","15","펙틴","비타민 B6 염산염 혼합제제","니코틴산아미드","식염","","","","","16","17","18","비타민B1염산염","구연산삼나트륨","산화아연","","","",NA,NA,NA
"5","번호4360","품목보고번호2000046705286","업소명한국금차도","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명명(命)","분류식품","업체명","한국금차도","소재지","충청남도 금산군 금산읍 군청8길 6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산호분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4359","품목보고번호200004580709","업소명민속식품","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명명간보","분류식품","업체명","민속식품","소재지","충청남도 공주시 마티길 238-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","헛개나무열매",NA
"7","번호4358","품목보고번호201905710254","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한영하18도이하 12개월냉동보관","제품명명랑시대 식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,"맥아","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4357","품목보고번호2020034957228","업소명전시현메디컬푸드","품목유형혼합음료","유통/소비기한제조일로부터 1개월","제품명명인 전시현 전통수정과","분류식품","업체명","전시현메디컬푸드","소재지","경기도 남양주시 두물로39번길 30-12(1층 일부호 별내동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"정제수","생강","대추","갈색설탕",NA,NA,NA,NA,NA,NA,NA,"","","","흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4356","품목보고번호2020034957229","업소명전시현메디컬푸드","품목유형혼합음료","유통/소비기한제조일로부터 1개월","제품명명인 전시현 전통식혜","분류식품","업체명","전시현메디컬푸드","소재지","경기도 남양주시 두물로39번길 30-12(1층 일부호 별내동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"엿기름","멥쌀","설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4355","품목보고번호20050555180768","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명명인딸기ADE","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","딸기","구연산","향료","향료","혼합제제","구연산삼나트륨","잔탄검","수크랄로스","식용색소적색제40호","","","딸기퓨레","함수구연산","딸기향#1","딸기향#3","시트러스향(글리세린, 정제수, 아라비아검, D-소비톨액, 자당지방산에스테르, 정제가공유지, 주정, 천연향료)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
