"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호4892","품목보고번호20130415052112","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명동리화 콜라겐","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","생선콜라겐","올리고당","석류농축액","사과농축액","석류향","황금혼합추출물","구연산","비타민 C 분말","효소처리스테비아","구연산삼나트륨","자일리톨","DL-사과산","비타민미네랄혼합제제","히알루론산혼합제제","엘라스틴가수분해물","정제소금","","저분자피쉬콜라겐","프락토올리고당","","","F-21135","복합황금추출물-2","","","레바텐프리미엄","","","","멀티비타텐프리믹스","","PROLASTIN, 엘라스틴","본소금"
"2","번호4891","품목보고번호2020055928367","업소명농업회사법인(주)동서건강","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명동서 녹용홍삼골드","분류식품","업체명","농업회사법인(주)동서건강","소재지","경상북도 영천시 한방로 269(주1동 작산동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"홍삼혼합추출액","액상과당","구연산","허브향","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"녹용홍삼혼합추출액, 고형분 2%이상","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4890","품목보고번호19890445014304","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명동성가시오가피","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"가시오갈피엑기스","대추엑기스","소나무잎엑기스","감초엑기스","로얄젤리추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4889","품목보고번호19890445014308","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명동성굿샷","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"키토올리고-L","L-아스파라긴","타우린","벌꿀","차추출물","액상과당","말토덱스트린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4888","품목보고번호19890445014303","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명동성로얄에프","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"벌꿀","로얄젤리추출물","액상과당","구연산","구연산삼나트륨","비타민 B1(고시형)","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4887","품목보고번호19940474018375","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명동성비타C골드","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"비타민C","사과농축액","액상과당","타우린0","구연산","구연산삼나트륨","효소처리스테비아","비타민B2","잔탄검","정제염","DL-사과산","드링크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4886","품목보고번호19890445014301","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한1년","제품명동성비타에프","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"농축사과과즙","액상과당","스테비텐라이트","구연산","구연산삼나트륨","비타민C","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4885","품목보고번호19890445014307","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명동성산수유","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"산수유엑기스","벌꿀","액상과당","백설탕","말토덱스트린","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4884","품목보고번호19890445014306","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명동성석류500골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","농축사과과즙","감식초","폴리덱스트로스","액상과당","말토덱스트린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4883","품목보고번호19890445014294","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명동성쌍화","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌍화농축액","천궁농축액","감초농축액","액상과당","스테비안","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
