"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호2953","품목보고번호200604671148","업소명주식회사 현가","품목유형혼합음료","유통/소비기한12개월(냉동보관)","제품명쌀이좋은세상식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","설탕","엿기름","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2952","품목보고번호2014060761421","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명쌍감","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","과당옥수수시럽","쌍화농축액","대추농축액","카라멜색소",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","13","14","구연산삼나트륨","비타민 B1라우릴황산염(고시형)","생강향","쌍화향","대추향","가공소금","생강농축액","구연산","효소처리스테비아","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2951","품목보고번호20090440068456","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명쌍둥이루지 메롱","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","혼합음료","혼합음료","혼합음료","혼합음료","쌍둥이루지 메롱 딸기맛","쌍둥이루지 메롱 사과맛","쌍둥이루지 메롱 포도맛","쌍둥이루지 메롱 복숭아맛",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2950","품목보고번호2009044006815","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명쌍둥이루지 메롱 딸기맛","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","정제수","기타과당","설탕","포도당","","","","","5","6","7","8","9","10","11",NA,NA,NA,"카라기난혼합제제","DL-사과산","딸기향","식용색소적색제40호","구연산","효소처리스테비아","딸기농축액",NA,NA,NA,"카라겐45","","","","","","",NA,NA,NA
"5","번호2949","품목보고번호2009044006819","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명쌍둥이루지 메롱 복숭아맛","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","정제수","기타과당","설탕","포도당","","","","","5","6","7","8","9","10","11",NA,NA,NA,"카라기난혼합제제","DL-사과산","복숭아향","구연산","식용색소황색제5호","효소처리스테비아","복숭아농축액",NA,NA,NA,"카라겐45","","","","","","",NA,NA,NA
"6","번호2948","품목보고번호2009044006818","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명쌍둥이루지 메롱 사과맛","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","정제수","기타과당","설탕","포도당","","","","","5","6","7","8","9","10","11",NA,NA,NA,"카라기난혼합제제","DL-사과산","사과향","구연산","효소처리스테비아","사과농축액","혼합제제",NA,NA,NA,"카라겐45","","","","","","식용색소혼합녹색",NA,NA,NA
"7","번호2947","품목보고번호2009044006817","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명쌍둥이루지 메롱 포도맛","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","정제수","기타과당","설탕","포도당","","","","","5","6","7","8","9","10","11","12",NA,NA,"카라기난혼합제제","DL-사과산","포도향","구연산","식용색소청색제1호","효소처리스테비아","백포도농축액","포도농축액",NA,NA,"카라겐45","","","","","","","",NA,NA
"8","번호2946","품목보고번호2013044306143","업소명(주)에그앤씨드 진천공장","품목유형혼합음료","유통/소비기한냉장 28일","제품명쌍쌍화 라떼","분류식품","업체명","(주)에그앤씨드 진천공장","소재지","충청북도 진천군 덕산읍 석장로 101","1","2","3","4","우유","식물혼합농축액","당류","용설란시럽","유기농,국내산","국내산","유기농메이플시럽,캐나다산","유기농아가베시럽,멕시코산","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"벌꿀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"국내산","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2945","품목보고번호19940543023180","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명쌍화-A","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","쌍화추출액","기타과당","구연산","글리신","고형분2.555%(정제수,작약31.황기12.당귀12.천궁12.대추3.건강1.산약1:국산).(숙지황15.계피8.감초5:수입산)","","","","5","6","7","8","9",NA,NA,NA,NA,NA,"정제소금","안식향산나트륨","혼합제제","쌍화향","정제수",NA,NA,NA,NA,NA,"","보존료","(효소처리.텍스트린)","합성향료","",NA,NA,NA,NA,NA
"10","번호2944","품목보고번호1987047000466","업소명조선홍삼제조(주)","품목유형혼합음료","유통/소비기한24개월간","제품명쌍화골드","분류식품","업체명","조선홍삼제조(주)","소재지","충청남도 부여군 석성면 왕릉로455번길 5","1","2","3","4","쌍화엑기스","액상과당","구연산","카라멜",NA,NA,NA,NA,"5","6",NA,NA,NA,NA,NA,NA,NA,NA,"에탄올","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
