"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12"
"1","번호1087","품목보고번호2017055519515","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명카페모아 복숭아아이스티","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","복숭아농축액","구연산","복숭아향","홍차향","홍차분말","물엿","구연산삼나트륨","수크랄로스","비타민C","","","","함수구연산","합성향료","혼합제제","","말트익스트렉트","구연산나트륨","","",NA,NA,NA
"2","번호1086","품목보고번호2017055519519","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페모아 자두에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","자두농축액","구연산","자두향","적양배추색소","잔탄검","구연산삼나트륨","수크랄로스","식용색소적색제40호",NA,"","","칠레산","함수구연산","","","","구연산나트륨","","",NA,NA,NA,NA
"3","번호1085","품목보고번호20050555180641","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페모아 자두에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","자두농축액","구연산","자두향","적양배추색소","잔탄검","구연산삼나트륨","수크랄로스","식용색소적색제40호",NA,"","","칠레산","함수구연산","","","","구연산나트륨","","",NA,NA,NA,NA
"4","번호1084","품목보고번호20050555180643","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페모아 청포도에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","백포도농축액","구연산","말토덱스트린혼합제제","청포도향","수크랄로스","구연산삼나트륨","식용색소황색제4호","식용색소청색제1호",NA,"","","스페인산","함수구연산","말토덱스트린","","","구연산나트륨","","",NA,NA,NA,NA
"5","번호1083","품목보고번호2017055519518","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페모아 청포도에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","백포도농축액","구연산","말토덱스트린혼합제제","청포도향","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소청색제1호",NA,"","","스페인산","함수구연산","말토덱스트린","","구연산나트륨","","","",NA,NA,NA,NA
"6","번호1082","품목보고번호20050555180738","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지(수출용) / 제조일로부터 24개월까지(내수용)","제품명칸타빌레 더블망고에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","망고농축액","망고향","구연산","잔탄검","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소황색제4호","식용색소황색제5호","","","","합성향료","","","구연산나트륨","","","","",NA,NA,NA
"7","번호1081","품목보고번호20050555180553","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지(수출용) / 제조일로부터 24개월까지(내수용)","제품명칸타빌레 망고코코넛","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","망고농축퓌레","구연산","코코넛향","망고향","코코넛","젖산칼슘","젤란검","비타민C","카로틴색소","","","망고퓨레농축액[배합함량 망고100%]","","","","코코넛워터[배합함량 코코넛100%]","","","","","12","수크랄로스",""
"8","번호1080","품목보고번호2017055519565","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지(수출용) /제조일로부터 24개월까지(내수용)","제품명칸타빌레 복숭아아이스티","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","복숭아농축액","구연산","복숭아향","홍차향","홍차추출분말","물엿","구연산삼나트륨","수크랄로스","비타민C","","","","함수구연산","합성향료","혼합제제","","말트익스트렉트","","","",NA,NA,NA
"9","번호1079","품목보고번호20050555180552","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지(수출용) / 제조일로부터 24개월까지(내수용)","제품명칸타빌레 복숭아아이스티","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","복숭아농축액","구연산","복숭아향","홍차향","홍차추출분말","물엿","구연산삼나트륨","수크랄로스","비타민C","","","배합함량 복숭아100%","함수구연산","합성향료","혼합제제","","말트익스트렉트","","","",NA,NA,NA
"10","번호1078","품목보고번호2017055519577","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지(내수용) / 제조일로부터 36개월까지(수출용)","제품명칸타빌레 블루베리 에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","백설탕","블루베리농축액","구연산","Red grape농축액","블루베리향","치자청색소","블랙커런트색소","카복시메틸셀룰로스나트륨","효소처리스테비아","","","","배합함향 블루베리 100%","","배합함향 적포도 100%","합성향료","블루칼라 AF5","","","","12","레드칼라",""
