"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12"
"1","번호4712","품목보고번호19890445014807","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명레몬밤 석류","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","레몬밤추출물","석류농축액","수크랄로스","구연산","덱스트린","혼합제제","석류향","정제수","(레몬밤:독일산,고형분:1.0%이상)","(이스라엘산,고형분:65%)","감미료","","말토덱스트린","레드칼라","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4711","품목보고번호19890445014806","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명레몬밤 자몽","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","레몬밤추출물","자몽농축액","수크랄로스","설탕","구연산","덱스트린","혼합제제","자몽향","(레몬밤:독일산,고형분:1.0%이상)","(미국산,고형분:61%)","감미료","","","말토덱스트린","레드칼라","합성착향료","9","10","오렌지향","정제수","합성착향료","",NA,NA,NA,NA,NA,NA
"3","번호4710","품목보고번호20140395066235","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명레몬밤피치맛 곤약젤리","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","정제수","레몬밤추출물","치자황색소","혼합제제","구연산삼나트륨","구연산","곤약분말","복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4709","품목보고번호2015041501388","업소명(주)바른음료","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명레몬배","분류식품","업체명","(주)바른음료","소재지","충청북도 청주시 서원구 현도면 선동2길 220","1","2","3","4","5","6","7","8","설탕","과.채가공품","과.채가공품","구연산","비타민C","합성향료","합성향료","치자황색소","","레몬농축액","배농축액","","","배향","레몬향","","9",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA
"5","번호4708","품목보고번호20070464094300","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터9개월","제품명레몬비타1000아이스","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","과.채가공품","벌꿀","설탕","구연산","구연산삼나트륨","비타민C","효소처리루틴","홍화황색소","레몬청진농축액 이스라엘","","","결정","","","","분말산옐로우No.2","9","10","합성향료","합성향료","시트러스향","레몬향","11","12","천연향료","정제수","레몬향",""
"6","번호4707","품목보고번호19930571069404","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명레몬수","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","레몬농축액","구연산삼나트륨","비타민C","식염","구연산(결정)","레몬향","라임향","홍차향","이스라엘산 64.0브릭스","","","","","","","","9",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA
"7","번호4706","품목보고번호19890445014874","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명레몬아이스티","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","홍차분말","레몬농축액","설탕","기타과당","수크랄로스","구연산","혼합제제","정제수","","","","(고과당)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4705","품목보고번호2021055909227","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레몬액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,"레몬밤추출물","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,"레몬밤추출분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4704","품목보고번호2018049104449","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명레몬에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","정제수","백설탕","음료베이스","구연산","혼합제제","구연산삼나트륨","레몬농축액","혼합제제","","","음료베이스(분말제품)/컨츄리타임 레몬에이드 믹스[천연향료(레몬향)0.1%함유],미국","용도:산도조절제","레몬향AC14209","용도:산도조절제","65Brix,이스라엘산","라임향JY070107","9","10","수크랄로스","홍화황색소","용도:감미료","",NA,NA,NA,NA,NA,NA
"10","번호4703","품목보고번호19930571069561","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명레몬에이드","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","레몬농축액","설탕","구연산","구연산삼나트륨","덱스트린","DL-사과산","수크랄로스","시트러스향","65brix","","함수","","","","","","9","10","홍화황색소","레몬향","","","11","12","라임향","정제수","",""
