"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","번호22","번호23","성분 및 원료22","성분 및 원료23","비고22","비고23"
"1","번호5917","품목보고번호20020623009586","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명SAVIA 코코넛 드링크 파인애플","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","코코넛젤리","젤란검","구연산삼나트륨","액상과당","구연산","비타민C","젖산칼슘","수크랄로스","β-카로틴","파인애플향","정제수","","","","","","","","","수용성베타카로틴","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5916","품목보고번호20020623009358","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명SAVIA 코코넛 드링크알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","코코넛젤리","알로에베라겔분말","젤란검","구연산삼나트륨","설탕","구연산","비타민C","젖산칼슘","시트러스향","코코넛향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5915","품목보고번호20020623009359","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일부터 24부터","제품명SAVIA 코코넛 리치맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,"코코넛젤리","젤란검","구연산삼나트륨","액상과당","구연산","비타민C","효소처리스테비아","젖산칼슘","리치향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5914","품목보고번호2020017614717","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명SFG 정성을 듬뿍담은 단호박 식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","찹쌀","엿기름","설탕","서양호박",NA,NA,NA,NA,NA,NA,"","","","","단호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5913","품목보고번호2020017614719","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명SFG 정성을 듬뿍담은 수정과식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","엿기름","찹쌀","계피","백설탕","생강","기타설탕","기타설탕",NA,NA,NA,"","","","","","","비정제사탕수수당","흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5912","품목보고번호2020017614718","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명SFG 정성을 듬뿍담은 전통식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"정제수","엿기름","찹쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5911","품목보고번호19920624042523","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명SOLID Health & Vitality Drink","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","타우린","구연산","사과농축액","벌꿀","드링크향","효소처리스테비아","안식향산나트륨","드링크향","드링크향","염화나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","17","18","19","20","21","카페인","DL-사과산","니코틴산아미드","이노시톨","L-라이신","홍삼농축액","비타민 B6(고시형)","비타민B12","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5910","품목보고번호19920624042524","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명SOLID Health & Vitality Drink Suger Free","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","구연산","타우린","드링크향","사과농축액","벌꿀","안식향산나트륨","드링크향","드링크향","염화나트륨","카페인",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","17","18","19","20","21","DL-사과산","수크랄로스","아세설팜칼륨","니코틴산아미드","이노시톨","홍삼농축액","L-라이신","비타민 B6(고시형)","비타민B12","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","23","비타민B2","정제수",NA,NA
"9","번호5909","품목보고번호19930443046106","업소명동서식품(주)","품목유형혼합음료","유통/소비기한제조일부터 9개월","제품명STARBUCKS 시그니처 초콜릿 드링크","분류식품","업체명","동서식품(주)","소재지","충청북도 진천군 광혜원면 광혜원산단2길 78-11","1","2","3","4","5","6","7","8","9","10",NA,"우유","정제수","설탕","초콜릿","코코아분말","유화제","합성향료","탄산수소나트륨","혼합제제","정제소금",NA,"","","","시그니처 초콜릿 파우더","","","초콜릿향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5908","품목보고번호20020623009403","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명SUN COCONUT FLAVOR","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,"코코넛젤리","알로에베라겔분말","구연산","백설탕","비타민C","구연산삼나트륨","젖산칼슘","젤란검","코코넛향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
