"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","성분 및 원료15","비고15"
"1","번호3610","품목보고번호20030563012111","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명비타애플100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11","12","13","액상과당","구연산","구연산삼나트륨","DL-사과산","효소처리스테비아","삭카린나트륨","사과엑기스","비타민C","타우린","자몽종자추출물","비타민B2","파인애플향","정제수","","함수","","","","합성감미료","72Brix, 국내산","","","","","합성착향료","",NA,NA,NA,NA,NA,NA
"2","번호3609","품목보고번호1993062500635","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명비타업","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"액상과당","비타민C","타우린","이노시톨","비타민B2","인산에스테르나트륨","수크랄로스","드링트향S","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3608","품목보고번호1993062500641","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명비타업 스파클링","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","12",NA,"액상과당","비타민C","이산화탄소","구연산","그연산나트륨","타우린0","이노시톨","비타민B2","인산에스테르나트륨","수크랄로스","드링트향S","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3607","품목보고번호2016051811732","업소명녹차원(주)","품목유형혼합음료","유통/소비기한730일(24개월,2년)","제품명비타유자","분류식품","업체명","녹차원(주)","소재지","전라남도 고흥군 동강면 청정식품단지길 25-9","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"당침유자","유자과즙","정제수","올리고당","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,"유자퓨레","국내산,9Brix","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3606","품목보고번호200904332322","업소명동화약품(주)","품목유형혼합음료","유통/소비기한18개월","제품명비타천플러스","분류식품","업체명","동화약품(주)","소재지","충청북도 충주시 충주산단1로 167(용탄동)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","기타과당","비타민C","파인애플엣센스","타우린","레몬농축액","사과에센스","기타가공품","재제소금(재제조소금)","니코틴산아미드","식품첨가물혼합제제","효소처리스테비아","수크랄로스","","","","파인애플후레바(엣센스)에이-961039","","","애플후레바(엣센스)13896","복합황금추출물","제재염","","후르츠칵테일향 51-48","","","14","비타민B2인산에스테르나트륨","",NA,NA,NA
"6","번호3605","품목보고번호20020623009882","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타천플러스","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","비타민C","레몬농축액","비타민B2인산에스테르나트륨","니코틴산아미드","타우린","기타과당","재제소금(재제조소금)","효소처리스테비아","수크랄로스","혼합제제","혼합제제","혼합제제","정제수","","","","","","","제재염","","","파인애플후레바(엣센스)에이-961039","애플후레바(엣센스)13896","후르츠칵테일향51-48","","14","기타가공품","복합황금추출물",NA,NA,NA
"7","번호3604","품목보고번호20150403012306","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타콜라겐 블루베리","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","해양심층수미네랄탈염수","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타콜라겐블루베리베이스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3603","품목보고번호20150403012305","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타콜라겐 블루베리베이스","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8","9","10","11","12","13","기타가공품","폴리덱스트로스","과.채가공품","구연산","구연산삼나트륨","수크랄로스","비타민C","아세설팜칼륨","블루베리칼라","적무색소","레드칼라","블루베리향","식품첨가물혼합제제","피쉬콜라겐분말","","블루베리농축액","무수구연산","","","","","c-1713","c-1925","TMT--SP-2","FB1213-4190","비타믹스","14","해양심층수미네랄탈염수","",NA,NA,NA
"9","번호3602","품목보고번호20150403012304","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타콜라겐 오렌지","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","해양심층수미네랄탈염수","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타콜라겐오랜지베이스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3601","품목보고번호20150403012303","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타콜라겐 오렌지베이스","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8","9","10","11","12","13","기타가공품","폴리덱스트로스","과.채가공품","구연산","구연산삼나트륨","수크랄로스","비타민C","아세설팜칼륨","β-카로틴","오랜지향","오랜지향","기타가공품","식품첨가물","피쉬콜라겐분말","","오렌지농축액","무수구연산","","","","","수용성","O/S BB-F-0444","W/S BB-F-0445","복합허브추출물C","오렌지칼라 C-1718","14","혼합제제","비타믹스","15","해양심층수미네랄탈염수",""
