"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고15","비고16","비고17","비고18","비고19","비고20","비고21","번호...75","성분 및 원료","비고"
"1","번호491","품목보고번호200102456388","업소명(주)닥터클로로필","품목유형혼합음료","유통/소비기한상온보관시 1년 4개월 (16개월)","제품명프리미엄 클로워터","분류식품","업체명","(주)닥터클로로필","소재지","울산광역시 울주군 범서읍 천상6길 12-9","1","2","3","4","5","6","정제수","뽕나무잎","소나무잎","두충","칡","대추",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호490","품목보고번호19970464172524","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 파워비타C1500","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","비타민C","과라나추출물분말","기타과당","백설탕","구연산삼나트륨","펙틴","","과라나추출분말","","","","","7","8","9","10","11","12","13","14","니코틴산아미드","비타민B2","비타민B6염산염","타우린","파인애플향","사과향","효소처리스테비아","정제수","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호489","품목보고번호20060392223125","업소명네오팜","품목유형혼합음료","유통/소비기한제조일부터 24월","제품명프리미엄 푸룬 아싸이베리","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","식물혼합추출물","푸룬과즙추출물","아사이베리과즙","석류농축과즙","D-소르비톨액","만니톨","고형분 7%","고형분 6.8%","고형분 1%","65Bx","","","7","8","9","10","11","12",NA,NA,"락툴로즈","폴리덱스트로스","구연산","구연산삼나트륨","체리향","정제수",NA,NA,"","","","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호488","품목보고번호2013061247326","업소명주식회사 엔알바이오텍","품목유형혼합음료","유통/소비기한16개월","제품명프리미엄 화담비초","분류식품","업체명","주식회사 엔알바이오텍","소재지","경상남도 거제시 둔덕면 죽전길 310-1(1층)","1","2","3","4","5","6","구기자추출액","발효식초","자일리톨","오미자농축액","태움용융소금","천연첨가물","구기자100%","아로니아 발효식초","","오미자농축액F","","수용성규소 복합미네랄",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호487","품목보고번호19970464172521","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄마카복분자","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","복분자농축액","마카뿌리분말","농축사과과즙","기타과당","사양벌꿀","구연산","","마카추출물","","","","","7","8","9","10","11","12",NA,NA,"구연산삼나트륨","정제소금","코치닐추출색소","효소처리스테비아","복분자향","정제수",NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호486","품목보고번호19970464172516","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄밀크씨슬D","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","밀크씨슬추출물","기타과당","강황추출액","헛개나무열매농축액","배농축액","대추농축액","밀크씨슬추출물가용분말","","수용성커큐민(사용부위:뿌리줄기)","","","","7","8","9","10","11","12","13","14","사양벌꿀","L-아스파라진","타우린","구연산","구연산삼나트륨","비타민B1염산염","비타민B6염산염","비타민B2","","","","","","","","","15","16","17","18","19","20","21","니코틴산아미드","염화마그네슘","산화아연","젖산칼슘","아미노산혼합분말","청포도향","정제수","","","","","아미노믹스","","",NA,NA,NA
"7","번호485","품목보고번호20170614111406","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명프리미엄백수오빈","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2",NA,NA,NA,NA,"큰조롱덩이뿌리추출액","석류농축액",NA,NA,NA,NA,"(고형분0.2%)백수오(국산)100%","65brix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호484","품목보고번호19970464172522","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄블루베리","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","블루베리농축액","체리농축액","백설탕","기타과당","비타민C","구연산",NA,NA,NA,NA,NA,NA,"7","8","9","10",NA,NA,NA,NA,"구연산삼나트륨","효소처리스테비아","블루베리향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호483","품목보고번호2017014715546","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명프리미엄석용석류천국","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","정제수","석류농축액(기능성원료인정제2010-40호)","액상과당","사과농축액H","구연산","석류향","","","","","","","7","8","9","10","11","12","13",NA,"혼합제제","구연산삼나트륨","레드칼라","STEVIOSIDE 스테비오사이드","콜라겐","수크랄로스","DL-사과산",NA,"비타FM","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호482","품목보고번호19920562023234","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄알로에베라드링크파인애플","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","말토덱스트린",NA
