"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호731","품목보고번호20020492106317","업소명주식회사 한국음료","품목유형혼합음료","유통/소비기한12개월","제품명파워에이드 마운틴블라스트","분류식품","업체명","주식회사 한국음료","소재지","전라북도 남원시 덕과면 덕과남길 115","1","2","3","4","5","6","7","8","정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","","액상과당","파워에이드마운틴블라스트이온4 원제제1A부(구연산,제삼인산칼륨,구연산칼륨)","파워에이드마운틴블라스트 원제제1E부(판토텐산칼슘,니코틴산아미드,비타민B6염산염)","파워에이드마운틴블라스트 원제제2A부(합성향료,구연산,식용색소청색제1호)","혼합제제V2 원제 제2B부(정제수,아라비아검,유화제,소금,가공유지,천연향료)","파워에이드 마운틴 블라스트 이온4 원제 제1F부(식염,구연산삼나트륨,수크랄로스)","파워에이드 마운틴 블라스트 이온4 원제 제1G부(염화마그네슘,염화칼슘,아세설팜칼륨)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호730","품목보고번호19800375002197","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한관 또는 병 포장제품 : 24개월, 합성수지제 포장제품 : 12개월","제품명파워에이드 마이티 포스","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","타르색소제제","식품첨가물혼합제제","","(액상, 고형분77%)","파워에이드 마운틴 블라스트 이온4 원제 제1A부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1D부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1C부(의왕시청 품목보고)","파워에이드 에너지 펀치 원제 제1E부(의왕시청 품목보고)","파워에이드 에너지펀치 원제 제1F부(의왕시청 품목보고)","파워에이드 마이티 포스 원제 제2A부(의왕시청 품목보고)","9","10","혼합음료","식품첨가물혼합제제","파워에이드 마운틴 블라스트 원제 제2B부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제3부(의왕시청 품목보고)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호729","품목보고번호19970614083155","업소명코카콜라음료주식회사","품목유형혼합음료","유통/소비기한합성수지제 포장제품: 제조일로부터 12개월","제품명파워에이드 메가볼츠","분류식품","업체명","코카콜라음료주식회사","소재지","경상남도 양산시 충렬로 269(유산동)","1","2","3","4","5","6","7","8","정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","","액상, 고형분 77%","파워에이드 마운틴 블라스트 이온4 원제 제1A부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1C부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1D부(의왕시청 품목보고)","파워에이드 메가볼츠 원제 제1E부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제1E부(의왕시청 품목보고)","파워에이드 메가볼츠 원제 제3부(의왕시청 품목보고)","9","10","홍화황색소","식품첨가물혼합제제","수입식품","파워에이드 메가볼츠 원제 제2A부(의왕시청 품목보고)","11","식품첨가물혼합제제","혼합제제V2 원제 제2B부(의왕시청 품목보고)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호728","품목보고번호19800375002259","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한12개월","제품명파워에이드 메가볼츠","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","","액상, 고형분 77%","파워에이드 마운틴 블라스트 이온4 원제 제1A부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1C부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온 원제 제1D부(의왕시청 품목보고)","파워에이드 메가볼츠 원제 제1E부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 원제 제1E부(의왕시청 품목보고)","파워에이드 메가볼츠 원제 제3부(의왕시청 품목보고)","9","10","식품첨가물","식품첨가물혼합제제","홍화황색소(수입식품)","파워에이드 메가볼츠 원제 제2A부(의왕시청 품목보고)","11","식품첨가물혼합제제","혼합제제V2 원제 제2B부(의왕시청 품목보고)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호727","품목보고번호20020492106544","업소명주식회사 한국음료","품목유형혼합음료","유통/소비기한12개월","제품명파워에이드 메가볼츠","분류식품","업체명","주식회사 한국음료","소재지","전라북도 남원시 덕과면 덕과남길 115","1","2","3","4","5","6","7","8","정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","","액상 과당","파워에이드 마운틴 블라스트 이온4 원제 제1A부(구연산,제삼인산칼륨,구연산칼륨)","파워에이드 마운틴 블라스트 이온4 원제 제1C부(염화마그네슘,염화칼슘)","파워에이드 마운틴 블라스트 이온4 원제 제1D부(식염,구연산삼나트륨)","파워에이드 메가볼츠 원제 제1E부(구연산,비타민C)","파워에이드 마운틴 블라스트 원제 제1E부(판토텐산칼슘,니코틴산아미드,비타민B6염산염)","파워에이드 메가볼츠 원제 제3부(수크랄로스,아세설팜칼륨)","9","10","홍화황색소","식품첨가물혼합제제","","파워에이드 메가볼츠 원제 제2A부(천연향료,합성향료,소금,자당지방산에스테르),","11","식품첨가물혼합제제","혼합제제V2 원제 제2B부(아라비아검,자당지방산에스테르,가공유지,d-토코페롤,합성향료,소금,천연향료,구연산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호726","품목보고번호2019041307930","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에이드 메가볼츠","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","정제수","기타과당","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","","","파워에이드 마운틴 블라스트 이온4 원제 제1A부","파워에이드 마운틴 블라스트 이온4 원제 제1C부","파워에이드 마운틴 블라스트 이온4 원제 제1D부","파워에이드 메가볼츠 원제 제1E부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 메가볼츠 원제 제3부","9","10","홍화황색소","혼합제제","","파워에이드 메가볼츠 원제 제2A부","11","혼합제제","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호725","품목보고번호20100543066944","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에이드 메가볼츠","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","정제수","기타과당","구연산","정제소금","구연산삼나트륨","혼합제제","구연산칼륨","아라비아검","","","","오스트리아산","","천연향료, 합성향료(레몬향, 라임향), 소금, 자당지방산에스테르","","","9","10","염화마그네슘","비타민C","","","11","염화칼슘","","12","13","14","15","16","17","18","19","20","21","수크랄로스","제삼인산칼륨","아세설팜칼륨","자당지방산에스테르","판토텐산칼슘","니코틴산아미드","가공유지","홍화황색소","d-토코페롤(혼합형)","비타민B6염산염","감미료","","감미료","","","","미국산","","",""
"8","번호724","품목보고번호20070443110454","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에이드 메가볼츠","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","정제수","기타과당","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","","","파워에이드 마운틴 블라스트 이온4 원제 제1A부","파워에이드 마운틴 블라스트 이온4 원제 제1C부","파워에이드 마운틴 블라스트 이온4 원제 제1D부","파워에이드 메가볼츠 원제 제1E부","파워에이드 마운틴 블라스트 원제 제1E부","파워에이드 메가볼츠 원제 제3부","9","10","홍화황색소","혼합제제","","파워에이드 메가볼츠 원제 제2A부","11","혼합제제","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호723","품목보고번호19980449002669","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명파워에이드 메가볼츠","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","정제수","기타과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","","","파워에이드마운블라스트 이온4 원제 제1A부","파워에이드마운틴블라스트 이온4 원제 제1C부","파워에이드마운틴블라스트 이온4 원제 제1D부","파워에이드 메가볼츠 원제 제1E부","파워에이드마운틴 블라스트 원제 제1E부","파워에이드 메가볼츠 원제 제3부","9","10","황화황색소","식품첨가물혼합제제","","파워에이드 메가볼츠 원제 제2A부","11","식품첨가물혼합제제","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호722","품목보고번호19740344001144","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명파워에이드 아쿠아 그레이프후르트향 원제 제2B부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","3",NA,NA,NA,NA,NA,"후르트","향","시트러스향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
