"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호1783","품목보고번호20040445073297","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명이온엔","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11","12","액상과당","백설탕","구연산","구연산삼나트륨","염화칼륨","염화마그네슘","젖산칼슘","제일인산칼륨","자몽향","정제수","식품첨가물혼합제제","정제소금","","","","","","","","","","","화이트 크라우디","염화나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1782","품목보고번호20040275056645","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명이유배도라지","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"배농축액","도라지농축액","도두추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,"배농축액(72brix)","","작두콩추출액(2brix)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1781","품목보고번호20190559114167","업소명농업회사법인 주식회사 내츄럴엔","품목유형혼합음료","유통/소비기한재조일로부터 24개월","제품명이음153(태반)","분류식품","업체명","농업회사법인 주식회사 내츄럴엔","소재지","경상북도 영천시 금호읍 금창로 208-60","1","2","3","4","5","6","7","8","9","10","11","12","양태반분말","사과향분말","사과농축액","식물혼합농축액","프락토올리고당","마카뿌리분말","L-아르지닌","타우린","구연산","비타민C","홍삼농축액분말","보스웰리아추출물분말","","","","","","블랙마카분말","","","무수구연산","","","","13","14","15","16","17","18","19","20","21","22","23","판토텐산칼슘","산화아연","효소처리스테비아","해조칼슘","알로에베라겔동결건조분말","비타민B1염산염","비타민B6염산염","분말비타민A","사양벌꿀","히알루론산혼합제제","정제수","","","","","","","","","","",""
"4","번호1780","품목보고번호19970464172367","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이지드링크","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"기타과당","D-소르비톨액","구연산","레몬향","정제수","정제소금","유자농축액",NA,NA,NA,NA,NA,"","","","천연레몬향(13L29)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1779","품목보고번호20060445110690","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이지라인","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","프락토올리고당","이소말토올리고당","청포도농축액","시클로덱스트린시럽","청포도향","보검선인장농축분말","구연산","L-아르지닌","옥수수수염추출분말","파인애플추출분말","사과추출물분말","","","","","","","선인장열매추출물분말","","","옥수수수염추출물분말","파인애플추출물분말","풋사과추출물분말","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,"효소처리스테비아","서양호박농축분말","효소혼합분말","염화칼륨",NA,NA,NA,NA,NA,NA,NA,"","단호박농축분말","","",NA,NA,NA,NA,NA,NA,NA
"6","번호1778","품목보고번호20110084489497","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이지아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","정제수","L-아르지닌","구연산","망고농축액","복숭아농축액","효소처리스테비아","향료","타우린","향료","기타가공품","혼합제제","혼합제제","","","함수구연산","","","","천연복숭아향/천연향료","","애플망고향/합성향료","복합황금추출물","아미노산혼합제제","비타민혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1777","품목보고번호202003622491","업소명주식회사 이지워터","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명이지워터","분류식품","업체명","주식회사 이지워터","소재지","충청북도 증평군 증평읍 대봉산길 9","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","비타민B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1776","품목보고번호20010515081451","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명이지프로틴 시리얼","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","곡류혼합분말","분리유단백","탈지분유","분리유단백분말","이소말토올리고당","난소화성말토덱스트린(고시형)","수크랄로스","혼합제제","카라기난","정제소금","합성향료","검은콩향","7곡 미숫가루","미셀라카제인","","","","","","결정셀룰로스, 카라기난, CMC","","","곡물향","","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1775","품목보고번호202206831293","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월(실온)","제품명이지프로틴 시리얼","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","곡류혼합분말","분리유단백","탈지분유","분리유단백분말","이소말토올리고당","난소화성말토덱스트린(고시형)","수크랄로스","혼합제제","카라기난","정제소금","합성향료","검은콩향","7곡 미숫가루","미셀라카제인","","","","","","결정셀룰로스, 카라기난, CMC","","","곡물향","","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1774","품목보고번호20010515081450","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명이지프로틴 초코","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","코코아분말","분리유단백","탈지분유","분리유단백분말","이소말토올리고당","난소화성말토덱스트린(고시형)","수크랄로스","혼합제제","카라기난","정제소금","초콜릿향","바닐라향","","미셀라카제인","","","","","","결정셀룰로스,카라기난,CMC","","","","","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
