"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18"
"1","번호2414","품목보고번호2017049505016","업소명영농조합법인 무릉","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명에너지플러스F","분류식품","업체명","영농조합법인 무릉","소재지","전라북도 진안군 주천면 봉소길 19-7","1","2","3","4","5","6","7","아로니아원액","보검선인장추출액","홍삼추출액","상황버섯복합추출액","기타식초","스테비아잎","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2413","품목보고번호2017055519559","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 24개월(내수용), 제조일로부터 36개월(수출용)","제품명에너티브","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","백설탕","구연산","비타민C","타우린","드링크향","과라나추출물분말","구연산삼나트륨","","함수구연산","","","","","구연산나트륨","8","9","10","11","12","13","14","15","니코틴산아미드","수크랄로스","L-글루탐산나트륨","이노시톨","비타민B6염산염","비타민B2","비타민B1염산염","정제수","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2412","품목보고번호20050555180720","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 24개월(내수용), 제조일로부터 36개월(수출용)","제품명에너티브","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","백설탕","구연산","비타민C","타우린","드링크향","과라나추출물분말","구연산삼나트륨","","함수구연산","","","","","구연산나트륨","8","9","10","11","12","13","14","15","니코틴산아미드","수크랄로스","L-글루탐산나트륨","이노시톨","비타민B6염산염","비타민B2","비타민B1염산염","정제수","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2411","품목보고번호19970464172252","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명에너파워","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","과라나추출물분말","마카추출분말","비타민B1염산염","비타민B6염산염","니코틴산아미드","판토텐산칼슘","타우린","","","","","","","","8","9","10","11","12","13","14","15","액상과당","DL-사과산","구연산","구연산삼나트륨","L-페닐알라닌","수크랄로스","정제염","블루베리향","","","","","","","","합성(삼정1201135)","16","17","18","파인애플향","혼합제제","정제수","합성(가향 13P117)","C Red No.1 F",""
"5","번호2410","품목보고번호20110084489309","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에너포션","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","정제수","망고농축액","L-아르지닌","구연산","에리스리톨","타우린","마카추출분말","","","","함수구연산","","","마카추출물분말","8","9","10","11","12","13","14","15","열대과일향","삼씨앗유","고량강뿌리줄기추출분말","비타민C","테아닌","기타가공품","효소처리스테비아","글루콘산아연","천연열대과일향","헴프씨드오일/햄프씨드오일","갈랑가(갈랑갈)추출물분말","","L-테아닌","실크펩타이드","","","16","17","18","기타가공품","비타민B12","병풀잎추출물분말","복합황금추출물","","병풀추출분말"
"6","번호2409","품목보고번호19730380010529","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터         2 년","제품명에너핏21Beta","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","과.채가공품","베타인","과.채가공품","과.채가공품","과.채가공품","합성향료","프락토올리고당","모로블러드오렌지혼합농축액","","레드자몽농축액","오렌지농축액","감귤농축액","자몽향","","8","9","10","11","12","13","14","15","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","비타민D3","니코틴산아미드","비타민B12","엽산","","","","","","","","","16","17","18","비오틴","판토텐산(고시형)","정제수","","",""
"7","번호2408","품목보고번호2017050927926","업소명(유)황전바이오","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명에노-락","분류식품","업체명","(유)황전바이오","소재지","전라남도 순천시 황전면 월산1길 8(1,2층)","1","2","3","4",NA,NA,NA,"미역추출물","매실추출물(고시형)","효소처리스테비아","드라이비타민D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2407","품목보고번호2017050927921","업소명(유)황전바이오","품목유형혼합음료","유통/소비기한24개월","제품명에노-칼","분류식품","업체명","(유)황전바이오","소재지","전라남도 순천시 황전면 월산1길 8(1,2층)","1","2","3","4",NA,NA,NA,"정제수","산호분말","효소처리스테비아","드라이비타민D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2406","품목보고번호2017050927932","업소명(유)황전바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명에노-칼 프리미엄","분류식품","업체명","(유)황전바이오","소재지","전라남도 순천시 황전면 월산1길 8(1,2층)","1","2","3","4","5",NA,NA,"정제수","산호분말","아미노산혼합제제","비타민믹스혼합제제","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2405","품목보고번호2013037221935","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한24개월","제품명에노스 & 미라클","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","6",NA,"탄산칼륨(무수)","염화칼륨(고시형)","탄산나트륨","규소수지","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
