"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","성분 및 원료18","성분 및 원료19","비고18","비고19"
"1","번호2464","품목보고번호19890445014699","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월(실온)","제품명얼음속 딸기 에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","딸기농축액","과당옥수수시럽","백설탕","효소처리스테비아","글리세린","안식향산나트륨","천연적색소","식용색소적색제40호","딸기향1","딸기향2","분말결정포도당","알파옥수수전분","잔탄검","구아검","카르복시메틸셀룰로오스나트륨","정제수","구연산","국산","","","","","합성보존료","L-500(락색소)","합성착색료","한국미향","아로마라인","","","","","","","",NA,NA,NA,NA,NA,NA
"2","번호2463","품목보고번호19890445014615","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명얼음속오미자","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"오미자추출액","정제수","액상과당","백설탕","구연산","레드칼라L","효소처리스테비아","비타민C","오미자추출액","오미자","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2462","품목보고번호2009049203018","업소명농업회사법인(주)꿈엔들잊힐리야","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명얼음식혜","분류식품","업체명","농업회사법인(주)꿈엔들잊힐리야","소재지","전라북도 남원시 덕과면 덕오로 265","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2461","품목보고번호20080358277198","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명얼음식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"설탕","엿기름","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유기농설탕","","무농약멥쌀","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2460","품목보고번호20090473152593","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명얼카포","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"정제수","설탕","구연산","타우린","향료","자몽농축액","합성향료","염화칼륨","정제소금","구연산삼나트륨","수크랄로스","혼합제제","L-글루탐산나트륨","젖산칼슘","아세설팜칼륨","식용색소황색제4호",NA,"","","함수구연산","","자몽향 (22127022)","","드링크향 (F-23690)","","","","","시트러스향 (SKB-1453)","","","","",NA,NA,NA,NA,NA,NA,NA
"6","번호2459","품목보고번호2010018127980","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명얼카포","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"정제수","자몽농축액","백설탕","구연산","타우린","염화칼륨","정제소금","구연산삼나트륨","수크랄로스","L-글루탐산나트륨","젖산칼슘","아세설팜칼륨","식용색소황색제4호","자몽향","드링크향","시트러스향",NA,"","","","함수","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA
"7","번호2458","품목보고번호20200401439136","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명얼티밋 웨이 50(ULTIMATE WHEY 50)","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","분말결정포도당","유청단백분말","덱스트린","비타민C","향료","향료","정제소금","혼합제제","구연산","DL-사과산","L-글루타민","L-아르지닌","복숭아농축액","노니추출분말","혼합제제","혼합제제","수크랄로스","","","","","","","","덱스트린, 말토오스, 글리세린지방산에스테르, 대두레시틴","","","","","","","L-로이신, L-이소로이신, L-발린, 레시틴","비타민미네랄믹스","","18","19","아세설팜칼륨","정제수","",""
"8","번호2457","품목보고번호20080395120657","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명얼티밋 웨이 50(ULTIMATE WHEY 50)","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","분말결정포도당","유청단백분말","비타민C","향료","향료","정제소금","혼합제제","구연산","DL-사과산","L-글루타민","L-아르지닌","복숭아농축액","마카농축액분말","노니추출분말","혼합제제","혼합제제","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","19","아세설팜칼륨","정제수",NA,NA
"9","번호2456","품목보고번호20200401439135","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명얼티밋 웨이(ULTIMATE WHEY)","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","유청단백분말","비타민C","향료","향료","정제소금","혼합제제","구연산","DL-사과산","L-글루타민","L-아르지닌","수크랄로스","복숭아농축액","효소처리스테비아","혼합제제","혼합제제","노니추출분말","아세설팜칼륨","","","","","","덱스트린, 말토오스, 글리세린지방산에스테르, 대두레시틴","","","","","","","","L-로이신, L-이소로이신, L-발린, 레시틴","비타민미네랄믹스","","","18",NA,"정제수",NA,"",NA
"10","번호2455","품목보고번호20080395120656","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명얼티밋 웨이(ULTIMATE WHEY)","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","유청단백분말","비타민C","향료","향료","정제소금","혼합제제","구연산","DL-사과산","L-글루타민","L-아르지닌","수크랄로스","복숭아농축액","마카농축액분말","노니추출분말","혼합제제","혼합제제","효소처리스테비아","","","","","","덱스트린, 말토오스, 글리세린지방산에스테르, 대두레시틴","","","","","","","","","L-로이신, L-이소로이신, L-발린, 레시틴","비타민미네랄믹스","","18","19","아세설팜칼륨","정제수","",""
