"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호5582","품목보고번호201404931716","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명골드키위ADE","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","설탕","과.채가공품","구연산","펙틴","비타민C","수크랄로스","카로틴","식품첨가물혼합제제","정제수","","골드키위퓨레","","","","감미료","","혼합제제(프로필렌글리콜,주정,정제수,트리아세틴,합성향료,빙초산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5581","품목보고번호201005430661047","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명골드페어","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","설탕","알로에베라겔즙","과.채가공품","합성향료","젖산칼슘","구연산","구연산삼나트륨","젤란검","","","태국산/알로에베라주스 54.9%, 알로에베라 45%, 구연산 0.1%","국산/배퓨레","배향","","","","","10","11","유화제","천연향료","","배향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5580","품목보고번호20100543066765","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명골든드랍 흑당 치즈라떼","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","우유","당시럽","설탕","덱스트린","탈지분유","합성향료","설탕","당류가공품","","국산","","흑설탕","말토덱스트린","국산","밀크향,흑당향","","태국산/비정제사탕수수당","10","11","혼합제제","유화제","결정셀룰로오스,글리세린지방산에스테르,카르복시메틸셀룰로오스나트륨,카라기난,경화팜유,폴리글리시톨시럽,카제인나트륨,제이인산나트륨","","12","13","14","15","탄산수소나트륨","치즈분말베이스","정제소금","카제인나트륨","","네덜란드산/까망베르 치즈파우더","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5579","품목보고번호19930461022260","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명곰곰 마이 프로틴 드링크","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","원유","분리대두단백","탈지분유","기타가공품","팔라티노스","프락토올리고당","당류가공품","곡류가공품","난소화성말토덱스트린(고시형)","","","","식물성단백분말","","","프락토화이버","19곡분말","화이바솔-2","10","11","카라기난","레시틴","","","12","13","14","15","정제소금","염화칼륨","제이인산칼륨","혼합제제","","","","비타민미네랄혼합제제YS12","16","17","18","19","20","21","합성향료","혼합제제","당류가공품","기타가공품","정제수","기타가공품","시리얼향","탄산칼슘혼합제제","곡물믹스시럽(A-1)","농축우유단백","","저분자단백질YS"
"5","번호5578","품목보고번호20000614238512","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명곰표 밀눈 셰이크","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","곡류가공품","곡류가공품","기타가공품","과.채가공품","기타가공품","기타가공품","비타민C","기타가공품","혼합제제","밀눈혼합페이스트","혼합곡물페이스트","귀리페이스트","바나나퓨레","코코넛밀크혼합액","대두스위트콘페이스트(대두1%)","","복합허브추출물","비타민E혼합제제(DL-알파-토코페릴아세테이트,변셩전분,포도당시럽분말,이산화규소),니코틴산아미드,판토텐산칼슘,비오틴혼합제제(제이인산칼슘,비오틴),","10","11","정제소금","식품첨가물","","탄산칼륨","12","13","14","15","혼합제제","혼합제제","식품첨가물","혼합제제","포도당시럽분말,옥수수전분,아라비아검,유성비타민A지방산에스테르,비타민E","아라비아검, 자당, 옥수수전분,가공유지,이산화규소,비타민D3, 비타민E","비타민B2","말토텍스트린,구연산삼나트륨, 구연산,비타민B12","16","17","18","19",NA,NA,"산화아연","합성향료","합성향료","정제수",NA,NA,"","","","",NA,NA
"6","번호5577","품목보고번호19970368029397","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명곰표 밀식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5",NA,NA,NA,NA,"기타 농산가공품","백설탕","쌀","생강","정제수",NA,NA,NA,NA,"보리밀엿기름추출액","","국산","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5576","품목보고번호1992044300374","업소명(주)팔도","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명곰표밀식혜","분류식품","업체명","(주)팔도","소재지","충청북도 진천군 광혜원면 광혜원산단길 88","1","2","3","4","5","6","7","8","9","엿기름추출액","백설탕","밀추출물","멥쌀","쌀당화액","생강추출액","비타민C","생강향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5575","품목보고번호198506140552061","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 15개월까지","제품명공룡 메카드 사과","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","사과농축액","홍삼농축액","백설탕","구연산","젖산칼슘","수크랄로스","비타민C","비타민B2인산에스테르나트륨","비타민B6염산염","","","","","","","","","","10","11","사과향","정제수","사과향엠에프-120446","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5574","품목보고번호198506140552062","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 15개월까지","제품명공룡 메카드 오렌지","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","오렌지농축액","홍삼농축액","백설탕","구연산","젖산칼슘","수크랄로스","비타민C","비타민B2인산에스테르나트륨","비타민B6염산염","","","","","","","","","","10","11","오렌지향","오렌지향","오렌지향엠에프-030016","오렌지향엠에프-120479","12",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5573","품목보고번호2016052105323","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명공룡메카드 사과","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","정제수","설탕","사과농축액","구연산(무수)","합성향료","자일리톨","젖산칼슘","비타민C","수크랄로스","","","70bx","","사과향","","","","","10","11","홍삼농축액","비타민B6염산염","고형분60%이상","","12",NA,NA,NA,"비타민B2",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
