"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호4782","품목보고번호20070464094508","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명라떼는 녹차 요새는 민트 민트녹차라떼","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","설탕","녹차가루","혼합분유","탈지분유","카르복시메틸셀룰로오스","정제소금","탄산수소나트륨","수크랄로스","혼합제제","자당지방산에스테르","자당지방산에스테르","카라기난","녹차향","녹차향","천연 민트향","식용색소황색제4호","식용색소청색제1호","정제수","","녹차분말","","","CMC FH-1000","","","","폼크린200","P-1670","S-570","","녹차향1","녹차향2","","","",""
"2","번호4781","품목보고번호2013062801985","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명라마다프라자 제주","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4780","품목보고번호2012057308013","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명라마르미네 300(Lamar mine 300)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4779","품목보고번호201205730801","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명라마르미네 600(Lamar mine 600)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4778","품목보고번호20110149027297","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명라뷰 석류콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","엘라스틴가수분해물",NA,NA,NA,NA,NA,NA,NA,NA,"65 brix, 스페인산","베트남산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4777","품목보고번호20110149027298","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명라뷰 호박콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"늙은호박추출액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","사양벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,"20 brix, 국내산","베트남산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4776","품목보고번호200703582241239","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명라비앙 퍼펙트 아르기닌 5000 밸런스","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,"정제수","L-아르지닌","구연산(무수)","자일리톨","포도당","글루콘산마그네슘","효소처리스테비아","포도농축액","천연향료","젖산칼슘","기타가공품","타우린","혼합제제","니코틴산아미드","비타민B1염산염","비타민B6염산염","비타민B2",NA,"","","","","","","","적포도농축액","천연포도향","","아미노산혼합분말","","비타민D3혼합제제","","","","",NA
"8","번호4775","품목보고번호20110493072335","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명라심에너지(Lasim ENERGY)","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,"알룰로오스","자일리톨","에리스리톨","구연산(무수)","효소처리스테비아","비타민C","타우린","복숭아농축액","자두농축액","산수유농축액","레드비트농축액","복숭아향","정제수",NA,NA,NA,NA,NA,"액상알룰로스","감미료","감미료","산도조절제","감미료","영양강화제","영양강화제","","","","","합성향료","",NA,NA,NA,NA,NA
"9","번호4774","품목보고번호19890445014904","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명라이브타임복숭아아이스티","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"복숭아농축액","홍차추출분말","설탕","기타과당","수크랄로스","구연산","규소수지혼합제제","복숭아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","(폼크린200)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4773","품목보고번호198904450141021","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명라이브타임유자레몬에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"레몬농축액","유자농축과즙액","설탕","수크랄로스","효소처리스테비아","구연산","구연산삼나트륨","비타민C","식용색소황색제4호","시트러스향 분말","유자향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
