"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호5122","품목보고번호2005027515524","업소명새롬","품목유형혼합음료","유통/소비기한제조일부터    6개월까지","제품명다미랑 은행잎메밀 식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","메밀","엿기름","백설탕","은행잎추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5121","품목보고번호19840415001386","업소명(주)정.식품","품목유형혼합음료","유통/소비기한7개월","제품명다밀 밸런스 오곡맛","분류식품","업체명","(주)정.식품","소재지","충청북도 청주시 흥덕구 산단로 124(송정동)","1","2","3","4","5","원액두유","곡류가공품","분리대두단백","과.채가공품","글리세린지방산에스테르","고형분 7%이상","16곡 분말","","코코넛크림파우더","","6","7","8","9","10","11","12","13","14","15","16","17","덱스트린","설탕","식품첨가물혼합제제","탄산칼슘혼합제제","구연산칼륨","황산제일철","구연산삼나트륨","젤란검","정제소금","합성향료","합성향료","정제수","말토덱스트린","","비타민미네랄믹스-다밀","","","","","","","씨리얼향","미숫가루향",""
"3","번호5120","품목보고번호2017050927937","업소명(유)황전바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명다비움","분류식품","업체명","(유)황전바이오","소재지","전라남도 순천시 황전면 월산1길 8(1,2층)","1","2","3","4","5","정제수","혼합음료","발효식초","난소화성말토덱스트린(고시형)","폴리덱스트로스","","에노칼","","","","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"Red grape농축액","구연산","아미노산혼합분말","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5119","품목보고번호20080522026194","업소명다산명가(주)농업회사법인 사회적기업","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명다산명가쌀누룩단호박식혜","분류식품","업체명","다산명가(주)농업회사법인 사회적기업","소재지","전라남도 강진군 도암면 학장용산길 39","1","2","3","4","5","정제수","쌀누룩","찹쌀","서양호박분말","효소처리스테비아","","국내산","국내산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5118","품목보고번호19930571069471","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 20개월","제품명다스림 녹용꿀물","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","기타과당","사양벌꿀","덱스트린","시클로덱스트린","대추농축액","","","말토덱스트린","","","6","7","8","9","10","11","12","13","14","15","16",NA,"혼합제제","칡향","벌꿀향","벌꿀향","벌꿀향","추출가공식품","카라멜색소","비타민C","수크랄로스","폴리소르베이트80","정제수",NA,"한방향","","","","","녹용추출물","","","","","",NA
"6","번호5117","품목보고번호20060368214121","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일부터12개월","제품명다온단호박식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5","정제수","백설탕","엿기름","쌀","호박가루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5116","품목보고번호20060368214122","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일부터12개월","제품명다온비트식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5","정제수","백설탕","엿기름","레드비트분말","쌀","","정백당","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5115","품목보고번호20060368214123","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터6개월(냉동보관)","제품명다온수정과","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,"계피","건생강","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5114","품목보고번호20060368214120","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명다온전통식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,"정제수","백설탕","엿기름","쌀",NA,"","정백당","겉보리(국산)","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5113","품목보고번호2021052507624","업소명주식회사 다인음료","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명다인 복숭아","분류식품","업체명","주식회사 다인음료","소재지","전라남도 장흥군 장흥읍 산단로 320","1","2","3","4","5","정제수","액상과당","구연산","합성향료","복숭아농축액",NA,NA,NA,NA,NA,"6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"구연산삼나트륨","아스파탐","카라멜색소","효소처리스테비아","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
