"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호4404","품목보고번호2001052700334","업소명옥당골장류사업단영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 3개월(냉장)","제품명매향 식혜","분류식품","업체명","옥당골장류사업단영농조합법인","소재지","전라남도 영광군 영대로5길 41-17","1","2","3","4","쌀","엿기름","설탕","정제수","","찰보리엿기름","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4403","품목보고번호20030415157498","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명맥스 아르기닌","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","정제수","L-아르지닌","결정과당","구연산","","","","","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","프락토올리고당","오르니틴염산염","L-아스파트산","Red grape농축액","L-아르지닌","타우린","베리향","아연(고시형)","세븐베리농축분말","효소처리스테비아","황금혼합추출물","비타민 B2(고시형)","잔탄검","비타민 B6(고시형)","비타민 B1(고시형)","마카추출분말","비수리농축액","과일혼합분말","복분자엑기스분말","토마토농축분말","홍삼농축액(고시형)","혼합야채분말","비타민 C(고시형)","","","","적포도농축액","효소처리아르기닌분말","","믹스베리향","건조효모(아연함유)","","","복합황금추출물","건조효모(비타민B2)","","건조효모(비타민B6)","건조효모(비타민B1)","수용성마카추출분말, 뿌리","야관문농축액","","","","","","인디안구스베리추출물분말(암라)"
"3","번호4402","품목보고번호200703582241185","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명맥스 파워 아르기닌 6000","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","정제수","L-아르지닌","구연산(무수)","프락토올리고당","","","","","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"과.채가공품","혼합제제","효소처리스테비아","과.채가공품","타우린","기타가공품","글루콘산아연","기타가공품","기타가공품","수크랄로스","니코틴산아미드","비타민B6염산염","비타민B1염산염","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"서양자두농축액(푸룬농축액)","드링크향","","세븐베리농축액","","올리브오일 혼합액","","마카추출분말(제한적사용가능부위 : 뿌리)","과라나추출분말","","","피리독신염산염","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4401","품목보고번호19930461022228","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 10개월간","제품명맥스 프로틴","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","약콩추출액","두류가공품","팔라티노스","난소화성말토덱스트린(고시형)","약콩액(고형분 7%이상)","대두분리단백","","","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","올리고당","현미시럽","기타 농산가공품","기타가공품","천일염","기타가공품","기타가공품","정제수","당류가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물성단백분말","","","흑임자페이스트","해조분말(아쿠아민F)","","호박씨단백분말","희첨추출물","","프락토화이버",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4400","품목보고번호201303722191","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한2년","제품명맥스복합미네랄골드","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","규소수지","백설탕","정제수","탄산칼륨(무수)",NA,NA,NA,NA,"5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"염화칼륨","탄산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4399","품목보고번호19930461022298","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 10개월간","제품명맥스프로틴","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","약콩추출액","두류가공품","현미시럽","기타과당","약콩액(고형분 7%이상)","대두분리단백","","","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"팔라티노스","당류가공품","난소화성말토덱스트린(고시형)","기타가공품","올리고당","당류가공품","기타 농산가공품","기타가공품","글리세린지방산에스테르","합성향료","천일염","기타가공품","기타가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","마카다미아시럽","","식물성단백분말","","프락토화이버","흑임자페이스트","해조분말(아쿠아민F)","","너트향","","호박씨단백분말","희첨추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4398","품목보고번호2019057102510","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명맨날국수 전통식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4","엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4397","품목보고번호19980449002617","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 10개월까지","제품명머스캣","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","청포도농축액","당시럽","구연산","DL-사과산",NA,NA,NA,NA,"5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민C","구연산삼나트륨","시트러스향","청포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4396","품목보고번호19980449002618","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명머스캣 드링크","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","청포도농축액","당시럽","구연산","DL-사과산",NA,NA,NA,NA,"5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","시트러스향","청포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4395","품목보고번호20100543066604","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명머스캣드링크","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","정제수","당시럽","과.채가공품","구연산","","","청포도과즙농축액,호주산, 배합함량: 청포도 100%, 청포도과즙으로 환원기준 5%","","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"합성향료","합성향료","DL-사과산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"청포도향","시트러스향","","","","감미료","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
