"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호2773","품목보고번호19830242017136","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아사이베리믹스","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","아사이베리농축액","감식초","액상과당","이소말토올리고당","발효식초","백설탕","사과농축액","구연산","오미자추출액","DL-사과산","스테비오사이드혼합분말","레드색소","구연산삼나트륨","비타민C","카라멜색소","자몽종자추출물","정제소금","정제수","아사이베리향베이스","아사이베리농축액 10brix를 2brix로 희석하여 사용","","","","현미식초","","","","","","","HI-레드1","","","","","","","아사이베리향"
"2","번호2772","품목보고번호19860443015112","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월","제품명아세노바 골드 펩타이드 콜라겐(Acenova Gold Peptide collagen)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,"콜라겐","히알루론산","비타민C","구연산","잔탄검","스테비올배당체","자일리톨","오렌지농축액","혼합제제","핑크펀치향","혼합제제","자몽향","소르빈산칼륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2771","품목보고번호19970617062135","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명아스타친","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","과.채가공품","추출가공식품","카라멜색소","베타인","오렌지향","효소처리스테비아","안식향산나트륨","비타민B2","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","오렌지농축과즙60Brix(Forzen Concentrated Orange Juice)","헤마토코쿠스추출물","카라멜색소 비에이","","합성향료","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2770","품목보고번호19970617062212","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월 까지","제품명아스타친-알파","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"오렌지농축과즙","정제수","추출가공식품","카라멜색소","베타인","오렌지향","효소처리스테비아","안식향산나트륨","비타민B2","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","헤마토코쿠스추출물","","","합성향료","","","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2769","품목보고번호19860443015173","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월  실온","제품명아스파라파워","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"땅콩새싹농축액","정제수","에리스리톨","시클로덱스트린시럽","대추농축액","맥아추출물","알로에베라(고시형)","L-라이신","L-아르기닌","L-테아닌(고시형)","안식향산나트륨","헛개나무열매추출물",NA,NA,NA,NA,NA,NA,NA,"","","","","","","알로에베라겔분말","","","","","",NA,NA,NA,NA,NA,NA,NA
"6","번호2768","품목보고번호2009015604920","업소명(주)에이치비티","품목유형혼합음료","유통/소비기한12개월","제품명아싸이노니진","분류식품","업체명","(주)에이치비티","소재지","부산광역시 기장군 일광읍 횡계길 7(B동 102호 재부산테크노파크 해양생물산업육성센터)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"노니원액","기타발효음료","푸룬농축액","과.채가공품","키토올리고당(고시형)","가시여지잎분말","포도농축액","구연산","식품첨가물혼합제제","스테비텐후레쉬","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,"","산야초[어성초,오가피,배추,케일,치커리,파래,칡)","","아사이분말(아사이분말80%, 말토덱스트린)","","그라비올라, 뜨거운 물로 추출하여 필터후 추출액을 사용","","","레몬미크론(물엿,레몬오일,아라비아검,시트랄)","효소처리스테비아100%","","",NA,NA,NA,NA,NA,NA,NA
"7","번호2767","품목보고번호20020623009163","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아씨 Aloe","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙","함유절편","액상과당","구연산","벌꿀","구연산삼나트륨","젤란검","젖산칼슘","비타민C","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2766","품목보고번호20020623009404","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명아씨 리치맛알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","알로에베라겔분말","구연산","액상과당","비타민C","구연산삼나트륨","젖산칼슘","젤란검","레드색소","리치향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2765","품목보고번호20060445110652","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아약 에너지 홍삼기닌","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","이소말토올리고당","구연산","시클로덱스트린시럽","홍삼농축액","효소처리스테비아","감귤류추출액","고량강뿌리줄기추출물","마카추출분말","과라나추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","(진세노사이드 Rg1, Rb1 및 Rg3의 합 10mg/g)","","감귤류추출물","갈랑갈추출물","마카추출물분말","과라나추출분말",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2764","품목보고번호20070443110618","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명아이 라이스 유","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"곡류가공품","프락토올리고당","현미유","곡류가공품","탄산칼슘","레시틴","정제소금","천연향료","젤란검","기타가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"유기농 쌀엑기스","","","현미호분추출분말","","해바라기레시틴분말","","천연바닐라추출물","","복합허브추출물D","",NA,NA,NA,NA,NA,NA,NA,NA
