"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","성분 및 원료5","성분 및 원료6","비고5","비고6","번호7","번호8","번호9","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호4574","품목보고번호20080358277234","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명마마쿡다름식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","백설탕","엿기름","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4573","품목보고번호20080358277243","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명마마쿡다름호박식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","정제수","백설탕","엿기름","쌀","","","엿기름추출액","","5","6","호박","호박","단호박","늙은호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4572","품목보고번호2002044901979","업소명남양유업주식회사 천안신공장","품목유형혼합음료","유통/소비기한실온에서 제조일로부터 10주(70일)","제품명마쉼 달고나 라떼","분류식품","업체명","남양유업주식회사 천안신공장","소재지","충청남도 천안시 동남구 목천읍 교천지산길 331-55","1","2","3","4","정제수","원유","혼합분유","커피분말","","","혼합탈지분유","프렌치카페NM","5","6","설탕","탄산수소나트륨","","","7","8","9","자당지방산에스테르","향료","당류가공품","","","달고나시럽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4571","품목보고번호19970464172485","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 간만세-복숭아향","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","약모밀지상부농축액","기타과당","사과농축액","감추출농축액","어성초혼합농축액","","","","5","6","헛개나무열매농축액","밀크씨슬추출물","","","7","8","9","구연산","구연산삼나트륨","타우린","","","","10","11","12","13","14","15","16","17","18","19","20","21","L-아스파라진","니코틴산아미드","비타민B1염산염","비타민B6염산염","비타민 C(고시형)","정제소금","시클로덱스트린시럽","녹차추출물분말가루","글리신","L-아르지닌","복숭아향","정제수","","","","","","","","","","","",""
"5","번호4570","품목보고번호19970464172486","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 간만세-자몽향","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","약모밀지상부농축액","기타과당","사과농축액","감추출농축액","어성초혼합농축액","","","","5","6","헛개나무열매농축액","밀크씨슬추출물","","","7","8","9","구연산","구연산삼나트륨","타우린","","","","10","11","12","13","14","15","16","17","18","19","20","21","L-아스파라진","니코틴산아미드","비타민B1염산염","비타민B6염산염","비타민 C(고시형)","정제소금","시클로덱스트린시럽","녹차추출물분말가루","글리신","L-아르지닌","자몽향","정제수","","","","","","","","","","","",""
"6","번호4569","품목보고번호201703116761","업소명고려은단 주식회사","품목유형혼합음료","유통/소비기한내수용 : 제조일로부터 12개월  / 수출용 : 제조일로부터 24개월","제품명마시는 고려은단 비타민C 1000","분류식품","업체명","고려은단 주식회사","소재지","경기도 안산시 단원구 해봉로273번길 33(신길동)","1","2","3","4","정제수","기타과당","비타민C","오렌지향","","","","합성향료","5","6","사과농축액","구연산(무수)","","","7","8","9","구연산삼나트륨","효소처리스테비아","정제소금","","","","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,"오렌지농축액","비타민B2","덱스트린","판토텐산칼슘","비타민B6염산염","비타민B1질산염","니코틴산아미드",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,NA
"7","번호4568","품목보고번호19970570162286","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한12","제품명마시는 고려은단 비타민C 1000","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","정제수","액상과당","비타민C","착향료(파인애플향)","","","","","5","6","사과농축액","구연산","","","7","8","9","구연산삼나트륨","효소처리스테비아","정제염","","","","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,"오렌지농축액","비타민B2","덱스트린","판토텐산칼슘","비타민B6염산염","비타민B1질산염","니코틴산아미드혼합제제",NA,NA,NA,NA,NA,"","","","","","","나이아신혼합제제",NA,NA,NA,NA,NA
"8","번호4567","품목보고번호19940474018526","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마시는 고려은단 비타민C 1000","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","정제수","사과청징농축액","구연산","구연산삼나트륨","","","","","5","6","비타민C","효소처리스테비아","","","7","8","9","정제소금","덱스트린","판토텐산칼슘","","","","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,"비타민B6염산염","비타민B1질산염","식품첨가물혼합제제","비타민B2","오렌지농축액","액상과당","니코틴산아미드혼합제제",NA,NA,NA,NA,NA,"","","파인애플향","","","","나이아신혼합제제",NA,NA,NA,NA,NA
"9","번호4566","품목보고번호201703116764","업소명고려은단 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마시는 고려은단 비타민C 1000 + 타우린","분류식품","업체명","고려은단 주식회사","소재지","경기도 안산시 단원구 해봉로273번길 33(신길동)","1","2","3","4","정제수","기타과당","비타민C","타우린","","","","","5","6","오렌지향","사과농축액","합성향료","","7","8","9","구연산(무수)","구연산삼나트륨","효소처리스테비아","","","","10","11","12","13","14","15","16","17",NA,NA,NA,NA,"정제소금","오렌지농축액","비타민B2","덱스트린","판토텐산칼슘","비타민B6염산염","비타민B1질산염","니코틴산아미드",NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA
"10","번호4565","품목보고번호19950433026727","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명마시는 곤약크러쉬 샤인머스캣 500ml","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","정제곤약분말","에리스리톨","혼합제제","구연산","곤약알갱이","","나타드코코","","5","6","혼합농축액","젖산칼슘","샤인머스캣, 42.8BX","","7","8","9","구연산삼나트륨","젤란검","수크랄로스","","","","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,"아세설팜칼륨","효소처리스테비아","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","샤인머스켓향 SF-41783","",NA,NA,NA,NA,NA,NA,NA,NA
