"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호4832","품목보고번호20150403012262","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명드림카봇 사과","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8","9","10","11","12","사과농축액","홍삼농축액","백설탕","구연산","젖산칼슘","이눌린/치커리추출물(고시형)","수크랄로스","비타민C","비타민B2인산에스테르나트륨","비타민B6염산염","사과향","정제수","","","","","","","","","","","사과향엠에프","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4831","품목보고번호19960458039586","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명든든한 아침을 위한 흑미와 견과","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","쌀추출액","흑미농축액","현미농축액","땅콩페이스트","아몬드페이스트","설탕","식물성크림","덱스트린","자당지방산에스테르","글리세린호박산지방산에스테르","글리세린지방산에스테르","비타민C","고형분 9%","고형분 50%","고형분 48%","고형분 95%","고형분 95%","","식물성크림W","","","Almax-5100","Almax-1000","","13","14","15","16","17","18","혼합제제","혼합제제","혼합제제","자몽종자추출물","혼합제제","정제수","블랙칼라-씨(M5303)","견과향(21904395)","흑미향(FAC08957)","DF100","폼크린",""
"3","번호4830","품목보고번호2012049021225","업소명농업회사법인 유기농비건(주)","품목유형혼합음료","유통/소비기한90일","제품명들하늘유기농식혜","분류식품","업체명","농업회사법인 유기농비건(주)","소재지","전라북도 정읍시 이평면 말목장터로 483","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"멥쌀","건조맥아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유기멥쌀","유기엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4829","품목보고번호20010445002541","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명디노보 모닝센스","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","5","6","7","8","9","10","11","12","알로에사포나리아잎","D-소르비톨액","알로에아보레센스잎","락툴로즈","난소화성말토덱스트린(고시형)","식물혼합발효추출액","폴리덱스트로스","프락토올리고당","요거트분말","구연산(무수)","자몽종자추출물","요구르트향","알로에사포나리아즙","D-소비톨액","알로에아보에센스원액","락툴로스액","","식물발효추출물","","","","","","","13","14","15",NA,NA,NA,"유산균발효추출분말","치커리식이섬유","아라비아검",NA,NA,NA,"","","",NA,NA,NA
"5","번호4828","품목보고번호2001043909846","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명디아수","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산화아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4827","품목보고번호19860443015303","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명디알에스 콜라겐 음료","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","생선콜라겐","올리고당","자일리톨","망고농축액","구연산","합성향료","합성향료","황금혼합추출물","수크랄로스","엘라스틴가수분해물","히알루론산혼합제제","","액상콜라겐, 피쉬콜라겐 리치","프락토올리고당","","","무수구연산","애플망고향","요구르트향","복합황금추출물","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4826","품목보고번호19940440030201","업소명옥천농협농산물 가공공장","품목유형혼합음료","유통/소비기한1년","제품명디앤카페 카라멜라떼","분류식품","업체명","옥천농협농산물 가공공장","소재지","충청북도 옥천군 동이면 옥천동이로 576-40","1","2","3","4","5","6","7","8","9","10","11","12","커피원두분말","백설탕","아세설팜칼륨","수크랄로스","탄산수소나트륨","정제소금","메타인산나트륨","식물성크림","전지분유","주정","찰옥수수알파전분","당류가공품","커피 고형분 : 0.95%","","","","","","","커피프리마","(수입전지분유(폰테라)","","","카라멜시럽","13","14","15","16","17",NA,"자당지방산에스테르","카제인나트륨","카라멜향","밀크향","정제수",NA,"(S-570)","","E21089763","밀크향(OT-51949)","",NA
"8","번호4825","품목보고번호20070443110594","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명디어오트초콜릿","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","기타가공품","곡류가공품","프락토올리고당","해바라기유","물엿","코코아분말","기타가공품","탄산칼슘","레시틴","제이인산칼륨","정제소금","젤란검","오트원액","오트추출분말","","하이올레익해바라기유","오트추출시럽","코코아파우더 D-","제주용암해수리퀴드","","해바라기레시틴분말","","","","13","14","15","16",NA,NA,"스테비올배당체","혼합제제","혼합제제","정제수",NA,NA,"-P95","초코향 F-","초코향 B-","",NA,NA
"9","번호4824","품목보고번호20070443110593","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명디어오트플레인","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","기타가공품","곡류가공품","해바라기유","물엿","기타가공품","탄산칼슘","레시틴","제이인산칼륨","정제소금","젤란검","천연향료","정제수","오트원액","오트추출분말","하이올레익해바라기유","오트추출시럽","제주용암해수 리퀴드","","해바라기레시틴","","","","천연바닐라추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4823","품목보고번호19930242053414","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명디어푸딩 딸기케이크맛","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8","9","10","11","12","딸기농축액","혼합분유","전지분유","설탕","유크림","가당연유","자당지방산에스테르","자당지방산에스테르","혼합제제","락색소","탄산수소나트륨","합성향료","딸기청징농축액","탈지분유프리퍼레이션","","","","","자당지방산에스테르1","자당지방산에스테르2","","","","딸기향","13","14","15",NA,NA,NA,"합성향료","합성향료","정제수",NA,NA,NA,"밀크향","연유향","",NA,NA,NA
