"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호3350","품목보고번호20030563012105","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명석류랑100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11","12","13","액상과당","구연산","말토덱스트린혼합제제","DL-사과산","효소처리스테비아","안식향산나트륨","삭카린나트륨","구연산삼나트륨","사과농축액","석류농축액","레드칼라","석류향","정제수","","함수","","","","합성보존료","합성감미료","","72Brix, 국내산","이란산, 65Brix","L-1500","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3349","품목보고번호20070464034214","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명석류로 만든 석류쉐이크","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"백설탕","액상과당","석류과즙농축액","구연산삼나트륨","수크랄로스","D-말티톨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3348","품목보고번호201005430668","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한품질유지기한24개월","제품명석류맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","알로에베라잎(껍질제외)","절편","알로에","액상과당","벌꿀","구연산","겔코겔","젖산칼슘","구연산삼나트륨","비타민C","탄산칼슘","락색소(SY Red L-70)","석류향(02B00093)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","정제수",NA,NA,NA,NA,NA,NA,NA
"4","번호3347","품목보고번호19890445014510","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명석류미","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","석류농축액","이소말토올리고당","저당","구연산","섬유소클리콜산나트륨","안식향산나트륨","효소처리스테비아","석류향1","합성착향료","석류향2","합성착향료","성천SC-31228","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3346","품목보고번호1999055518598","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한3년","제품명석류미인","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"과일혼합농축액","올리고당","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류등혼합액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3345","품목보고번호2007046409475","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명석류알로에(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13","알로에베라잎(껍질제외)","크러쉬","알로에베라겔분말","백설탕","액상과당","구연산","젖산칼슘","구연산삼나트륨","석류농축액","젤란검","혼합제재","천연색소","알로에",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","향",NA,"15","16","석류향","정제수",NA,NA
"7","번호3344","품목보고번호2021055909224","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"석류농축액","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3343","품목보고번호19890445014313","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명석류앤비(妃)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"석류농축액","콜라겐펩타이드","글루코사민","폴리덱스트로스","백설탕","액상과당","말토덱스트린","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3342","품목보고번호2014049317144","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명석류에이드","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","설탕","과.채가공품","구연산","식품첨가물혼합제제","식품첨가물혼합제제","카라멜색소","구연산삼나트륨","수크랄로스","식용색소적색제40호",NA,NA,NA,"","","석류농축액","","석류향1","석류향2","","","감미료","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3341","품목보고번호19890445014581","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12월(실온)","제품명석류에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"석류농축액","백설탕","구연산","구연산삼나트륨","비타민C","레드색소(KS)","석류향","석류향","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
