"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호5847","품목보고번호19930461022318","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 8개월","제품명THE 생생 샤인머스캣","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","액상과당","백설탕","혼합농축액","탈지분유","구연산","펙틴","리치향","정제소금","구연산삼나트륨","수크랄로스","정제수","합성향료","열처리유산균","비타민C","비타민E혼합제제","비타민D3혼합제제분말","니코틴산아미드","비타민B6염산염","","","샤인머스켓 농축액","","","","","","","","","샤인머스켓 향","","","","","",""
"2","번호5846","품목보고번호20110445029141","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명Tamsaa 제로 블랙티 레몬맛","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,"정제수","에리스리톨","구연산","고형차","레몬농축액","향료","향료","구연산삼나트륨","비타민C","수크랄로스","스테비올배당체",NA,NA,NA,NA,NA,NA,NA,"","","","홍차추출분말 칠레산","이스라엘산 68bx'","레몬향#1","홍차향#5","","","","리바우디오사이드에이",NA,NA,NA,NA,NA,NA,NA
"3","번호5845","품목보고번호20110445029140","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명Tamsaa 제로 블랙티 복숭아맛","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"정제수","에리스리톨","구연산","고형차","복숭아농축액","향료","향료","구연산삼나트륨","향료","비타민C","수크랄로스","스테비올배당체",NA,NA,NA,NA,NA,NA,"","","","홍차추출분말 칠레산","이스라엘산 68bx'","복숭아향#11","홍차향#5","","녹차향#6","","","리바우디오사이드에이",NA,NA,NA,NA,NA,NA
"4","번호5844","품목보고번호20110445029142","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명Tamsaa 제로 블랙티 자몽맛","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,"정제수","에리스리톨","구연산","레드자몽농축액","고형차","구연산삼나트륨","향료","비타민C","향료","수크랄로스","스테비올배당체",NA,NA,NA,NA,NA,NA,NA,"","","","이스라엘산 64bx'","홍차추출분말 칠레산","","홍차향#5","","자몽향#18","","리바우디오사이드에이",NA,NA,NA,NA,NA,NA,NA
"5","번호5843","품목보고번호2010054306627","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명VERA 알로에 슈가프리","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"알로에베라잎(껍질제외)","절편","알로에","구연산","젤란검","젖산칼슘","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","알로에향(18875)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5842","품목보고번호20020623009197","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명VISVITA ALOE VERA JUICE","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"알로에베라겔즙","함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘","그린칼라","치자황색소","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5841","품목보고번호19960571018379","업소명우일음료","품목유형혼합음료","유통/소비기한24개월","제품명VIT ALOE ORIGINAL","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,"알로에베라잎(껍질제외)","절편","알로에베라잎(껍질제외)","벌꿀","백설탕","젤란검","젖산칼슘","구연산","구연산삼나트륨","천연포도향","청포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5840","품목보고번호19960308010374","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한24월","제품명VITA 500(Brand Vitamin C Health Drink)","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"액상과당","농축사과과즙","비타민C","구연산","드링크향","케이","비타","구연산삼나트륨","펙틴","타우린","DL-사과산","오렌지추출물","히알루론산-KD","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5839","품목보고번호20020623009531","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명VIVOS 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙","함유절편","백설탕","구연산","구연산삼나트륨","젖산칼슘","젤란검","알로에향","포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5838","품목보고번호198604350131141","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명VONBEE 로얄젤리 헬스드링크","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"정제수","과당","프로폴리스","사양벌꿀","동결건조로얄젤리분말","맥아추출액","신령버섯추출액","구연산","구연산삼나트륨","오렌지향","비타민C","펙틴","비타민B6염산염","비타민B2","비타민B1질산염",NA,NA,NA,"","","프로폴리스추출물","","","맥아추출물(고형분 40%)","(아가리쿠스엑기스)(고형분 55%)","","","(천연향료)","","","(비타민B6 82%)","","(비타민B1 81%)",NA,NA,NA
