"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고16","비고17","비고18","비고19","비고20"
"1","번호4354","품목보고번호19970368029379","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명명인이 만든 유기농 식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","곡류가공품","백설탕","쌀","생강농축액","비타민C","정제수","엿기름추출액","유기농백설탕","유기농쌀","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4353","품목보고번호19970368029375","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명명인이야기 수정과","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","정제수","설탕","계피추출액","기타설탕","생강","곶감","","백설탕","고형분 0.8%","흑설탕","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4352","품목보고번호19970368029374","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명명인이야기 식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,NA,"정제수","기타 농산가공품","설탕","쌀",NA,NA,"","엿기름추출액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4351","품목보고번호2004046707148","업소명주식회사 성윤에프엔지(F&G)","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명명작","분류식품","업체명","주식회사 성윤에프엔지(F&G)","소재지","충청남도 금산군 금산읍 진악로 909","1","2","3","4","5","6","인삼혼합추출액","인삼","참당귀","칡뿌리","천궁","계피",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","13","14","15","귤나무열매껍질","대추","건지황","작약","영지버섯","사철쑥","감초","액상과당","이소말토올리고당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4350","품목보고번호20110084489107","업소명(주)웰파인","품목유형혼합음료","유통/소비기한24개월","제품명명작 닥터프리미엄","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","정제수","프락토올리고당","시클로덱스트린시럽","난소화성말토덱스트린(고시형)","채소혼합농축액","아로니아농축액","","","","","채소혼합농축액(20가지)","","7","8","9","10","11","12","13","14","15","석류농축액","녹차추출물분말가루","구연산","블루베리농축액","마테추출분말","레몬농축액","효소처리스테비아","구연산삼나트륨","잔탄검","","녹차추출물분말","함수구연산","","그린마테추출물","SR-23052","","","","16","17","18","19","20","글루콘산아연(고시형)","안식향산나트륨","혼합제제","기타가공품","혼합제제","","","아미노산 혼합제제","뿌리채소추출분말","비타민 혼합제제"
"6","번호4349","품목보고번호20080435168811","업소명(주)신영에이치에스","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명명작매실","분류식품","업체명","(주)신영에이치에스","소재지","충청북도 제천시 바이오밸리로 67(왕암동)","1","2","3","4","5","6","정제수","액상과당","음료베이스","백설탕","매실농축액","사과농축액","","","매원","","","","7","8",NA,NA,NA,NA,NA,NA,NA,"구연산","비타민C",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4348","품목보고번호19870360054101","업소명(주)아모레퍼시픽","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명명작수 녹","분류식품","업체명","(주)아모레퍼시픽","소재지","경기도 안성시 공단1로 36(신건지동)","1","2","3","4","5","6","정제수","이소말토올리고당","배농축액","난소화성말토덱스트린(고시형)","곶감농축액","벌꿀","","","","","","","7","8","9","10","11","12","13","14",NA,"홍삼농축액(고시형)","녹용추출농축액","기타가공품","자일리톨","기타가공품","니코틴산아미드","기타가공품","비타민B6염산염",NA,"","사슴 뿔","인삼열매농축액","","식물추출혼합농축액(토사자.산수유.오미자)","","시트러스식이섬유혼합분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4347","품목보고번호1987036005483","업소명(주)아모레퍼시픽","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명명작수 천","분류식품","업체명","(주)아모레퍼시픽","소재지","경기도 안성시 공단1로 36(신건지동)","1","2","3","4","5","6","정제수","배농축액","벌꿀","난소화성말토덱스트린(고시형)","녹용추출농축액","기타가공품","","","","","","인삼열매농축액","7","8","9","10","11","12","13","14","15","홍삼농축액(고시형)","자일리톨","기타가공품","표고버섯추출농축액","기타가공품","소나무잎추출농축액","기타가공품","레시틴","인삼씨앗유","","","식물추출혼합농축액(토사자.산수유.오미자)","표고버섯추출농축액(백화고)","침향분말","","시트러스식이섬유혼합분말","","인삼씨앗유(개갑)","16",NA,NA,NA,NA,"인삼씨앗추출농축분말",NA,NA,NA,NA,"인삼씨앗추출농축분말(개갑)",NA,NA,NA,NA
"9","번호4346","품목보고번호20080435168805","업소명(주)신영에이치에스","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명명작아로니아","분류식품","업체명","(주)신영에이치에스","소재지","충청북도 제천시 바이오밸리로 67(왕암동)","1","2","3","4","5","6","정제수","액상과당","아로니아농축액","과.채가공품","설탕","구연산","","","","적포도농축액","","","7","8",NA,NA,NA,NA,NA,NA,NA,"아로니아향","비타민C",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4345","품목보고번호2013027507495","업소명(주)에프비신영","품목유형혼합음료","유통/소비기한6개월 까지","제품명명작아로니아","분류식품","업체명","(주)에프비신영","소재지","강원도 횡성군 우천면 우천제2농공단지로 65-47(주에프비신영)","1","2","3","4","5","6","정제수","기타과당","아로니아농축액","과.채가공품","설탕","구연산","","","","적포도농축액","","","7","8",NA,NA,NA,NA,NA,NA,NA,"합성향료","비타민C",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
