"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11"
"1","번호1223","품목보고번호20060467265159","업소명향토농산홍삼사업부","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명천년애산삼배양근","분류식품","업체명","향토농산홍삼사업부","소재지","충청남도 금산군 제원면 송림길 166","1","2","3","4","5","6","7","8","9","10","산삼배양근추출액","산삼배양근생체","액상차","상황버섯복합추출액","영지버섯추출농축액","비타민C","허브향","구연산","자몽종자추출물","정제수","고형분0.3%","국산","명품산삼배양근액정(품목제조번호20060467265158)","상황버섯농축액","영지버섯농축액","","","","","",NA,NA,NA
"2","번호1222","품목보고번호2017014715549","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명천년애홍삼","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5",NA,NA,NA,NA,NA,"정제수","식물성혼합추출액","대추야자농축액","홍삼농축액","혼합제제",NA,NA,NA,NA,NA,"","","대추야지시럽","","비타FM",NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1221","품목보고번호2013052104612","업소명농업회사법인황칠다담주식회사","품목유형혼합음료","유통/소비기한24개월","제품명천년여왕","분류식품","업체명","농업회사법인황칠다담주식회사","소재지","전라남도 장흥군 장흥읍 산단1로 40","1","2","3","4","5","6","7",NA,NA,NA,"황칠진액","해당화진액","꾸지뽕진액","올리고당","시클로덱스트린","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1220","품목보고번호19890445014495","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명천년오디","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,"오디추출액","액상과당","자일리톨","시클로덱스트린","구연산","비타민C","효소처리스테비아","팩틴","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1219","품목보고번호200305541889","업소명(주)비트로시스농업회사법인","품목유형혼합음료","유통/소비기한제조일부터 3년까지","제품명천년정성고려산삼배양근진액","분류식품","업체명","(주)비트로시스농업회사법인","소재지","경상북도 영주시 풍기읍 죽령로1371번길 17(외1필지)","1","2","3",NA,NA,NA,NA,NA,NA,NA,"산삼배양근농축액","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,"사포닌 150mg/g이상, 고형분 70%이상","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1218","품목보고번호2015037512932","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명천년황칠 진액","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5",NA,NA,NA,NA,NA,"황칠나무혼합추출물","자일리톨","허브향","안식향산나트륨","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1217","품목보고번호19890445014832","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명천도복숭아에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","복숭아농축액","천도복숭아추출물","정제수","백설탕","구연산","합성향료","합성향료","홍차추출분말","비타민C","수크랄로스","","천도복숭아농축액","","정백당","","천도복숭아향","자두향","","","감미료","11","구연산삼나트륨",""
"8","번호1216","품목보고번호2004046721314","업소명금산인삼약초영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명천마 진액돌드","분류식품","업체명","금산인삼약초영농조합법인","소재지","충청남도 금산군 복수로 123","1","2","3","4","5",NA,NA,NA,NA,NA,"천마추출액","동결건조누에추출액","고과당","벌꿀","식물추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1215","품목보고번호200803321801","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한제조일로부터150일(냉장)","제품명천마산식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,"엿기름용해액","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1214","품목보고번호2008033218018","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명천마산식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3","4",NA,NA,NA,NA,NA,NA,"엿기름용해액","쌀","설탕","수크랄로스",NA,NA,NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
