"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","성분 및 원료5","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15"
"1","번호4444","품목보고번호2007007680412","업소명장수식혜","품목유형혼합음료","유통/소비기한6개월","제품명맛있는 수정과 -2","분류식품","업체명","장수식혜","소재지","경기도 파주시 상지석길 318-43(2, 3동 상지석동)","1","2","3","4","계피","생강","기타설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4443","품목보고번호200700768047","업소명장수식혜","품목유형혼합음료","유통/소비기한제조일로부터 2개월","제품명맛있는 식혜","분류식품","업체명","장수식혜","소재지","경기도 파주시 상지석길 318-43(2, 3동 상지석동)","1","2","3","4","엿기름","설탕","쌀","정제수","","","","","5","식품첨가물혼합제제","스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4442","품목보고번호200700768048","업소명장수식혜","품목유형혼합음료","유통/소비기한6개월","제품명맛있는 식혜 -2","분류식품","업체명","장수식혜","소재지","경기도 파주시 상지석길 318-43(2, 3동 상지석동)","1","2","3","4","정제수","엿기름","설탕","쌀","","","","","5","식품첨가물혼합제제","스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4441","품목보고번호20160521127167","업소명주식회사 제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명맛있는 자두","분류식품","업체명","주식회사 제이바이오","소재지","전라남도 장흥군 관산읍 방촌1길 44-143","1","2","3","4","정제수","파인애플농축액","프락토올리고당","과.채가공품","","","","푸룬농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4440","품목보고번호1993062500639","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명맛있는 콜라겐 탱!탱!","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","액상과당","결정과당","말토덱스트린","구연산",NA,NA,NA,NA,"5","구연산삼나트륨",NA,"6","7","8","9","10","11","12","13","14","15","라즈베리향","블랙베리향","밀크향","시클로덱스트린","생선콜라겐","DL-사과산","비타민C","식물혼합농축액Y","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4439","품목보고번호2016052112734","업소명주식회사 제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명맛있는 크랜베리","분류식품","업체명","주식회사 제이바이오","소재지","전라남도 장흥군 관산읍 방촌1길 44-143","1","2","3","4","정제수","프락토올리고당","크랜베리농축물","파인애플농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4438","품목보고번호200700768049","업소명장수식혜","품목유형혼합음료","유통/소비기한2개월","제품명맛있는 호박식혜","분류식품","업체명","장수식혜","소재지","경기도 파주시 상지석길 318-43(2, 3동 상지석동)","1","2","3","4","엿기름","쌀","설탕","냉동호박","","","","","5","식품첨가물혼합제제","스테비아","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4437","품목보고번호2007007680410","업소명장수식혜","품목유형혼합음료","유통/소비기한6개월","제품명맛있는 호박식혜 -2","분류식품","업체명","장수식혜","소재지","경기도 파주시 상지석길 318-43(2, 3동 상지석동)","1","2","3","4","엿기름","설탕","쌀","식품첨가물혼합제제","","","","스테비아","5","냉동호박","","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4436","품목보고번호2019041307960","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명맛있는티 레몬티","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","홍차추출액","설탕","기타과당","홍차분말","레몬홍차추출액","","","홍차엽분말","5","합성향료","홍차향1","6","7","8","9","10","11",NA,NA,NA,NA,"합성향료","합성향료","비타민C","수크랄로스","폴리덱스트로스","구연산",NA,NA,NA,NA,"레몬향","홍차향2","","","","",NA,NA,NA,NA
"10","번호4435","품목보고번호2019041307959","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명맛있는티 아이스티","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","홍차추출액","설탕","폴리덱스트로스","수크랄로스","홍차복숭아추출액","","","","5","구연산","","6","7","8","9","10",NA,NA,NA,NA,NA,"DL-사과산","구연산삼나트륨","혼합제제","합성향료","합성향료",NA,NA,NA,NA,NA,"","","홍차향분말","홍차향","복숭아향",NA,NA,NA,NA,NA
