"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호3450","품목보고번호2017037259078","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명상아탱탱콜라겐젤리","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","석류착즙액","프락토올리고당","피쉬젤라틴","레드비트농축액","포도당","혼합제제","석류향","구연산","L-카르니틴","기타가공품","히알루론산","자일리톨","","","","저분자피쉬콜라겐","","","푸드겔","","","","복합황금추출물","",""
"2","번호3449","품목보고번호200500771318","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명상아파나탑","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"KHP돈태반프라센타액","대두추출물분말","과라나추출물","구연산","액상과당","올리고당","감초엑기스","홍삼엑스","잔탄검","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3448","품목보고번호2005007713119","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명상아파워프라센","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,"KHP돈태반프라센타액","대두추출물분말","과라나추출물","구연산","액상과당","올리고당","감초엑기스","홍삼엑스","잔탄검","안식향산나트륨","과일향","상수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3447","품목보고번호200500771316","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명상아프라센","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"KHP 돈태반프라센타액","올리고당","과라나추출물","감초엑기스","대두추출물분말","구연산","과일향","홍삼엑스","잔탄검","안식향산나트륨","상수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3446","품목보고번호2005007713114","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명상아프라센플러스","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"KHP돈태반프라센타액","대두추출물분말","과라나추출물","구연산","액상과당","올기고당","감초엑기스","홍삼엑스","잔탄검","안식향산나트륨","상수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3445","품목보고번호2005007713145","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상아휴먼라이프","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"포사인태반추출액","감초엑기스","올리고당","과라나추출물","아미노믹스","대두추출물분말","구연산","L-아르기닌","과일향","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3444","품목보고번호2018049104479","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명상어 에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","구연산","오렌지농축액","합성향료","합성향료","구연산삼나트륨","잔탄검","합성향료","수크랄로스","식용색소적색제40호","식용색소청색제1호","비타민C","","","함수구연산","65Brix,미국산","오렌지향","딸기향","산도조절제","안정제","시트러스향","감미료","착색제","착색제",""
"8","번호3443","품목보고번호19970368029382","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명상주곶감수정과","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"음료베이스","백설탕","기타설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"계피곶감추출액","백설탕","흑설탕","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3442","품목보고번호202105210651","업소명주식회사 상춘당","품목유형혼합음료","유통/소비기한9개월","제품명상춘수","분류식품","업체명","주식회사 상춘당","소재지","전라남도 구례군 산동면 지리산온천로 266-12(101호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","비타민미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","비타민미네랄믹스-SA (주)빅솔 품목번호 2005031123840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3441","품목보고번호202105210658","업소명주식회사 상춘당","품목유형혼합음료","유통/소비기한9개월","제품명상춘초","분류식품","업체명","주식회사 상춘당","소재지","전라남도 구례군 산동면 지리산온천로 266-12(101호)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,"황기","가시오가피숙지황 복합추출물","감초","정제소금","셀레늄(고시형)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
