"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호481","품목보고번호2003054113812","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명프리미엄파워100","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","양파","마늘","사과","다시마","홍삼",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호480","품목보고번호2004036419916","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한3년","제품명프리칼신-F(PreCalcin-F)","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","3",NA,NA,"고활성","칼슘(고시형)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호479","품목보고번호19810606006514","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 09월까지","제품명프쌤","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","두류가공품","유청단백분말","카제인칼슘","홍차추출분말","난소화성말토덱스트린(고시형)","분리대두단백","농축유청단백","","","","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","덱스트린","효소처리스테비아","폴리인산칼륨","제이인산칼슘","수크랄로스","비타민B2","비타민C","카페인","탄산칼슘","비타민B1염산염","비타민B6염산염","식품첨가물혼합제제","니코틴산아미드","자당지방산에스테르","탈지분유","합성향료","정제수","말토덱스트린","","","","","","","","","","","비타민D3","","","","홍차향",""
"4","번호478","품목보고번호20010515081474","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명프쌤 바나나맛","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","정제수","콩기름(대두유)","카제인나트륨","분리유단백","백설탕","","","","미셀라카제인","","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21",NA,"분리대두단백","소르비탄지방산에스테르","글리세린지방산에스테르","덱스트린","바나나향","밀크향","바나나농축액","카라기난","정제소금","비타민C","수크랄로스","비타민B1염산염","비타민B2","비타민D3","비타민E혼합제제","니코틴산아미드",NA,"","","","말토덱스트린","","","","","","","","","","","","",NA
"5","번호477","품목보고번호20010515081494","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명프쌤 요거트향","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","정제수","유청단백분말","프락토올리고당","카복시메틸셀룰로스나트륨","글리세린지방산에스테르","","","","","","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,"DL-사과산","구연산","비타민C","규소수지","스테비텐후레쉬","수크랄로스","요거트향","유산균배양건조물","비타민B1혼합제제","비타민B2혼합제제","비타민D3","비타민E","니코틴산아미드",NA,NA,NA,NA,"","","","","","","","포스트바이오틱스","","","","","",NA,NA,NA,NA
"6","번호476","품목보고번호19810606006523","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월까지","제품명프쌤요구르트향","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","유청단백분말","프락토올리고당","구연산","DL-사과산","효소처리스테비아","분리유청단백","","","","","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,"수크랄로스","니코틴산아미드","비타민C","비타민B1염산염","비타민B6염산염","식품첨가물혼합제제","식품첨가물혼합제제","기타가공품","합성향료","합성향료","식품첨가물혼합제제","정제수",NA,NA,NA,NA,NA,"","","","","","비타민D3혼합제제","비타민E혼합제제","유산균배양분말(유산균사균체분말)","요구르트향","요구르트향","규소수지(폼크린200)","",NA,NA,NA,NA,NA
"7","번호475","품목보고번호20070464034207","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명프코 넛츠 드링크 캐슈몬드 오리지널","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","땅콩 또는 견과류가공품","천일염","기타가공품","해바라기유","설탕","혼합견과액(고형분5.5%)","","해조분말","고올레산해바라기유","유기농밝은갈색설탕","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"과채주스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류주스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호474","품목보고번호20070464034208","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명프코 넛츠 드링크 캐슈몬드 카카오","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","땅콩 또는 견과류가공품","천일염","기타가공품","해바라기유","코코아분말","혼합견과액(고형분8.5%)","","해조분말","고올레산해바라기유","코코아파우더","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"설탕","과채주스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유기농밝은갈색설탕","석류주스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호473","품목보고번호20020383603409","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명플라센타콜라겐골드","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","생선콜라겐펩타이드","돼지태반추출물","액상과당","석류농축액","말티톨시럽","콜라겐펩타이드-SL50","태반추출물","","","액상말티톨","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,"레몬향","석류향","타우린","비타민C","구연산(무수)","γ-시클로덱스트린","히알루론산혼합제제","아미노산혼합제제","자몽종자추출물","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,"천연향료","합성향료","","","","감마시클로덱스트린","히알루론산 10%","아미노믹스","","감미료","",NA,NA,NA,NA,NA,NA
"10","번호472","품목보고번호19860443015327","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명플라센타콜라겐골드(Placenta Collagen Gold)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","정제수","생선콜라겐","양태반추출물","기타과당","D-말티톨","","피쉬콜라겐, 생선콜라겐펩티드, 피쉬콜라겐펩타이드, 피쉬콜라겐펩티드","양태반효소추출액(고형분3%)","과당, 액상고과당, 액상과당","","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,"합성향료","타우린","합성향료","복분자추출물분말","석류농축액","비타민C","구연산","황금혼합추출물","히알루론산혼합제제","아미노산혼합제제","수크랄로스",NA,NA,NA,NA,NA,NA,"석류향","","레몬향","","","","무수구연산","복합황금추출물","","혼합아미노산BCAA","",NA,NA,NA,NA,NA,NA
