"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","성분 및 원료5","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14","번호15","성분 및 원료15","비고15"
"1","번호4792","품목보고번호201803359991","업소명디에스식품","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명또식혜","분류식품","업체명","디에스식품","소재지","경기도 고양시 일산서구 구산로135번길 66-21(나동 구산동)","1","2","3","4","정제수","백설탕","엿기름","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4791","품목보고번호201803359992","업소명디에스식품","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명또식혜(단호박)","분류식품","업체명","디에스식품","소재지","경기도 고양시 일산서구 구산로135번길 66-21(나동 구산동)","1","2","3","4","단호박씨앗","엿기름","정제수","백설탕","단호박","","","","5","멥쌀","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4790","품목보고번호202004490542","업소명(주)락산수","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명똑똑한물","분류식품","업체명","(주)락산수","소재지","충청북도 증평군 도안면 벨포레길 369","1","2",NA,NA,"정제수","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4789","품목보고번호2008033218046","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 6개월","제품명뜸들이다 클래식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3","4","엿기름","쌀","설탕","비타민D3혼합제제분말","대맥70%,소맥30%(정제수 혼합)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4788","품목보고번호20140395066259","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명띵커바디 곤약젤리 깔라만시","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","정제수","과채주스","에리스리톨","혼합제제","","(깔라만시 원액)","","","5","곤약분말","","6","7","8","9","10","11","12","젖산칼슘","구연산삼나트륨","구연산","천연오렌지향","수크랄로스","아세설팜칼륨","비타민C","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4787","품목보고번호20140395066260","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명띵커바디 곤약젤리 복숭아","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","정제수","에리스리톨","복숭아농축액","구연산(무수)",NA,NA,NA,NA,"5","곤약분말",NA,"6","7","8","9","10","11","12","구연산삼나트륨","혼합제제","복숭아향","젖산칼슘","수크랄로스","아세설팜칼륨","사과농축액",NA,NA,NA,NA,NA,NA,NA,"13","14","비타민C","토마토색소",NA,NA,NA,NA,NA
"7","번호4786","품목보고번호20140395066261","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명띵커바디 곤약젤리 와일드망고","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","정제수","에리스리톨","망고농축액","구연산(무수)",NA,NA,NA,NA,"5","곤약분말",NA,"6","7","8","9","10","11","12","구연산삼나트륨","혼합제제","망고향","젖산칼슘","수크랄로스","아세설팜칼륨","아프리카망고 종자추출물(IGOB131)(기능성원료인정제2015-14호)",NA,NA,NA,NA,NA,NA,NA,"13","14","비타민C","치자황색소",NA,NA,NA,NA,NA
"8","번호4785","품목보고번호20140395066262","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명띵커바디 곤약젤리 자몽","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","정제수","에리스리톨","자몽농축액","구연산(무수)","","","(홍자몽농축액)","","5","곤약분말","","6","7","8","9","10","11","12","구연산삼나트륨","혼합제제","자몽향","젖산칼슘","수크랄로스","아세설팜칼륨","파인애플농축액","","","","","","","","13","14","비타민C","토마토색소","","","15","자색고구마색소",""
"9","번호4784","품목보고번호20140395066263","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명띵커바디 곤약젤리 청포도","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","정제수","에리스리톨","청포도농축액","구연산(무수)",NA,NA,NA,NA,"5","곤약분말",NA,"6","7","8","9","10","11","12","구연산삼나트륨","혼합제제","청포도향","젖산칼슘","수크랄로스","아세설팜칼륨","사과농축액",NA,NA,NA,NA,NA,NA,NA,"13","14","비타민C","치자청색소",NA,NA,"15","치자황색소",NA
"10","번호4783","품목보고번호20140395066264","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명띵커바디 곤약젤리 풋사과","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","정제수","에리스리톨","사과농축액","구연산(무수)","","","","","5","곤약분말","","6","7","8","9","10","11","12","구연산삼나트륨","혼합제제","사과향","젖산칼슘","수크랄로스","아세설팜칼륨","사과추출물분말","","","","","","","(풋사과추출분말)","13","14","비타민C","치자청색소","","","15","치자황색소",""
