"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호5252","품목보고번호19970515002198","업소명농업회사법인(주)고려전통식품","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명넌 참 좋은 식혜야","분류식품","업체명","농업회사법인(주)고려전통식품","소재지","전라남도 담양군 창평면 유천길 154-15","1","2","3","4","5","정제수","쌀","설탕","엿기름","감초","","무농약쌀/국산","","국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5251","품목보고번호19970515002111","업소명농업회사법인(주)고려전통식품","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명넌 참 좋은 유기농 식혜야","분류식품","업체명","농업회사법인(주)고려전통식품","소재지","전라남도 담양군 창평면 유천길 154-15","1","2","3","4","5","정제수","쌀","설탕","엿기름","감초","","유기농","유기농","유기농","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5250","품목보고번호19980308080394","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명널담 비건유 오리지널","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","마카다미아","정제수","에리스리톨","옥수수기름(옥배유)","탄산칼슘","마카다미아액(마카다미아고형분 4% 이상)","","","","","6","7","8","9","10","11","12","13","합성향료","소르비탄지방산에스테르","레시틴","정제소금","탄산수소나트륨","카라기난","젤란검","합성향료","마카다미아향","","대두레시틴","","","","","마카다미아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5249","품목보고번호20070464034209","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명넛츠 쉐이크 초코","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","땅콩 또는 견과류가공품","설탕","코코아분말","해바라기유","천일염","혼합견과액","유기농밝은갈색설탕","코코아파우더","고올레산해바라기유","","6","7",NA,NA,NA,NA,NA,NA,"기타가공품","정제수",NA,NA,NA,NA,NA,NA,"해조분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5248","품목보고번호20070464034205","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명넛츠쉐이크","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","땅콩 또는 견과류가공품","설탕","해바라기유","천일염","기타가공품","혼합견과액(고형분8.5%)","유기농밝은갈색설탕","고올레산해바라기유","","해조분말","6",NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5247","품목보고번호20090242118187","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명네니아 유기농 진식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5","정제수","설탕","엿기름","쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5246","품목보고번호2010052806666","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일부터 냉동보관 1년","제품명네니아유기농전통식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","엿기름당화액","생강","정제수","설탕","쌀","유기농","유기농","","유기농","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5245","품목보고번호2010052806667","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관1년","제품명네니아유기농호박식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","서양호박","정제수","엿기름당화액","설탕","쌀","유기농 자숙 단호박","","유기농","유기농","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5244","품목보고번호19970464172297","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명네버다이 247","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","액상과당","헛개나무열매농축액","배농축액","사양벌꿀","블루베리향","기타과당","","","","1606622","6","7","8","9","10","11","12","13","과라나추출물분말","비타민 C(고시형)","구연산","밀크씨슬추출물","타우린","구연산삼나트륨","마카과립","L-아르기닌(기능성원료인정제2015-19호)","","","","밀크씨슬추출분말","","","마카분말","L-아르지닌","14","15","16","17","18","19","20","21","L-아스파라진","산화아연","황산마그네슘","니코틴산아미드","비타민 B1염산염(고시형)","판토텐산칼슘","비타민 B2(고시형)","정제수","","","","","","","",""
"10","번호5243","품목보고번호19860443015299","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명네버다이 365","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","정제수","기타과당","자일리톨","블루베리농축액","구연산","","","","","무수구연산","6","7","8","9","10","11","12","13","L-아르지닌","타우린","아미노산혼합제제","글리신","L-카르니틴","합성향료","황금혼합추출물","니코틴산","아르지닌","","혼합아미노산BCAA","","카르니틴","블루베리향","복합황금추출물","나이아신","14","15","16","17",NA,NA,NA,NA,"수크랄로스","비타민B1염산염","비타민B2","비타민 B12 혼합제제분말",NA,NA,NA,NA,"","","","",NA,NA,NA,NA
