"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호531","품목보고번호19970464172507","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프로폴리스쌍화골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","쌍화농축액","대추농축액","생강농축액","기타과당","프로폴리스추출액","주정","구연산","구연산삼나트륨","효소처리스테비아","정제소금","카라멜색소","생강향","쌍화향","정제수","","","","","프로폴리스추출물","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2","번호530","품목보고번호19850449001106","업소명삼육식품","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명프롬 아몬드 언스위트","분류식품","업체명","삼육식품","소재지","충청남도 천안시 서북구 직산읍 성진로 354-13","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"혼합음료","정제소금","자당지방산에스테르","합성향료","카라기난","탄산칼슘","식품첨가물","합성향료","정제수",NA,NA,NA,NA,NA,"아몬드액","","","아몬드향 FAC-07587","","","겔코겔 LT-100(젤란검)","밀크향 AF-14562","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호529","품목보고번호19850449001105","업소명삼육식품","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명프롬 아몬드 오리지널","분류식품","업체명","삼육식품","소재지","충청남도 천안시 서북구 직산읍 성진로 354-13","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"혼합음료","설탕","정제소금","자당지방산에스테르","합성향료","카라기난","식품첨가물","탄산칼슘","합성향료","합성향료","정제수",NA,NA,NA,"아몬드액","","","","아몬드향 FAC-31637","","겔코겔 LT-100(젤란검)","","아몬드향 FAC-30871","아몬드향 FAC-30832","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호528","품목보고번호20090440068280","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명프루츠맛쿨","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","혼합음료","혼합음료","혼합음료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"프루츠맛쿨 사과","프루츠맛쿨 딸기","프루츠맛쿨 포도","프루츠맛쿨 복숭아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호527","품목보고번호20090440068285","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명프루츠맛쿨 딸기","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","기타과당","설탕","포도당","혼합제제","DL-사과산","딸기향","딸기농축액","구연산","효소처리스테비아","안식향산나트륨","식용색소적색제40호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호526","품목보고번호20090440068283","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명프루츠맛쿨 복숭아","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","기타과당","설탕","포도당","혼합제제","DL-사과산","복숭아향","구연산","복숭아농축액","효소처리스테비아","안식향산나트륨","식용색소황색제5호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호525","품목보고번호20090440068282","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명프루츠맛쿨 사과","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"정제수","기타과당","설탕","포도당","혼합제제","DL-사과산","사과농축액","사과향","구연산","효소처리스테비아","안식향산나트륨","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호524","품목보고번호20090440068284","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명프루츠맛쿨 포도","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"정제수","기타과당","설탕","포도당","혼합제제","DL-사과산","포도향","구연산","포도농축액","효소처리스테비아","안식향산나트륨","식용색소적색제40호","식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호523","품목보고번호202206831291","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프루티 워터 베리맛","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","천연향료","구연산","과.채가공품","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","빌베리농축액 100%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호522","품목보고번호19890445014767","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명프리미엄 나노콜라겐2000","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","돈피콜라겐","아로니아농축액","구연산","수크랄로스","구연산삼나트륨","락색소","안식향산나트륨","블루베리향","히알루론산","카르복시메틸셀룰로오스나트륨","덱스트린","글리신","잔탄검","","","폴란드산,배합함량100%","결정","","","","합성보존료","합성향료","","CMC","말토덱스트린","","","15","16","왕느릅나무껍질추출물","물엿","","저감미당"
