"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호4414","품목보고번호19780614001419","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔 24개월","제품명매실","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","11","매실농축액","사과청징농축액","기타과당","말토덱스트린혼합제제","구연산","구연산삼나트륨","비타민C","혼합제제","합성향료","합성향료","정제수","","","","","","","","브라운칼라CA","매실향1","매실향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4413","품목보고번호19780368002552","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명매실","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11","과.채가공품","사과농축액","매실농축액","액상과당","말토덱스트린","구연산","구연산삼나트륨","비타민C","혼합제제","합성향료","합성향료","가당매실청징농축액","사과청징농축액","","","","","","","","매실향2","매실향1","12","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4412","품목보고번호20060464002381","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명매실레몬 블랜딩티","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","5","6","7","8","9","10","11","매실농축액","레몬농축액","설탕","구연산","구연산삼나트륨","비타민C","유산균혼합분말","생선콜라겐","당류가공품","덱스트린","수크랄로스","65Brix이상","65Brix","","","","","","","카라멜당시럽","말토덱스트린","","12","아세설팜칼륨","","13","14","15","레몬향","매실향","정제수","","",""
"4","번호4411","품목보고번호20170209425104","업소명(주)화미","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명매실엑기스","분류식품","업체명","(주)화미","소재지","인천광역시 서구 열우물로 221(A동 1층일부, B동1층,3층 가좌동)","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","기타과당","소스류","식품첨가물혼합제제","구연산","DL-사과산","카라멜색소","아세설팜칼륨",NA,NA,NA,"","과당55/삼양사","매실엑스/미광푸드","매실향W191505/위웰에프앤에스","함수구연산","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4410","품목보고번호20170209425197","업소명(주)화미","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명매실엑기스-1","분류식품","업체명","(주)화미","소재지","인천광역시 서구 열우물로 221(A동 1층일부, B동1층,3층 가좌동)","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","기타과당","소스류","식품첨가물혼합제제","구연산","DL-사과산","카라멜색소",NA,NA,NA,NA,"","과당55","매실엑스","매실향","함수구연산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4409","품목보고번호19960458039514","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명매실음료","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","매실농축액","덱스트린","글리신","카라멜색소","구연산","비타민C","혼합제제","혼합제제",NA,"","","66Brix, 국산","","","","","","매실향 SC-50644","매실향 1909143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4408","품목보고번호19960571018558","업소명우일음료","품목유형혼합음료","유통/소비기한1) 합성수지재(PET) 포장 제품 : 제조일로부터 1년       2) 병 포장 제품 : 제조일로부터 1년","제품명매실음료","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","덱스트린","매실향","매실향","글리신","카라멜색소","구연산","비타민C","매실농축액",NA,"","","","","","","","","","국산, 66nBrix 이상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4407","품목보고번호1981022700726","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한6개월","제품명매일슬러쉬딸기맛","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9",NA,NA,"액상과당","백ㄱ설탕","아스파탐","구연산","비타민C","소금","딸기향","식용색소 적색40호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4406","품목보고번호1981022700725","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한6개월","제품명매일슬러쉬오렌지맛","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9",NA,NA,"액상과당","백설탕","아스파탐","구연산","비타민C","소금","오렌지향","식용색소 황색4호 5호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4405","품목보고번호19810227007465","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명매일워터","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","젖산칼슘","염화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
