"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","번호17","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고14","비고15","비고16","비고17"
"1","번호3260","품목보고번호2016008443216","업소명(주)죠이라이프","품목유형혼합음료","유통/소비기한제조일로부터24개월까지","제품명소녀 콜라겐 앰플","분류식품","업체명","(주)죠이라이프","소재지","서울특별시 금천구 벚꽃로 232(3층 가산동)","1","2","3","4","5","6","7","8","9","10","11","정제수","과.채가공품","기타가공품","당류가공품","히알루론산","구연산","비타민 C(고시형)","혼합제제","혼합제제","잔탄검","효모식품","","유자과즙농축액","저분자피쉬콜라겐","유자맛분말","","구연산(무수)","","유자향분말","효소처리스테비아-50","","건조효모분말(BT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3259","품목보고번호19970464172504","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명소녀 콜라겐(Girl collagen)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9",NA,NA,"생선콜라겐분말","사과농축액","비타민C","기타과당","구연산","구연산삼나트륨","효소처리스테비아","사과향","정제수",NA,NA,"저분자피쉬콜라겐","70 Brix","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3258","품목보고번호20060464002400","업소명(주)건강마을","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명소녀 콜라겐+(Girl collagen +)","분류식품","업체명","(주)건강마을","소재지","충청남도 논산시 연무읍 양지길 45-41","1","2","3","4","5","6","7","8","9",NA,NA,"생선콜라겐","사과농축액","기타과당","구연산","구연산삼나트륨","비타민C","효소처리스테비아","사과향","정제수",NA,NA,"","70Brix","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3257","품목보고번호20060512128220","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명소다에이드","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7","8","9","10","11","정제수","액상과당","백설탕","음료베이스","덱스트린","소다향분말","구연산","잔탄검","시트러스향","비타민C","구연산삼나트륨","","","","블루큐라소","말토덱스트린","","","","","","","12","13","밀크향","효소처리스테비아","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3256","품목보고번호2017022706756","업소명셀리나(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명소식 SO CHIC","분류식품","업체명","셀리나(주)","소재지","광주광역시 광산구 평동산단3번로 85(1층 용동)","1","2","3","4","5","6","7","8","9","10","11","정제수","L-카르니틴","L-아르지닌","녹차추출물","레몬밤추출물","히비스커스추출물","망고종자추출물","자몽농축분말","바나바잎추출물","아미노산혼합제제","아미노산혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","치커리식이섬유","수크랄로스",NA,NA,"14","15","16","17","황금혼합추출물","구연산","폴리덱스트로스","합성향료",NA,NA,NA,NA
"6","번호3255","품목보고번호20020623009862","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월.","제품명소프트 워터 상큼한 복숭아","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7",NA,NA,NA,NA,"복숭아농축액","백설탕","구연산","구연산삼나트륨","히알루론산","합성향료","정제수",NA,NA,NA,NA,"","","","","","복숭아향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3254","품목보고번호19960571018641","업소명우일음료","품목유형혼합음료","유통/소비기한합성수지재(PET) 포장 제품 : 제조일로부터 12개월","제품명소프트워터 복숭아","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","설탕","복숭아농축액","구연산","혼합제제","구연산삼나트륨","히알루론산",NA,NA,NA,NA,"","","68Bx, 이스라엘","","복숭아향 NR-14040","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3253","품목보고번호19960458039658","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명소프트워터 복숭아","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","설탕","복숭아농축액","구연산","합성향료","구연산삼나트륨","히알루론산",NA,NA,NA,NA,"","","고형분 68%","","복숭아향 NR-14040","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3252","품목보고번호19960458039601","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명소프트워터 상큼한 복숭아","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","설탕","복숭아농축액","구연산","합성향료","구연산삼나트륨","히알루론산",NA,NA,NA,NA,"","","고형분 68%","","복숭아향 NR-14040","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3251","품목보고번호20190575042170","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명소프트워터 상큼한 복숭아","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","백설탕","복숭아농축액","구연산","합성향료","구연산삼나트륨","히알루론산",NA,NA,NA,NA,"","","이스라엘산","","복숭아향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
