"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15"
"1","번호631","품목보고번호20010445002718","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명푸룬 NEW상쾌한변화","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","D-소비톨액","정제수","락툴로즈","만니톨","서양자두농축액","치커리식이섬유","석류농축액","백포도농축액","액상차","폴리덱스트로스","구연산","푸룬향","사과농축액","다시마농축분말","구연산삼나트륨","","","락추로스액","","푸룬농축액","","","","신초본혼합농축액","","","","사과농축과즙액","",""
"2","번호630","품목보고번호2020042406551","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명푸룬클레오","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","서양자두농축액","과.채가공품","프락토올리고당","무화과열매추출물","용설란시럽","당근농축액","사과농축액","락툴로즈분말","잔탄검","구연산","황금추출물","푸룬향","비타민C",NA,"","유기농푸룬농축액","골드키위유산균배양물","","무화과추출액","아가베시럽","제주당근농축액","","락툴로즈혼합분말","","무수구연산","복합황금추출물","","",NA
"3","번호629","품목보고번호20060392223130","업소명네오팜","품목유형혼합음료","유통/소비기한24월","제품명푸룬통쾌한변화","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"푸룬농축과즙","정제수","D-소르비톨액","락툴로즈","만니톨","알로에추출물","농축사과과즙","석류농축과즙","폴리덱스트로스","구연산","청사과향","비타민C",NA,NA,NA,"품목보고번호:2006039222373","","","","","","72Bx","65Bx","","","합성착향료","",NA,NA,NA
"4","번호628","품목보고번호2006046711440","업소명주식회사 현가","품목유형혼합음료","유통/소비기한30일","제품명푸르나이쌀식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","맵쌀","설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호627","품목보고번호2006046711441","업소명주식회사 현가","품목유형혼합음료","유통/소비기한12개월","제품명푸르나이전통식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿개름","맵쌀","설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호626","품목보고번호20100543066790","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명푸르티 애플망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","과.채가공품","구연산","수크랄로스","카로틴","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,"","","애플망고퓨레, 배합함량 애플망고 100%, 인도산","","감미료","","애플망고향",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호625","품목보고번호20040445073279","업소명(주)대일","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명푸르팜 망고","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"망고농축퓌레","과.채가공품","백설탕","구연산","구연산삼나트륨","비타민C","잔탄검","치자황색소","레드칼라","망고향","망고향","정제수",NA,NA,NA,"","황도 다이스","","","","","","","HS-5653","보락 망고향 H","한불 망고향 B-20107","",NA,NA,NA
"8","번호624","품목보고번호201306280192","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명푸른섬제주알칼리","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호623","품목보고번호2013062801910","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명푸른섬제주알칼리(수출용)","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호622","품목보고번호20020623009951","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명푸석푸석한숙취 모닝케어S","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"기타가공품","혼합제제","기타가공품","타우린","히알루론산","기타가공품","혼합제제","기타가공품","올리고당가공품","설탕","스테비올배당체","혼합제제","구연산","정제수",NA,"RSE-a(쌀눈대두발효추출물)","비타민B혼합복합물","갈근추출분말","","","피쉬콜라겐","아와컷CP","복합황금추출물","","","","블루베리향(EM-19A022)","구연산(무수)","",NA
