"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7"
"1","번호1943","품목보고번호19890445014799","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명유기농사과에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","사과농축액","설탕","구연산","구연산칼륨","비타민C","천연사과향","정제수","(유기농사과쥬스(터키산,고형분 7%)","유기황설탕(브라질산)","","","","",""
"2","번호1942","품목보고번호20100528066195","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명유기농수정과","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","6",NA,"계피건조","설탕","생강","곶감","건조대추","정제수",NA,"유기농","유기농","유기농","유기농","유기농","",NA
"3","번호1941","품목보고번호19710570001472","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한24개월","제품명유기농식혜","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5",NA,NA,"유기농사탕수수원당","겉보리엿기름","유기농7분도쌀","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1940","품목보고번호20090397178102","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한18개월( 냉장,냉동보관)","제품명유기농식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","4",NA,NA,NA,"설탕","엿기름","멥쌀","정제수",NA,NA,NA,"유기농","유기농","유기농","",NA,NA,NA
"5","번호1939","품목보고번호2009039717864","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한18개월(0~10℃냉장보관, -18℃이하 냉동보관)","제품명유기농식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","4",NA,NA,NA,"멥쌀","엿기름","설탕","정제수",NA,NA,NA,"유기농","유기농","유기농","",NA,NA,NA
"6","번호1938","품목보고번호19970368029331","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한12개월(실온)","제품명유기농식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6",NA,"정제수","설탕","기타 농산가공품","쌀","기타가공품","비타민C",NA,"","유기농","유기농엿기름추출액","유기농","생강농축액 / 생강 100%","",NA
"7","번호1937","품목보고번호201603689516","업소명디저트앤","품목유형혼합음료","유통/소비기한6개월","제품명유기농식혜진액","분류식품","업체명","디저트앤","소재지","경기도 광주시 초월읍 도곡길 48-3","1","2","3","4",NA,NA,NA,"정제수","갈색설탕","곡류가공품","쌀",NA,NA,NA,"","유기농설탕(유기농 사탕수수 100%)","유기농엿기름(유기농 보리 100%)","유기농 쌀 100%",NA,NA,NA
"8","번호1936","품목보고번호2006046711426","업소명주식회사 현가","품목유형혼합음료","유통/소비기한15일(냉장)","제품명유기농쌀 식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5",NA,NA,"엿기름","쌀","설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1935","품목보고번호2014039506644","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한냉장 60일 냉동1년","제품명유기농쌀식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4",NA,NA,NA,"멥쌀","정제수","엿기름","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1934","품목보고번호2009039717892","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명유기농쌀식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","4",NA,NA,NA,"설탕","엿기름","멥쌀","정제수",NA,NA,NA,"유기농","유기농","유기농","",NA,NA,NA
