"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고17","비고18","비고19","번호20","번호21","번호22","번호23","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고20","비고21","비고22","비고23"
"1","번호4334","품목보고번호19940474018436","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모과갈근쌍화","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","천궁농축액","칡농축액","모과농축액","액상과당","구연산","구연산삼나트륨","말토덱스트린","펙틴","카라멜색소 Ⅳ","아세설팜칼륨","안식향산나트륨","쌍화향","정제수","기타가공품","식품첨가물혼합제제","정제소금","","","","","","","","","","","","","","쌍화농축액,고형분40%","생강추출물(올레오레진진저,곡물주정,프로필렌글리콜)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4333","품목보고번호19970464172554","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝 이즈백 블루베리","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","기타과당","프락토올리고당","사양벌꿀","헛개나무열매농축액","블루베리농축액","아로니아농축액","오리나무농축액","밀크씨슬추출물","타우린","구연산","효소처리스테비아","정제소금","비타민C","기타가공품","황금추출물","L-아스파트산","","","","","","","","","","","레바텐P","","","비타프로 BFG-YF","","","17","18","19","허브향","허니향","정제수","허브믹스향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4332","품목보고번호20080181270180","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝리커버리(morning recovery)","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","기타가공품","백설탕","효소처리스테비아","밀크씨슬추출물분말","혼합허브추출물","구연산삼나트륨","젖산칼슘","구연산칼륨","글루콘산마그네슘","니코틴산아미드","비타민B6염산염","엽산","분말비타민B12혼합제제","보검선인장농축","배농축액","","새싹보리추출물분말","","스테비아95","","복합허브추출물E","","","","","비타민B3","","비타민B9","비타민B12 0.1%","백년초농축액","","17","18","19","녹차농축액","홍삼농축액","구연산(무수)","","","","20","21","22","23","비타민C","잔탄검","헛개나무과병추출분말","천연향료(Lemon)","","","",""
"4","번호4331","품목보고번호2020044271644","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝세븐","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","결정과당","구연산","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오가피혼합농축액(50brix)","","","보존료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4330","품목보고번호19970464172158","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝업","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","액상과당","헛개열매농축액","배농축액","대추농축액","울금추출분말","벌꿀","L-아스파라긴","타우린","구연산","구연산삼나트륨","비타민C","효소처리스테비아","카라멜색소","혼합과일향","벌꿀향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4329","품목보고번호200805630749","업소명주식회사 동아생명공학","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명모닝오케이","분류식품","업체명","주식회사 동아생명공학","소재지","경상북도 의성군 다인면 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"헛개나무열매추출액","천궁액기스","계피엑기스","대추엑기스","배액기스","액상과당","구연산","구연산삼나트륨","효소처리스테비아","카라멜","사카린","허브향","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4328","품목보고번호20140607614219","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝제로","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,"식물혼합추출물분말","서양자두농축액","석류과즙농축액","D-소르비톨액","폴리덱스트로스","구연산","구연산삼나트륨","체리향","정제수",NA,NA,NA,NA,NA,NA,NA,"알로에29%, 다시마29%, 숙지황18%, 양파12.0%,감초6.0%, 결명자3.0%, 합계100%","고형분65%","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4327","품목보고번호20080181270177","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝케어 LAB","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","사양벌꿀","구연산(무수)","정제소금","니코틴산아미드","글리신","기타가공품","자일리톨","블루베리향","기타가공품","분말결정포도당","혼합제제","기타가공품","혼합제제","기타가공품","히알루론산","기타가공품","","","","","","과라나추출분말","","","강황추출물","무수결정포도당","아와컷CP","녹차카테킨추출물","허벌에센스디에이07108","양배추복합추출물","","RSE-a(쌀눈대두발효추출물)","17","18","19","스테비올배당체","기타가공품","토마토색소","","복합황금추출물","","20",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA
"9","번호4326","품목보고번호20080181270179","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝케어 강황T","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","분말결정포도당","토마토색소","과.채가공품류","벌꿀","정제소금","강황추출물분말","기타가공품","구연산(무수)","밀크씨슬추출물","농축사과과즙","기타가공품","기타가공품","글리신","혼합제제","기타가공품","니코틴산아미드","무수결정포도당","","청도감추출농축액","","","강황추출물(커큐민12%)","마름엑스분말","","밀크씨슬추출물 에스","","칡추출농축액","과라나추출분말","","아와컷CP","복합황금추출물","","17","18","19","스테비올배당체","자일리톨","블루베리향","","","","20",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA
"10","번호4325","품목보고번호2019040221414","업소명성이바이오(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝큐","분류식품","업체명","성이바이오(주)","소재지","강원도 원주시 지정면 지래울로 184(성이바이오주)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","멀꿀열매","홍삼농축액","헛개나무열매농축액","칡농축액","비타민미네랄혼합제제","오렌지농축액","사과농축액","자일리톨","구연산(무수)","맥아추출액","효소처리스테비아","올리브유","감귤농축액","정제수","잔탄검","프락토올리고당","멀꿀열매추출물","","","","","","","","","","","레몬올리브유","","","","","17","18",NA,"액상차","천연오렌지향",NA,"발효유자액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
