"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호4982","품목보고번호20110084489443","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더비랩 버닝부스터 아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","정제수","L-아르지닌","에리스리톨","구연산","DL-사과산","백포도주스농축액","청포도향","효소처리스테비아","기타가공품","타우린","혼합제제","비타민B2","홍삼농축액","테아닌","글루콘산아연","비수리분말","블루베리주스농축액","오르니틴염산염","마카추출분말","토마토추출물분말","비오틴","","","","함수구연산","","","혼합제제","","복합황금추출물","","비타민B군믹스","","","L-테아닌","","비수리농축분말","","","블랙마카추출물분말","화이트토마토추출분말",""
"2","번호4981","품목보고번호2015041512565","업소명(주)충청바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더비움B","분류식품","업체명","(주)충청바이오텍","소재지","충청북도 청주시 흥덕구 직지대로 398(B동 1,2층 송정동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","압착올리브유","오렌지농축액","자몽농축액","비타민미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","비타민미네랄믹스-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4980","품목보고번호20040275056500","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더빼 밤애(愛)","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","생선콜라겐펩타이드","고지베리주스농축액","에리스리톨","엘라스틴","구연산(무수)","히알루론산혼합제제","귤껍질추출농축분말","비타민C","발효돈태반추출액","L-아르지닌","비타민미네랄혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","피쉬콜라겐펩타이드","고지베리주스","","프로라스틴","","","귤껍질추출농축액분말","","발효돈태반추출분말","","비타민미네랄믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4979","품목보고번호20020383603601","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더예쁘겐 씨","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,"생선콜라겐펩타이드분말","말티톨시럽","액상과당","석류농축액","레몬농축액","구연산(무수)","비타민C","석류향","γ-시클로덱스트린","히알루론산","잔탄검","자몽종자추출물","효소처리스테비아","알로에베라겔농축분말","엘라스틴가수분해물","정제수",NA,NA,NA,NA,NA,"저분자 피쉬콜라겐펩타이드","","","","","","","합성향료","감마시클로덱스트린","","","","","","","",NA,NA,NA,NA,NA
"5","번호4978","품목보고번호2021060692848","업소명주식회사 청담","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명더조은 ABC주스 콜라겐 스틱","분류식품","업체명","주식회사 청담","소재지","경상남도 양산시 어실로 353-3(어곡동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"과.채가공품","생선콜라겐펩타이드분말","구연산","비타민C","기타가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABC주스농축액[사과주스농축액55%(고형분70%),당근주스농축액25%(고형분42%),레드비트농축액20%(고형분68%),오스트리아산]","(중국산)","","","푸드겔(로커스트콩검,잔탄검,분말한천,타마린드검,포도당)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4977","품목보고번호20110149027287","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더조은 ABC주스 콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"과채주스","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABC혼합농축액[사과농축액 55%, 당근농축액 25%, 레드비트농축액 20%)오스트리아산]100%","베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4976","품목보고번호20110149027374","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더조은 모로블러드오렌지 비타민C스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오렌지농축액","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","비타민C","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"모로블러드오렌지, 이탈리아산","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4975","품목보고번호2021060692850","업소명주식회사 청담","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더조은 석류 콜라겐","분류식품","업체명","주식회사 청담","소재지","경상남도 양산시 어실로 353-3(어곡동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐펩타이드분말","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(65Brix,스페인산)","","(로커스트콩검,잔탄검,타마린드검,한천,포도당)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4974","품목보고번호20110149027320","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더조은 석류콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 brix, 스페인산","베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4973","품목보고번호20110149027231","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더조은 타트체리 콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"체리농축액","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"타트체리농축액, 터키산","피쉬콜라겐, 베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
