"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호3877","품목보고번호198904450141014","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명복숭아아이스티제로","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","복숭아농축액","구연산","에리스리톨","홍차추출분말","정제소금","구연산삼나트륨","수크랄로스","아세설팜칼륨","당시럽류","복숭아향","복숭아향","정제수","(칠레산,65Bx)","","","","","","","","카라멜당시럽","합성착향료","합성착향료","",NA,NA,NA
"2","번호3876","품목보고번호2021055909217","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명복숭아액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"복숭아농축분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3875","품목보고번호20050555180597","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복숭아에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","알룰로오스","복숭아농축액","구연산","복숭아향","홍차향","아스파탐","홍차추출분말","물엿","구연산삼나트륨","수크랄로스","비타민C","","","","함수구연산","합성향료","혼합제제","","","말트익스트렉트","","","",NA,NA,NA
"4","번호3874","품목보고번호19730380010517","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명복숭아에이드","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","과.채가공품","홍차추출분말","구연산","난소화성말토덱스트린분말(고시형)","수크랄로스","아세설팜칼륨","스테비올배당체","혼합제제","혼합제제","합성향료","","수입","복숭아농축액","","함수","","감미료","감미료","감미료","라임향","복숭아향1","복숭아향2","13","혼합제제","홍차향"
"5","번호3873","품목보고번호2017055519573","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복숭아에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","알룰로오스","복숭아농축액","구연산","복숭아향","홍차향","아스파탐","홍차추출분말","물엿","구연산삼나트륨","수크랄로스","비타민C","","","","함수구연산","합성향료","혼합제제","","","말트익스트렉트","","","",NA,NA,NA
"6","번호3872","품목보고번호2014049317130","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명복숭아에이드","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","설탕","과.채가공품","구연산","펙틴","식품첨가물혼합제제","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소황색제5호","식용색소적색제40호",NA,"","","복숭아농축액","","","혼합제제(주정,프로필렌글리콜,정제수,합성향료,천연향료,트리아세틴,레몬오일)","","감미료","","착색료","착색료",NA,NA,NA,NA
"7","번호3871","품목보고번호20000449035761","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복숭아에이드 BIG","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","5","6","7","8","9","10","11","12","과.채가공품","고형차","고형차","설탕","기타과당","구연산(무수)","구연산삼나트륨","수크랄로스","혼합제제","혼합제제","합성향료","혼합제제","복숭아농축액 68Brix","홍차추출분말","복숭아홍차분말","","고과당","","","","규소수지, 글리세린지방산에스테르, 소르비탄지방산에스테르, 카복시메틸셀룰로스나트륨","복숭아향","황도향","홍차향","13","정제수",""
"8","번호3870","품목보고번호20000614238407","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복숭아에이드 달콤한맛","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","복숭아농축액","홍차추출분말","타우린","설탕","구연산","비타민C","수크랄로스","아세설팜칼륨","혼합제제","복숭아향","복숭아향","홍차향","","","","","","","","","정제수, 규소수지, 글리세린지방산에스테르,소리비탄지방산에스테르,CMC","프로필렌글리콜,주정,정제수,합성향료,트리아세틴,천연향료","14610","프리필렌글리콜,주정,합성향료,천연향료","13","정제수",""
"9","번호3869","품목보고번호20090473152592","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명복숭아에이드 제로","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","에리스리톨","구연산","향료","향료","홍차추출분말","수크랄로스","아세설팜칼륨","복숭아농축액","정제소금","당류가공품",NA,"","","함수구연산","복숭아향 (F-23002)","복숭아향 (F-21033)","","","","","","카라멜당시럽",NA,NA,NA,NA
"10","번호3868","품목보고번호2010018127978","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명복숭아에이드 제로","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","에리스리톨","홍차추출분말","복숭아농축액","구연산","수크랄로스","아세설팜칼륨","정제소금","당시럽","복숭아향","복숭아향",NA,"","","","","함수","","","","카라멜","F-23002","F-21033",NA,NA,NA,NA
