"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","성분 및 원료4","비고4","번호5","성분 및 원료5","비고5"
"1","번호3160","품목보고번호1996043907559","업소명한국고려인삼영농조합법인","품목유형혼합음료","유통/소비기한2년","제품명순수유기농야채수","분류식품","업체명","한국고려인삼영농조합법인","소재지","충청북도 보은군 수한면 후평바리미길 32-6","1","2","3","채소","과일","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3159","품목보고번호20170509887269","업소명순천시농산물가공센터 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명순순순 단호박식혜 단심이","분류식품","업체명","순천시농산물가공센터 영농조합법인","소재지","전라남도 순천시 서면 둔대수계길 28(가동)","1","2","3","건조맥아추출물","서양호박","백설탕","전남(순천)","국내산","","4","멥쌀","전남(순천)",NA,NA,NA
"3","번호3158","품목보고번호20170509887263","업소명순천시농산물가공센터 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명순순순 레드비트식혜 홍심이","분류식품","업체명","순천시농산물가공센터 영농조합법인","소재지","전라남도 순천시 서면 둔대수계길 28(가동)","1","2","3","건조맥아추출물","백설탕","레드비트뿌리원액","전남(순천)","","전남(순천)","4","멥쌀","전남(순천)",NA,NA,NA
"4","번호3157","품목보고번호20170509887262","업소명순천시농산물가공센터 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명순순순 배식혜 배심이","분류식품","업체명","순천시농산물가공센터 영농조합법인","소재지","전라남도 순천시 서면 둔대수계길 28(가동)","1","2","3","건조맥아추출물","배즙","백설탕","전남(순천)","전남(순천)","","4","멥쌀","전남(순천)",NA,NA,NA
"5","번호3156","품목보고번호20170509887264","업소명순천시농산물가공센터 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명순순순 새싹보리식혜 초심이","분류식품","업체명","순천시농산물가공센터 영농조합법인","소재지","전라남도 순천시 서면 둔대수계길 28(가동)","1","2","3","건조맥아추출물","백설탕","보리순분말","전남(순천)","","전남(순천)","4","멥쌀","전남(순천)",NA,NA,NA
"6","번호3155","품목보고번호20170509887250","업소명순천시농산물가공센터 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명순순순 순천만 단호박식혜","분류식품","업체명","순천시농산물가공센터 영농조합법인","소재지","전라남도 순천시 서면 둔대수계길 28(가동)","1","2","3","건조맥아추출물","백설탕","건조서양호박","전남(순천)","","전남(순천)","4","멥쌀","전남(순천)",NA,NA,NA
"7","번호3154","품목보고번호20170509887251","업소명순천시농산물가공센터 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명순순순 순천만 전통식혜","분류식품","업체명","순천시농산물가공센터 영농조합법인","소재지","전라남도 순천시 서면 둔대수계길 28(가동)","1","2","3","건조맥아추출물","백설탕","멥쌀","전남(순천)","","전남(순천)",NA,NA,NA,NA,NA,NA
"8","번호3153","품목보고번호20170509887270","업소명순천시농산물가공센터 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명순순순 전통식혜 순심이","분류식품","업체명","순천시농산물가공센터 영농조합법인","소재지","전라남도 순천시 서면 둔대수계길 28(가동)","1","2","3","건조맥아추출물","백설탕","멥쌀","전남(순천)","","전남(순천)",NA,NA,NA,NA,NA,NA
"9","번호3152","품목보고번호20170509887261","업소명순천시농산물가공센터 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명순순순 커피식혜 콩심이","분류식품","업체명","순천시농산물가공센터 영농조합법인","소재지","전라남도 순천시 서면 둔대수계길 28(가동)","1","2","3","건조맥아추출물","백설탕","멥쌀","전남(순천)","","전남(순천)","4","커피분말","외국산(브라질산, 콜롬비아산)",NA,NA,NA
"10","번호3151","품목보고번호199404400309","업소명옥천농협농산물 가공공장","품목유형혼합음료","유통/소비기한24개월","제품명순식혜","분류식품","업체명","옥천농협농산물 가공공장","소재지","충청북도 옥천군 동이면 옥천동이로 576-40","1","2","3","엿기름당화액","당화밥알","백설탕",NA,NA,NA,"4","생강농축액",NA,"5","정제수",NA
