"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호4584","품목보고번호20100543066893","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마누카허니레몬에이드","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","레몬농축액","덱스트린","구연산","비타민C","천연향료","합성향료","벌꿀","카로틴","자몽종자추출물","","","이스라엘산, 배합함량 : 레몬 100%, 레몬과즙으로 환원기준 : 6.5%","","","영국산","레몬향","레몬향, 시트러스향","뉴질랜드산, 마누카꿀","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4583","품목보고번호19890445014432","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명마늘진액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,"마늘추출액","고형분","액상과당","구연산","카라멜색소","섬유소글리클산나트륨","인삼향","합성착향료시트로스","천연보존료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4582","품목보고번호19950433026572","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한12개월","제품명마더한","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","11","코코아분말","설탕","전지분유","당류가공품","정제소금","카라기난","탄산수소나트륨","수크랄로스","초코렛향","밀크향","코코아향","","정백당","","코코프리","","식품첨가물","","식품첨가물","영푸드텍","영푸드텍","영푸드텍","12","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4581","품목보고번호19860443015640","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명마데카 병풀 콜라겐 뷰스터 샷","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","생선콜라겐펩타이드","프락토올리고당","자일리톨","망고농축액","향료","사과농축액","구연산","향료","병풀추출","DL-사과산","황금혼합추출물","저분자피쉬콜라겐펩타이드","","","","망고향","","무수구연산","사과향","병풀추출복합물","","","12","비타민C","","13","14","15","16","17","18","19","20","21","22","23","24","25","효소처리스테비아","비타민 E 혼합분말","비오틴","엘라스틴가수분해물","히알루론산","효모추출분말","우유단백","과.채가공품","오르니틴염산염","비타민 A 아세테이트 분말","식용달팽이추출물분말","히비스커스추출물","정제수","","","","","","효모분말","우유단백질농축","화이트토마토추출분말","","","","",""
"5","번호4580","품목보고번호20100376046214","업소명(주)한국지네틱바이오팜","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마라秀","분류식품","업체명","(주)한국지네틱바이오팜","소재지","경기도 연천군 백학면 장백로 877","1","2","3","4","5","6","7","8",NA,NA,NA,"배","저단선열매","미나리","설탕","생강","인삼","맥아","여주",NA,NA,NA,"","","","비정제당","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4579","품목보고번호19900372087554","업소명(주)화인내츄럴","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마력 아르기닌 7000","분류식품","업체명","(주)화인내츄럴","소재지","경기도 포천시 소흘읍 호국로 493-43","1","2","3","4","5","6","7","8","9","10","11","정제수","프락토올리고당","L-아르지닌","사과농축액","DL-사과산","드링크향","비타민C","효소처리스테비아","말태반추출물","기타가공품","산화아연","","","","","","드링크향분말","","","발효말태반추출분말","제품명: 복합황금추출물, 제조원: (주)비에스티","","12","비타민B1염산염","","13","14","15","16","17","18","19","20","21",NA,NA,NA,NA,"비타민B2","비타민B6염산염","비타민미네랄혼합제제","니코틴산아미드","마늘추출물분말","복분자추출물분말","오자추출분말","혼합제제","수크랄로스",NA,NA,NA,NA,"","","제조원:(주)네오크레마 익산공장, 제품명:멀티비타민미네랄믹스-1","","","","","제조원:(주)삼인케미칼, 제품명: 아미노믹스BCAA","",NA,NA,NA,NA
"7","번호4578","품목보고번호2017047406393","업소명극동에치팜(주) 2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명마르기닌","분류식품","업체명","극동에치팜(주) 2공장","소재지","충청남도 예산군 삽교읍 산단1길 144(극동에치팜주 2공장 1동, 2동)","1","2","3","4","5","6","7","8","9","10","11","정제수","프락토올리고당","L-아르지닌","사과농축액","DL-사과산","드링크향","비타민 C(고시형)","효소처리스테비아","황금추출물","말태반추출물","비타민B1염산염","","액상","","","","드링크향분말","","","복합황금추출물","말태반추출분말","","12","니코틴산아미드(고시형)","","13","14","15","16","17","18","19","20",NA,NA,NA,NA,NA,"산화아연(고시형)","비타민B12혼합제제분말","비타민 B2(고시형)","비타민B6염산염","마늘추출물분말","복분자추출물분말","아미노산혼합제제","오자추출분말",NA,NA,NA,NA,NA,"","","","","","","BCAA혼합제제","",NA,NA,NA,NA,NA
"8","번호4577","품목보고번호201104921468","업소명(주)더조은워터","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명마마수","분류식품","업체명","(주)더조은워터","소재지","전라북도 남원시 주천면 장백산로 139","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4576","품목보고번호2014021650634","업소명(주)물마루","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명마마수(mamasui)","분류식품","업체명","(주)물마루","소재지","광주광역시 서구 월드컵4강로112번길 7(1층 화정동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4575","품목보고번호20080358277244","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명마마쿡다름수정과","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","계피","생강","설탕","곶감",NA,NA,NA,NA,NA,NA,"","","국내산","유기농설탕","국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
