"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호4434","품목보고번호2011061812182","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명맛있다가볍다곤약 워터젤리깔라만시","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","칼라만시원액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","구연산삼나트륨","구연산","합성향료","수크랄로스","안식향산나트륨","","","깔라만시원액(함량100%)","","","","","","","오렌지향분말","감미료","",NA,NA,NA
"2","번호4433","품목보고번호20110618121195","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명맛있다가볍다곤약 워터젤리바나나","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","바나나농축액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","젖산칼슘","구연산","합성향료","수크랄로스","안식향산나트륨","","","바나나100%","","","","","","","바나나향분말","감미료","보존료","13","비타민B2",""
"3","번호4432","품목보고번호2011061812184","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명맛있다가볍다곤약 워터젤리복숭아","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","복숭아농축액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","젖산칼슘","구연산","혼합제제","수크랄로스","안식향산나트륨","","","함량100%","","","","","","","복숭아향분말","감미료","보존료","13","자색고구마색소",""
"4","번호4431","품목보고번호2011061812183","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명맛있다가볍다곤약 워터젤리사과","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","사과농축액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","젖산칼슘","구연산","혼합제제","수크랄로스","안식향산나트륨","","","청사과농축액(함량100%)","","","","","","","사과향분말","감미료","","13","혼합제제","혼합초록색"
"5","번호4430","품목보고번호20110618121194","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명맛있다가볍다곤약 워터젤리자몽","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","자몽농축액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","젖산칼슘","구연산","합성향료","수크랄로스","안식향산나트륨","","","자몽100%","","","","","","","자몽향분말","감미료","보존료",NA,NA,NA
"6","번호4429","품목보고번호2011061812185","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명맛있다가볍다곤약 워터젤리포도","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","포도농축액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","젖산칼슘","구연산","혼합제제","수크랄로스","안식향산나트륨","","","적포도농축액(함량100%)","","","","","","","청포도향분말","감미료","보존료","13","자색고구마색소",""
"7","번호4428","품목보고번호2009061600558","업소명연호전통식품","품목유형혼합음료","유통/소비기한제조일로 부터 1년","제품명망개 백년수수음료","분류식품","업체명","연호전통식품","소재지","경상남도 의령군 부림면 미타로1길 26-1","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"수수","청미래덩굴잎","엿기름","스테비아잎","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4427","품목보고번호202006090041","업소명연호전통식품","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명망개백년수수음료","분류식품","업체명","연호전통식품","소재지","경상남도 의령군 부림면 미타로1길 32-1","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"수수","청미래덩굴잎","엿기름","스테비아잎","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4426","품목보고번호19780368002495","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔-제조일로부터 12개월까지","제품명망고","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11",NA,"오렌지농축액","망고농축액","백설탕","효소처리스테비아","구연산","비타민C","구연산삼나트륨","오렌지향","오렌지향","망고향","정제수",NA,"스페인산","망고퓨레농축액","","","","","","오렌지향1","오렌지향2","","",NA,NA,NA,NA
"10","번호4425","품목보고번호19780614001369","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명망고","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","11",NA,"오렌지농축액","망고농축퓌레","백설탕","효소처리스테비아","구연산","비타민C","구연산삼나트륨","오렌지향","오렌지향","망고향","정제수",NA,"Bx 65.0","Bx 28.0","","","","","","오렌지향1","오렌지향2","","",NA,NA,NA,NA
