"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호3847","품목보고번호20100614388525","업소명(주)천호엔케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명부스트업 아르기닌6000","분류식품","업체명","(주)천호엔케어","소재지","경상남도 양산시 그린공단1길 27(매곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","정제수","L-아르지닌","구연산","시클로덱스트린시럽","프락토올리고당","블루베리농축액","포도농축액","L-라이신염산염","드링크향","타우린","블루베리향","글루콘산아연","효소처리스테비아","오르니틴염산염","맥아분말","L-카르니틴","기타가공품","과라나추출물분말","염화마그네슘","다미아나잎추출분말","고형차","수크랄로스","혼합제제","혼합제제","마카추출분말","레시틴","병풀추출","","","","","","","적포도농축액","","","","","","","","맥아추출분말","","수박과피추출물분말","","","다미아나추출분말","트리블러스추출분말","","비타민B믹스DS","아미노브레인믹스","블랙마카추출물분말","","병풀추출물"
"2","번호3846","품목보고번호2019008436419","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명부자칼슘365","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산호분말","필리핀레몬열매농축액","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3845","품목보고번호20020623009846","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명부채표가을생강쌍화","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌍화농축액","생강농축액","대추농축액","구연산","L-주석산","정제수","혼합제제","혼합제제","과.채가공품","재제소금(재제조소금)","기타가공품","혼합제제","혼합제제","기타과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"동화쌍화농축액[당귀7.91%,천궁6.72%,작약15.61%]","생강농축엑스","대추농축엑기스","","","","생강추출물 No.100","대추 후레바 A-961127","농축사과과즙A(50brix)","한주꽃소금","복합황금추출물","수정과향BD1-1164","생강향 50680","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3844","품목보고번호200904332325","업소명동화약품(주)","품목유형혼합음료","유통/소비기한24개월","제품명부채표가을생강쌍화","분류식품","업체명","동화약품(주)","소재지","충청북도 충주시 충주산단1로 167(용탄동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"동화쌍화농축액","생강농축엑스","대추농축엑기스","구연산","L-주석산","정제수","식품첨가물혼합제제","식품첨가물혼합제제","과.채가공품","재제소금(재제조소금)","기타가공품","혼합제제류","혼합제제류","액상과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","생강추출물 No.100","대추후레바 A-961127","농축사과과즙(50Brix)A","한주꽃소금","복합황금추출물","수정과향 BD1-1164","생강향 50680","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3843","품목보고번호2009043323210","업소명동화약품(주)","품목유형혼합음료","유통/소비기한24개월","제품명부채표쌍화골드","분류식품","업체명","동화약품(주)","소재지","충청북도 충주시 충주산단1로 167(용탄동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"동화쌍화농축액","액상과당","구연산","제재염","L-주석산","정제수","도라지농축액","식품첨가물혼합제제","과.채가공품","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분 59.98%","","","","","","70brix","도라지향 HK-14703","농축사과과즙(50Brix)A","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3842","품목보고번호20020623009845","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명부채표쌍화골드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌍화농축액","기타과당","구연산","L-주석산","식염","정제수","도라지농축액","혼합제제","과.채가공품","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"동화쌍화농축액[고형분59.98%], 작약15.61%, 천궁6.72%, 당귀7.91%","","","","제재염","","70Brix","도라지향HK-14703","농축사과과즙A(50Brix)","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3841","품목보고번호20020623009847","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명부채표쌍화원","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타과당","구연산","L-주석산","정제수","쌍화농축액","재제소금(재제조소금)","과.채가공품","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","동화쌍화농축액(고형분59.98%)[작약15.61%, 천궁6.72%, 당귀7.91%,계피5.03%]","","농축사과과즙A(50Brix)","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3840","품목보고번호200904332327","업소명동화약품(주)","품목유형혼합음료","유통/소비기한24개월","제품명부채표쌍화원","분류식품","업체명","동화약품(주)","소재지","충청북도 충주시 충주산단1로 167(용탄동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","구연산","L-주석산","정제수","쌍화농축액","재제소금(재제조소금)","과.채가공품","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","동화쌍화농축액(고형분59.98%)","","농축사과과즙(50Brix)A","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3839","품목보고번호200904332326","업소명동화약품(주)","품목유형혼합음료","유통/소비기한24개월","제품명부채표쌍화천","분류식품","업체명","동화약품(주)","소재지","충청북도 충주시 충주산단1로 167(용탄동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"동화쌍화농축액","구연산","제재염","L-주석산","정제수","과.채가공품","기타가공품","기타과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(고형분 59.98%)","","","","","농축사과과즙(50Brix)A","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3838","품목보고번호20020623009896","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명부채표쌍화천","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌍화농축액","구연산","재제소금(재제조소금)","L-주석산","정제수","과.채가공품","기타가공품","기타과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"동화쌍화농축액(고형분 59.98%) (당귀7.91%, 천궁6.72%, 작약15.61%)","","꽃소금","","","농축사과과즙A(50brix)","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
