"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고16","비고17","비고18","비고19","번호20","번호21","번호22","번호23","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고20","비고21","비고22","비고23"
"1","번호4602","품목보고번호20000614238328","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명리치망고스틴에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","리치농축","망고스틴농축물","포도당","설탕","수크랄로스","아세설팜칼륨","구연산","구연산삼나트륨","비타민C","리치향","리치향","레몬향","후르츠믹스향","식용색소황색제4호","정제수","리치농축액","망고스틴농축액","함수결정포도당","","","","함수구연산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4601","품목보고번호19810606006517","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 04개월까지","제품명리치아이","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유당분해우유","혼합음료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","오트밸리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4600","품목보고번호2021055909220","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명리치액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"리치농축","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"리치농축액","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4599","품목보고번호20040275056484","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명리치에이드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"정제수","백설탕","프락토올리고당","리치농축","리치향","구연산(무수)","구연산삼나트륨","비타민미네랄혼합분말","비타민C",NA,NA,NA,NA,NA,NA,"","","","리치농축액","리치향 #5","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4598","품목보고번호20020383603267","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명리카파워","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","베타인","아미노산혼합분말","구연산","타우린","비타민B1염산염","비타민B2","비타민B6염산염","니코틴산아미드","과라나추출물분말","액상과당","백설탕","시클로덱스트린시럽","아가베시럽","수크랄로스","자몽종자추출물","","아미노믹스","","","","","","","","","정백당","","","","","16","17","18","19","DL-사과산","블루베리향","L-아르기닌","정제수","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4597","품목보고번호20190391582100","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명리퀴드 씨엠 키즈","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","자일리톨","말티톨시럽","글루콘산마그네슘","젖산칼슘","사과과즙분말","시클로덱스트린","향료","나한과농축액","염화마그네슘","잔탄검","구연산(무수)","혼합음료","DL-사과산","황산칼슘","","","말티톨시럽분말","","","","","사과향","","","","","LJG해양심층수미네랄농축액","","","16","17","18",NA,"구연산삼나트륨","울금추출물분말","글루콘산아연",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4596","품목보고번호20090435035193","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한18개월","제품명리퀴드씨엠키즈","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","해양심층수미네랄농축수","황산칼슘","염화마그네슘","강황액","글루콘산아연","카라기난","로커스트콩검","잔탄검","β-시클로덱스트린","정제수","천연사과향","구연산(무수)","DL-사과산","효소처리스테비아","사과농축분말","미네랄농축수","","","수용성커큐민12","","","","","","","","","","","","16","17","18","19","D-말티톨","자일리톨","구연산삼나트륨","젖산칼슘","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4595","품목보고번호20060445110736","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명리턴투20 콜라겐 15000","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","생선콜라겐","시클로덱스트린시럽","프락토올리고당","에리스리톨","구연산","글리신","체리농축액","체리향","로커스트콩검","판토텐산칼슘","레몬농축액","레몬향","맥아추출액","효소처리스테비아","","피쉬콜라겐(저분자피쉬콜라겐)","","","","","","타트체리농축액","","","","","","맥아추출물","","16","17","18","19","비타민C","감귤추출물","효모추출물","히알루론산","","감귤류추출물","L-글루타치온 효모추출물","","20","21","22","23","엘라스틴가수분해물","농축유단백질","산화아연","비오틴","","우유단백질농축","",""
"9","번호4594","품목보고번호201904470374","업소명(주)메디퓨처","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명리포글로우","분류식품","업체명","(주)메디퓨처","소재지","충청북도 옥천군 옥천읍 의료단지길 79(옥천의료기기 보육센터)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"레시틴","비타민C","자일리톨","소브산칼륨","사양벌꿀","파인애플엑기스","효모추출분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4593","품목보고번호201904470373","업소명(주)메디퓨처","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명리포솜 아르기닌","분류식품","업체명","(주)메디퓨처","소재지","충청북도 옥천군 옥천읍 의료단지길 79(옥천의료기기 보육센터)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"귤당절임","레시틴","비타민C","사양벌꿀","L-아르지닌","자일리톨","소브산칼륨","정제수",NA,NA,NA,NA,NA,NA,NA,"청귤청","","비타민C분말","","L-아르기닌","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
