"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호3430","품목보고번호19970464172338","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상큼한 비타민 레모나","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","기타과당","비타민C","비타민B2","비타민B6염산염","자일리톨","아스파탐","구연산","구연산삼나트륨","펙틴","정제소금","드링크향1","드링크향2","정제수","","","","","","","","","","정제염","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3429","품목보고번호20020623009971","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명상큼한 비타민 레모나 핑크","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","석류농축액","설탕","시클로덱스트린시럽","구연산","덱스트린","기타 수산물가공품","비타민C","구연산삼나트륨","효소처리루틴","히알루론산","혼합제제","혼합제제","혼합제제","65Brix","","","","","저분자 피쉬콜라겐펩타이드G","","","","","레드파우더#1","석류향","히비스커스향","14","정제수","",NA,NA,NA,NA,NA,NA
"3","번호3428","품목보고번호19970464172355","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명상큼한 비타민 레모나BB","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","기타과당","알로에베라겔농축분말","구연산","자일리톨","레몬향","니코틴산아미드","비타민B6염산염","비타민B2인산에스테르나트륨","DL-사과산","드링크향","수크랄로스","파인애플향","정제소금","","알로에베라겔분말(100:1)","","","","","","","","","","","","14","비타민 B1질산염(고시형)","","15","16","아세설팜칼륨","정제수","",""
"4","번호3427","품목보고번호20100543066791","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상큼한 애플망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"정제수","설탕","과.채가공품","구연산","수크랄로스","카로틴","합성향료",NA,NA,NA,NA,NA,NA,"","","애플망고퓨레, 배합함량 애플망고 100%, 인도산","","감미료","","애플망고향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3426","품목보고번호20020623009585","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명상큼함이 가득 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,"알로에베라겔함유절편","백설탕","구연산","구연산삼나트륨","젤란검","비타민C","젖산칼슘","정제소금","수크랄로스","그린색소","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3425","품목보고번호20080358277251","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한6개월","제품명상하농원 사계절 수정과","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"생강","계피","백설탕","기타설탕","사과농축액","곶감농축액","정제수",NA,NA,NA,NA,NA,NA,"","","","흑설탕","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3424","품목보고번호19890445014246","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명상황마루","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"상황버섯","차가버섯","홍삼농축액","액상과당","흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3423","품목보고번호19890445014210","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명상황버섯진골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"헛개나무추출액","상황버섯추출액","산수유추출액","대추추출액","가시오갈피추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3422","품목보고번호1988044200439","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명상황원","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"버섯허브추출물","버섯발효추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3421","품목보고번호20040415088334","업소명주식회사 엔푸드","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명새벽에 한번","분류식품","업체명","주식회사 엔푸드","소재지","충청북도 청주시 청원구 오창읍 각리1길 86(주1,주3,주4,부1,부2동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,"정제수","D-소비톨","비타민C","레몬향","탄산수소나트륨","구연산",NA,NA,NA,NA,NA,NA,NA,"","","","향료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
