"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16"
"1","번호3500","품목보고번호19890445014388","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명산양산삼진액과6년근고려홍삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","산양산삼혼합추출액","6년근홍삼농축액","이소말토올리고당","액상과당","카르복시메틸셀룰로오스나트륨","카라멜색소","구연산","인삼향","안식향산나트륨","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3499","품목보고번호2019037647627","업소명호랑이건강원에프앤비 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명산양산삼활력수","분류식품","업체명","호랑이건강원에프앤비 주식회사","소재지","경기도 안성시 서운면 바우덕이로 326","1","2","3","4","5","6","7","8","9","10","11","산삼배양근","벌꿀","참당귀농축액","천궁농축액","가시오갈피농축액","칡농축액","계피농축액","감초농축액","대추농축액","타우린","프로폴리스추출농축액","","","","천궁농축액(뿌리줄기)","","갈근농축액","","","","","","12","13","14","15","16","비타민B1염산염","비타민B6염산염","비타민C","정제수","자몽종자추출물","","","","",""
"3","번호3498","품목보고번호20080383904111","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산양산삼활력원","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","5","6","7","8","9","10","11","인삼","액상과당","D-소르비톨","구연산","DL-사과산","구연산삼나트륨","헛개나무열매농축액","글리신","안식향산나트륨","백설탕","정제수","0.5%이상, 산양산삼","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3497","품목보고번호20070358224440","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한18개월","제품명산양삼식물혼합액","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"정제수","인삼","식물혼합추출농축액","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3496","품목보고번호20020623009468","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한18개월","제품명산에는 삼","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","산삼배양근추출물","홍삼농축액","액상과당","구연산","타우린","제재염","니코틴산아미드","비타민B1염산염","비타민B2","비타민B6염산염","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15",NA,"혼합과일향","대추향","복숭아향","정제수",NA,NA,NA,NA,NA,NA
"6","번호3495","품목보고번호20080383904118","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산에서 키운 삼 통째로","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","5","6",NA,NA,NA,NA,NA,"인삼","액상과당","구연산","안식향산나트륨","대추농축액","정제수",NA,NA,NA,NA,NA,"1본, 산양산삼묘삼(3년근)","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3494","품목보고번호2001046701335","업소명금산고려홍삼 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명산중 도라지","분류식품","업체명","금산고려홍삼 주식회사","소재지","충청남도 금산군 복수면 오곡동길 48-4","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"홍삼농축액","배농축액","비타민미네랄",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3493","품목보고번호20040275056385","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명살구에이드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","백설탕","올리고당","살구농축","복숭아향","구연산","혼합제제비타민B","구연산삼나트륨","비타민C",NA,NA,"","정백당","","살구농축액","복숭아향 #16","무수구연산","비타민B복합물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3492","품목보고번호20070464094159","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명살루티 요고 알로 망고(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","Pectin","탈지분유","구연산삼나트륨","망고농축액","구연산","요구르트분말","식용색소 황색 제4호","식용색소 적색 제40호","요거트향","망고향","정제수","","","","60brix","함수구연산","","","","","","","12","13","14",NA,NA,"알로에베라겔크러쉬","백설탕","탈지대두",NA,NA,"","","Soyafide(S-ZR 100)",NA,NA
"10","번호3491","품목보고번호20070464094156","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명살루티 코코넛 알로에(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10",NA,"나타드코코","알로에분말","백설탕","구연산","구연산삼나트륨","비타민C","젖산칼슘","젤란검","코코넛향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
