"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호5682","품목보고번호2020017614714","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명강할모니홍차식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","정제수","엿기름","찹쌀","설탕","차나무잎","","","","","얼그레이잎",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5681","품목보고번호2020017614712","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명강할모니흑미인삼식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","정제수","엿기름","흑미찹쌀","기타설탕","인삼","","","","비정제사탕수수당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5680","품목보고번호20090435035213","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명강해져야할때","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","정제수","L-아르지닌","구연산(무수)","Red grape농축액","세븐베리농축액","","","","","","6","7","8","9","10","11","12","13","14","15","16","17","18","19","복분자향","비타민 C(고시형)","후추추출물분말","글루콘산아연(고시형)","베타카로틴(고시형)","황금혼합추출물","비타민 B12(고시형)","비타민B6염산염","건조효모(셀렌함유)","니코틴산아미드(고시형)","녹차추출농축액분말","효소처리스테비아","기타가공품","복분자농축액","","","바이오페린","","","","","","","","","","수용성커큐민12",""
"4","번호5679","품목보고번호20020383603591","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명강화 프리미엄 동충하초","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","말티톨시럽","대추농축액","기타가공품","밀리타리스동충하초농축액","사양벌꿀","","","식물혼합농축액","밀리터리스동충하초농축액","","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,"구연산삼나트륨","구연산(무수)","홍삼농축액","혼합제제","잔탄검","비타민B1염산염","자몽종자추출물","효소처리스테비아","비타민미네랄혼합제제","니코틴산아미드","비타민B6염산염","정제수",NA,NA,"","","","아미노믹스","","","","","비타민미네랄믹스","","","",NA,NA
"5","번호5678","품목보고번호20160211126116","업소명강화 농가의 부엌 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 3개월","제품명강화속노랑고구마식혜","분류식품","업체명","강화 농가의 부엌 영농조합법인","소재지","인천광역시 강화군 불은면 중앙로 742-2(L동 1층 농업기술센터)","1","2","3","4","5","정제수","설탕","쌀","엿기름","고구마","","","","","속노랑고구마","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"치자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5677","품목보고번호20090435035189","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명강황이 날 강화","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2",NA,NA,NA,"강황액","정제수",NA,NA,NA,"강황 4%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5676","품목보고번호2012057308042","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년(730일)","제품명강황이 날 강화","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","3",NA,NA,"정제수","황산칼슘","강황액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5675","품목보고번호19860443015358","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명강황초크 300","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","정제수","파인애플농축액","올리고당","강황추출물분말","생강시럽농축액","","","프락토올리고당","","","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,"라임농축액","천연파인애플향","황금혼합추출물","아티초크추출분말","무농축액","자두농축액","구연산","밀크씨슬","주석산수소콜린",NA,NA,NA,NA,NA,"라임농축과즙","천연향료","","","","","무수구연산","수용성밀크씨슬","",NA,NA,NA,NA,NA
"9","번호5674","품목보고번호201401415722","업소명주식회사 낙지볶음 개미집","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명개미집 식혜","분류식품","업체명","주식회사 낙지볶음 개미집","소재지","부산광역시 해운대구 좌동로10번길 51-5(1층 중동)","1","2","3","4",NA,"정제수","백설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5673","품목보고번호2018038974299","업소명농업회사법인(주)개성상인-제2공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명개성상인 석류 콜라겐","분류식품","업체명","농업회사법인(주)개성상인-제2공장","소재지","경기도 양주시 은현면 검준2길 382-13(1층일부)","1","2","3","4","5","석류과즙","식물혼합추출액","프락토올리고당","카복시메틸셀룰로스나트륨","콜라겐","","고형분 2% 이상","","","저분자콜라겐","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"홍삼성분 70mg/g, 고형분 60% 이상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
