"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","번호34","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","성분 및 원료34","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33","비고34"
"1","번호691","품목보고번호202103789446","업소명선도식품","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명파주쌀로만든 오늘은식혜","분류식품","업체명","선도식품","소재지","경기도 김포시 고촌읍 상미로9번길 31","1","2","3","4","엿기름","정제수","멥쌀","백설탕","국내산","","국내산","수입산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호690","품목보고번호19860443015592","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명파티 케어 (Party care)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","정제수","에리스리톨","사양벌꿀","배농축액","","","","","5","6","7","8","9","10","11","12","13","14","15","16","17","레몬농축액","혼합제제","타우린","기타가공품","아스파라거스추출분말","잔탄검","기타가공품","헛개나무과병추출분말","비타민C","아티초크추출분말","비타민B2","혼합제제","효모추출물","","레몬향","","네오큐민","","","수용성 밀크씨슬","","","","","필수아미노산8종 혼합제제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호689","품목보고번호2008033218013","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명파파의식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호688","품목보고번호19860443015268","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월","제품명팔간보 드링크","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","정제수","올리고당","사양벌꿀","배농축액","","프락토올리고당","","","5","6","7","8","9","10","11","12","13","14","15",NA,NA,"도라지농축액","헛개나무열매농축액","강황액","밀크씨슬추출물","혼합과일향","구연산","황금혼합추출물","모과향","타우린","L-아르지닌","효소처리스테비아",NA,NA,"","","강황추출물","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호687","품목보고번호1992044300365","업소명(주)팔도","품목유형혼합음료","유통/소비기한12개월  실온","제품명팔도 비락단호박식혜","분류식품","업체명","(주)팔도","소재지","충청북도 진천군 광혜원면 광혜원산단길 88","1","2","3","4","추출가공식품","백설탕","멥쌀","생강추출액","엿기름추출액","","","","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"단호박","비타민C","α-아밀라아제","α-아밀라아제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"증숙단호박","","반(BAN 480L)","펑가밀(Fungamyl 800 L)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호686","품목보고번호2007046409479","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명팔도 알로에베라(유럽용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","알로에베라겔크러쉬","백설탕","액상과당","구연산",NA,NA,NA,NA,"5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"젖산칼슘","구연산삼나트륨","비타민C","젤란검","알로에향1","알로에향2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호685","품목보고번호20070464094137","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명팔도 알로에석류(유럽용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","알로에베라겔Crush","백설탕","액상과당","구연산",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"젖산칼슘","젤란검","구연산삼나트륨","석류농축액","혼합제재","천연색소","알로에향","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호684","품목보고번호20110149027338","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팔팔 우슬보감","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","정제수","홍삼당침액","생선콜라겐","쇠무릅뿌리","","","","우슬","5","6","7","8","9","10","11","12","13","14","15","16","17","혼합제제","계피","겨우살이","오갈피나무","독활뿌리","한속단뿌리","황기","마가목나무껍질","두충","황칠나무","잇꽃","회화나무열매","닥나무가지","로커스트콩검, 잔탄검, 한천, 타마린드검","","","","","","","","","","","","","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","울금덩이뿌리","맥아","동출뿌리줄기","엉겅퀴","소나무잎","인동꽃봉오리","보스웰리아추출물분말","인삼열매농축액","지황","감초","작약뿌리","칡뿌리","왕느릅나무껍질","기타가공품","참당귀뿌리","염화칼륨","히알루론산","","","","","","","","","","","","","","","","",""
"9","번호683","품목보고번호20150375129198","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명팔팔허니","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","벌꿀","프락토올리고당","L-아르지닌","구연산(무수)","잡화꿀","","아르기닌","","5","6","7","8","9","10","11","12","13","14","15","16","17","비타민C","타우린","비타민미네랄혼합제제","황금혼합추출물","기타가공품","산화아연","호로파추출분말","아미노산혼합제제","생로얄젤리","기타가공품","비타민B1염산염","비타민B2","비타민B6염산염","","","비타민미네랄믹스(FS1)","복합황금추출물","마카젤라틴화분말","","","아미노산믹스","로얄젤리","헤마토코쿠스추출분말","","","","18","19","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민D3혼합제제","니코틴산아미드","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호682","품목보고번호201005430661077","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명팜스요거트 그린애플","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","정제수","기타과당","설탕","프락토올리고당","","","","","5","6","7","8","9","10","11","12","13","14","15","16","17","샤베트믹스","혼합분유","합성향료","구연산","두류가공품","포도당","구연산삼나트륨","메타인산나트륨","유화제","식용색소황색제4호","천연향료","기타가공품","식용색소황색제5호","유산균베이스(국산)","혼합탈지분유(네덜란드산)","청사과향","","대두다당류","","","","","착색료","청사과향","열처리혼합유산균3종","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
