"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","번호26","번호27","번호28","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고26","비고27","비고28"
"1","번호2294","품목보고번호19930461022322","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명연세NUTYOU넛유 7넛츠","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","혼합음료","말토덱스트린혼합제제","기타과당","백설탕","탄산칼슘혼합제제","글리세린지방산에스테르","정제소금","셀룰로오스혼합제제","향료","향료","카라기난","비타민E혼합제제","곡류가공품","당류가공품","정제수","혼합견과액","","","","","","","","아몬드향1","아몬드향2","","","쌀가루","번트카라멜시럽","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2293","품목보고번호19930461022323","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명연세NUTYOU넛유 마카다미아&캐슈넛","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","땅콩 또는 견과류가공품","땅콩 또는 견과류가공품","말토덱스트린혼합제제","백설탕","기타과당","아몬드페이스트","땅콩 또는 견과류가공품","탄산칼슘혼합제제","글리세린지방산에스테르","정제소금","셀룰로오스혼합제제","향료","향료","당류가공품","카라기난","마카다미아액","캐슈넛액","","","","","마카다미아믹스페이스트","","","","","아몬드향1","아몬드향2","번트카라멜시럽","","16","17","비타민E혼합제제","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2292","품목보고번호19930461022321","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명연세NUTYOU넛유 아몬드","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","땅콩 또는 견과류가공품","말토덱스트린혼합제제","백설탕","기타과당","탄산칼슘혼합제제","곡류가공품","글리세린지방산에스테르","정제소금","셀룰로오스혼합제제","향료","향료","당류가공품","카라기난","비타민E혼합제제","정제수","아몬드액","","","","","오트추출물","","","","아몬드향1","아몬드향2","번트카라멜시럽","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2291","품목보고번호20040275056472","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명연세백세 마카·헛개","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"정제수","사양벌꿀","대보농축액","마카추출분말","헛개나무열매분말","펙틴","구연산(무수)","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,"","","대보추출농축액","","헛개열매추출분말","펙틴JMJ","","스테비텐후레쉬",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2290","품목보고번호20040275056473","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명연세백세 배·도라지","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","배농축액","유자농축액","도라지농축액","펙틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2289","품목보고번호20040275056474","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명연세백세 자색 양배추","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","적양배추농축액","사과농축액","펙틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","펙틴JMJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2288","품목보고번호19930461022316","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명연세헬스케어 균형단백질","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","분리대두단백","혼합분유","기타가공품","팔라티노스","프락토올리고당","당류가공품","곡류가공품","난소화성말토덱스트린(고시형)","카라기난","레시틴","정제소금","제이인산칼륨","혼합제제","염화칼륨","합성향료","","혼합탈지분유","식물성단백분말","","","프락토화이버","19곡분말","화이바솔-2","","","","","비타민미네랄혼합제제ys12","","","16","17","기타가공품","탄산칼슘혼합제제","저분자단백질분말YS","탄산칼슘, 대두다당류","18","19","20","21","22","23","24","25","기타가공품","당류가공품","기타가공품","정제수","합성향료","설탕","중쇄중성지방유","옥수수기름(옥배유)","진득찰(희첨)추출분말","곡물믹스시럽","농축우유단백","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2287","품목보고번호19930461022330","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명연세헬스케어 균형단백질 플러스","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","원유","분리대두단백","탈지분유","기타가공품","팔라티노스","프락토올리고당","당류가공품","곡류가공품","난소화성말토덱스트린(고시형)","카라기난","레시틴","정제소금","제이인산칼륨","혼합제제","염화칼륨","","","","식물성단백분말","","","프락토화이버","19곡분말","화이바솔-2","","","","","비타민니메랄혼합제제ys12","","16","17","합성향료","기타가공품","시리얼향","저분자피쉬콜라겐Y","18","19","20","21","22",NA,NA,NA,"탄산칼슘","기타가공품","당류가공품","기타가공품","정제수",NA,NA,NA,"","진득찰(희첨)추출분말","곡물믹스시럽","농축우유단백","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2286","품목보고번호19930461022325","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명연세헬스케어 식물성단백질","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"두류가공품","분리대두단백","당류가공품","당류가공품","곡류가공품","곡류가공품","옥수수기름(옥배유)","효소처리스테비아","정제소금","L-시스틴","향료","정제수",NA,NA,NA,"파바빈프로틴","","곡물믹스시럽","현미시럽","라이스밀크파우더","블랙선식분말","","","","","시리얼향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2285","품목보고번호20180491044263","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 10개월(소비기한 선적용)","제품명연세헬스케어 진득찰 산양유 초유 단백질","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","우유","백설탕","분리대두단백","채종유(유채유 또는 카놀라유)","카제인칼슘","덱스트린","프락토올리고당","제삼인산나트륨","탄산칼슘","L-로이신","수용성비타민혼합제제","콜라겐","혼합제제","초유단백분말","","","","Newpro180k","","","","","","","","수용성비타민프리믹스ID2","피쉬콜라겐","비타프로CEC","","16","17","산양유분말","수산화마그네슘","산양유단백분말","","18","19","20","21","22","23","24","25","자당지방산에스테르","자당지방산에스테르","제이인산칼륨","땅콩향","바닐라향","정제소금","혼합제제","기타가공품","S-570","P-1670","","FC아로마/#10","FC아로마/#9","국산","아미노믹스","진득찰(희첨)추출분말","26","27","28","산화아연","혼합제제","비타민D3혼합제제","","폼크린(소포제)",""
