"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","성분 및 원료13","비고13"
"1","번호4802","품목보고번호1993062500650","업소명현대약품(주)","품목유형혼합음료","유통/소비기한12개월","제품명땡큐베리진생","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","액상과당","시클로덱스트린","구연산","구연산삼나트륨","합성향료","합성향료","감귤추출물분말","액상차","자주색고구마색소","정제수","비타민C","","","산도조절제","산도조절제","아세로라향(1611403)","복숭아향(FN3113-1445)","감귤추출물HD","증포인삼열매농축액(고형분55%이상)","C-7290","","",NA,NA,NA,NA,NA,NA
"2","번호4801","품목보고번호2006036821416","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일부터12개월","제품명땡큐비트식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","레드비트분말","쌀",NA,NA,NA,NA,NA,NA,"","정백당","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4800","품목보고번호2006036821417","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터6개월(냉동보관)","제품명땡큐수정과","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"계피","건생강","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4799","품목보고번호2006036821415","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명땡큐전통식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA,"","정백당","겉보리(국산)","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4798","품목보고번호2011052704676","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한1년","제품명떡미당우리쌀냉식혜(냉동)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"엿기름","백설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,"국산","","무농약","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4797","품목보고번호20110527046135","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명떡집찰보리식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"설탕","엿기름","찰보리쌀","정제수",NA,NA,NA,NA,NA,NA,NA,"","엿기름분말,국산","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4796","품목보고번호20090242118215","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명떡함지 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4795","품목보고번호201803359993","업소명디에스식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월(냉동)","제품명또 식혜 우엉","분류식품","업체명","디에스식품","소재지","경기도 고양시 일산서구 구산로135번길 66-21(나동 구산동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","맥아","건조우엉","백설탕","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4794","품목보고번호19920624042569","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명또봇사과","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","백설탕","사과농축액","구연산","사과향","자일리톨","젖산칼슘","비타민C","수크랄로스","홍삼농축액","비타민B2인산에스테르나트륨","비타민B6염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","정제수",NA,NA,NA,NA
"10","번호4793","품목보고번호19920624042570","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명또봇오렌지","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","백설탕","구연산","오렌지농축액","자일리톨","젖산칼슘","오렌지향","오렌지향","비타민C","수크랄로스","홍삼농축액","비타민B2인산에스테르나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","비타민B6염산염",NA,"13","정제수",NA
