"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","번호33","번호34","번호35","성분 및 원료33","성분 및 원료34","성분 및 원료35","비고33","비고34","비고35"
"1","번호4494","품목보고번호2018045601167","업소명대상웰라이프주식회사천안공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 마이키즈 초코맛","분류식품","업체명","대상웰라이프주식회사천안공장","소재지","충청남도 천안시 서북구 2공단5로 51(대상식품주 6.공장동 차암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","정제수","물엿","미강유(현미유)","설탕","카제인나트륨","카제인칼슘","비타민미네랄혼합제제","백설탕","프락토올리고당","코코아분말","결정셀룰로스","구연산칼륨","초코향","제3인산칼슘","분리대두단백","바닐라초콜릿향","고올레산해바라기유","자일리톨","EPA 및 DHA 함유 유지(고시형)","스테비아추출물","염화콜린","L-아스코르브산나트륨","이노시톨","비타민E혼합제제","비타민D3혼합제제","L-카르니틴","탄산수소나트륨","카라기난혼합제제","카라기난","카라기난혼합제제","건조효모","요오드칼륨","","저감미당","","유기농설탕","","","","","","","","","","","","","","","","","","","","","","","","젤란DS","","SD389","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4493","품목보고번호2021045702820","업소명대상웰라이프주식회사천안2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 퓨로틴 고소한맛","분류식품","업체명","대상웰라이프주식회사천안2공장","소재지","충청남도 천안시 서북구 2공단2로 112(1~3층 업성동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26",NA,NA,NA,NA,NA,NA,"정제수","분리대두단백","분리완두단백","옥수수기름(옥배유)","알룰로오스","덱스트린","구연산칼륨","탄산칼슘","곡류가공품","향료","향료","비타민혼합제제","염화칼륨","향료","L-카르니틴","탄산수소나트륨","수크랄로스","귀리단백","혼합제제","dl-α-토코페릴아세테이트","산화아연","비타민D3혼합제제","결정셀룰로스","혼합제제","카라기난","카라기난혼합제제",NA,NA,NA,NA,NA,NA,"","","","","","말토덱스트린","","","19곡물분말","씨리얼향","흑깨향","","","윈터메론향","","","","","폼제로 530F","","","","","젤란DS","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4492","품목보고번호2021045702821","업소명대상웰라이프주식회사천안2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 퓨로틴 초코맛","분류식품","업체명","대상웰라이프주식회사천안2공장","소재지","충청남도 천안시 서북구 2공단2로 112(1~3층 업성동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27",NA,NA,NA,NA,NA,"정제수","분리대두단백","분리완두단백","옥수수기름(옥배유)","코코아분말","알룰로오스","덱스트린","구연산칼륨","탄산칼슘","비타민혼합제제","향료","향료","염화칼륨","향료","L-카르니틴","탄산수소나트륨","스테비아추출물","수크랄로스","귀리단백","혼합제제","dl-α-토코페릴아세테이트","산화아연","비타민D3혼합제제","결정셀룰로스","혼합제제","카라기난","카라기난혼합제제",NA,NA,NA,NA,NA,"","","","","","","말토덱스트린","","","","초코향","밀크초콜릿향","","바닐라초콜릿향","","","","","","폼제로530F","","","","","젤란DS","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4491","품목보고번호2021045702822","업소명대상웰라이프주식회사천안2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 프로틴 올인원","분류식품","업체명","대상웰라이프주식회사천안2공장","소재지","충청남도 천안시 서북구 2공단2로 112(1~3층 업성동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","정제수","분리대두단백","백설탕","채종유(유채유 또는 카놀라유)","덱스트린","농축유단백","프락토올리고당","구연산칼륨","탄산칼슘","결정셀룰로스","카제인칼슘","향료","향료","염화마그네슘","향료","염화칼륨","정제소금","혼합제제","카라기난","카라기난혼합제제","판토텐산칼슘","기타 농산가공품","아미노산혼합제제","탄산수소나트륨","효소식품","산화아연","비타민B6염산염","비타민B1염산염","수크랄로스","기타가공품","혼합분유","유청단백분말","","","","","말토덱스트린","","","","","","","볶은곡물향","현미향","","곡물라떼향","","","젤란DS","","","","현미완두발효단백","","","12곡발효효소분말","","","","","4종 파라바이오틱스","산양혼합전지분유","농축유청단백","33","34","35","유청단백분말","유함유가공품","비타민D3혼합제제","분리유청단백","가수분해유청단백",""
"5","번호4490","품목보고번호20150403012323","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마이비타플러스","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민C","비타민B2","히알루론산","사과농축액","사과향","프락토올리고당","효소처리스테비아","타우린","판토텐산칼슘","글루콘산아연","구연산(무수)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","mf120446","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4489","품목보고번호201304950332","업소명(주)피엘","품목유형혼합음료","유통/소비기한12개월","제품명마이오투","분류식품","업체명","(주)피엘","소재지","전라북도 진안군 동향면 진성로 2144","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하암반수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4488","품목보고번호2006055613216","업소명(주)하늘마당","품목유형혼합음료","유통/소비기한제조일로부터 12월까지","제품명마이펫더블류","분류식품","업체명","(주)하늘마당","소재지","경상북도 상주시 화북면 문장로 2243-22","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4487","품목보고번호20190326100176","업소명우리바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마이포텐 아르지닌","분류식품","업체명","우리바이오 주식회사","소재지","경기도 안산시 단원구 성곡로 79(마동 1층일부, 지층,  3층일부, 4층일부 성곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-아르지닌","레몬농축액","구연산","사양벌꿀","프락토올리고당","오르니틴염산염","천연향료(Lemon)","비타민C","아미노산혼합제제","고형차","수크랄로스","잔탄검","정제수","니코틴산아미드","비타민B6염산염","비타민B1염산염","비타민B2","비타민B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","천연레몬향","","3종아미노산믹스","블랙마카분말","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4486","품목보고번호19890445014323","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명마이화이바슬림","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","폴리덱스트로스","농축사과과즙","구연산","향료1","향료2","안식향산나트륨","구연산삼나트륨","레드색소500L","스테비올배당체","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4485","품목보고번호20010515081437","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명마일두 오리지널","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"분리완두단백","채종유(유채유 또는 카놀라유)","백설탕","탄산칼슘","제이인산칼륨","정제소금","탄산수소나트륨","구연산칼륨","글리세린지방산에스테르","젤란검","바닐라향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
