"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고4","비고5","비고6","번호7","번호8","성분 및 원료7","성분 및 원료8","비고7","비고8","번호9","번호10","번호11","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호1873","품목보고번호201205561528","업소명한울식품 영농조합법인F2","품목유형혼합음료","유통/소비기한12개월까지","제품명유자주스","분류식품","업체명","한울식품 영농조합법인F2","소재지","경상북도 상주시 화동면 중화로 1428-1","1","2","3","유자청","유자원액","정제수","","국내산/무농약","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1872","품목보고번호1996055618061","업소명한울식품 영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명유자주스","분류식품","업체명","한울식품 영농조합법인","소재지","경상북도 상주시 화동면 이소1길 6-12","1","2","3","유자청","유자원액","정제수","","국내산(무농약)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1871","품목보고번호1996055618063","업소명한울식품 영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명유자주스후레쉬","분류식품","업체명","한울식품 영농조합법인","소재지","경상북도 상주시 화동면 이소1길 6-12","1","2","3","유자청","유자원액","정제수","","국내산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1870","품목보고번호2012055615234","업소명한울식품 영농조합법인F2","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명유자주스후레쉬","분류식품","업체명","한울식품 영농조합법인F2","소재지","경상북도 상주시 화동면 중화로 1428-1","1","2","3","유자청","유자원액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1869","품목보고번호2016051811783","업소명녹차원(주)","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명유자즙","분류식품","업체명","녹차원(주)","소재지","전라남도 고흥군 동강면 청정식품단지길 25-9","1","2","3","당침유자","유자과즙","정제수","유자퓨레","9Brix","","4","5","6","백설탕","구연산","비타민C","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1868","품목보고번호2011061812158","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명유채꽃에이드","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","설탕","액상과당","효소처리스테비아","","f-55","","4","5","6","구연산","합성향료","홍화황색소","","유채꽃향","","7","8","기타추출액","정제수","유채꽃혼합추출물(고형분1%)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1867","품목보고번호19920562023419","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명유채꽃한라봉에이드","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","구연산(결정)","설탕","기타과당","","","","4","5","6","한라봉농축액","유채꽃추출액","염화칼륨","60brix","","","7","8","수크랄로스","식용색소황색제4호","","","9","10","11","식품첨가물혼합제제","오렌지향","정제수","플라워향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1866","품목보고번호20170614111274","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명유피피내추럴석류콜라겐뷰티젤리스틱","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","석류농축액","생선콜라겐분말","로커스트콩검","65brix","생선콜라겐펩타이트분말","","4","5","6","카라기난","분말한천(고시형)","잔탄검","","","","7",NA,"타마린드검",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1865","품목보고번호19860443015533","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유학콜라겐히알-K","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","생선콜라겐","석류농축액","액상과당","피쉬콜라겐, GT콜라겐","","","4","5","6","자일리톨","구연산(무수)","딸기농축액","","","","7","8","석류향","천연딸기향","혼합제제","천연향료","9","10","11","히알루론산","비타민C","구연산삼나트륨","","","","12","13","14","15","16","17","안식향산나트륨","효소처리스테비아","비타민미네랄혼합제제","엘라스틴가수분해물","분말비타민D3혼합제제","정제수","","","비타민미네랄믹스-SA","","",""
"10","번호1864","품목보고번호20030355450174","업소명(주)대은바이오","품목유형혼합음료","유통/소비기한24개월","제품명유학홍삼녹용","분류식품","업체명","(주)대은바이오","소재지","경기도 파주시 광탄면 부흥로 482(가,나,바동)","1","2","3","홍삼추출액","녹용추출액","식물혼합추출물","고형분2%이상, 국산","고형분1%이상, 뉴질랜드","고형분 2%이상","4","5",NA,"프락토올리고당","볶은마카분말",NA,"","마카분말(수입산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
