"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고18","비고19","비고20","비고21","비고22"
"1","번호3410","품목보고번호2012049413442","업소명산야식품","품목유형혼합음료","유통/소비기한1개월","제품명생강식혜","분류식품","업체명","산야식품","소재지","전라북도 완주군 상관면 신리로 61(2층)","1","2","3","4","5","6","엿기름","설탕","생강","치자","멥쌀백미","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3409","품목보고번호2014060761426","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명생강쌍감골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","쌍화농축액","천궁엑기스","칡농축액","모과농축액","생강추출액","액상과당",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","13","14","15","16","17","구연산","구연산삼나트륨","덱스트린","잔탄검","정제염수","아세설팜칼륨","카라멜색소","비타민 B1라우릴황산염(고시형)","쌍화향","올레오레진 진저","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3408","품목보고번호19970464172124","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명생강쌍원진액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","쌍화농축액","건생강추출물","천궁농축액","당귀농축액","계피농축액","액상과당",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","13","14","15","16",NA,"흑설탕","말토덱스트린","구연산","정제염","구연산삼나트륨","카라멜색소","황금복합추출물","잔탄검","생강향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3407","품목보고번호201406076148","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명생강쌍화골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","쌍화농축액","백작약","참당귀","천궁","황ㄱ기","지황포제가공한뿌리",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","13","14","15","16","17","계피","감초","대추","건생강","액상과당","천궁엑기스","생강농축액","구연산","합성착향료","안식향산나트륨","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","19","20","21","22","카라멜색소","사카린산나트륨","소금","스테비텐","정제수",NA,NA,NA,NA,NA
"5","번호3406","품목보고번호1997046417269","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명생강쌍화골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","생강추출분말","쌍화농축액","당귀농축액","천궁농축액","생강농축액","계피농축액",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","13","14","15","16","17","액상과당","카라멜색소","구연산","비타에프엠","잔탄검","니코틴산아미드","구연산삼나트륨","정제염","효소처리스테비아","생강향","허브향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3405","품목보고번호19970464172493","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명생강쌍화골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","생강추출분말","쌍화농축액","참당귀농축액","천궁농축액","생강농축액","계피농축액","","","당귀농축액","","","","7","8","9","10","11","12","13","14","15","16","17","기타과당","카라멜색소","구연산","비타민B1라우릴황산염","잔탄검","니코틴산아미드","구연산삼나트륨","정제소금","효소처리스테비아","생강향","허브향","","","","비타에프엠","","","","","","","","18",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"7","번호3404","품목보고번호2015049604641","업소명생기찬(주)","품목유형혼합음료","유통/소비기한24개월","제품명생기 천마","분류식품","업체명","생기찬(주)","소재지","전라북도 무주군 무풍면 금척로 63","1","2","3","4","5","6","천마추출액","프락토올리고당","식물혼합농축액","당류가공품","잔탄검","도라지농축액","국내산","국내산","고형분60%(국내산)","슈가시럽(독일산)","","고형분60%(국내산)","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"참당귀농축액","구연산","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,"고형분50%(국내산)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3403","품목보고번호19920624042365","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명생기-D","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","농축사과과즙","액상과당","비타민C","구연산","벌꿀","타우린",NA,NA,NA,NA,NA,NA,"7","8","9","10","11",NA,NA,NA,NA,NA,NA,"니코틴산아미드","비타민B2","드링크향SW-3060","정제수","DL-사과산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3402","품목보고번호19830242017142","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명생기석류믹스","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","3","4","5","6","정제수","기타과당","올리고당","석류농축액","발효식초","사과농축액","","","","","현미식초","","7","8","9","10","11","12","13","14","15","16","17","구연산","설탕","오미자추출액","향료","스테비안45에스","DL-사과산","혼합제제","구연산삼나트륨","비타민C","카라멜색소","정제소금","","","","석류향","","","HI-RED1","","","","","18","19","20",NA,NA,"자몽종자추출물","기타 수산물가공품","사카린나트륨",NA,NA,"","피쉬콜라겐","감미료",NA,NA
"10","번호3401","품목보고번호19970464172296","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명생기엔 비타C 2000","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","비타민 C(고시형)","백설탕","농축사과과즙","구연산삼나트륨","타우린","효소처리스테비아",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12",NA,NA,NA,NA,NA,"니코틴산아미드","비타민 B2(고시형)","비타민B6염산염혼합제제","파인애플향","사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
