"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","성분 및 원료16","비고16"
"1","번호2424","품목보고번호19890445014598","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명에너지밤","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","백설탕","포도당결정분말","타우린","구연산","과라나추출물분말","합성착향료","구연산삼나트륨","이노시톨","혼차분말","니코틴산아미드","비타민 B1(고시형)","비타민B2","비타민 B6(고시형)","판토텐산칼슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2423","품목보고번호20020623009864","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월.","제품명에너지워터 레몬","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","레몬농축액","백설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","염화마그네슘","젖산칼슘","에리스리톨","타우린","수크랄로스","식용색소청색제1호","합성향료","합성향료","합성향료","","","","","","","","","","","합성감미료","합성착색료","시트러스향","혼합과일향","딸기향","16","정제수",""
"3","번호2422","품목보고번호19960458039603","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명에너지워터 블루레몬","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","설탕","혼합제제","혼합제제","혼합제제","구연산","레몬농축액","에리스리톨","구연산삼나트륨","정제소금","염화칼륨","젖산칼슘","타우린","염화마그네슘","수크랄로스","","","시트러스향 SKB-1310","후르츠믹스향 SC-191141","딸기향 K-170450","","고형분 65%","","","","","","","","","16","식용색소청색제1호",""
"4","번호2421","품목보고번호20190575042178","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명에너지워터 블루레몬","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","백설탕","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","구연산","레몬농축액","에리스리톨","구연산삼나트륨","정제소금","염화칼륨","젖산칼슘","타우린","염화마그네슘","수크랄로스","","","시트러스향","후르츠믹스향","딸기향","","이탈리아산","","","","","","","","","16","식용색소청색제1호",""
"5","번호2420","품목보고번호20020623009863","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월.","제품명에너지워터 자몽","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","자몽농축액","백설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","염화마그네슘","젖산칼슘","에리스리톨","혼합제제","비타민B6염산염","타우린","수크랄로스","합성향료","합성향료","","","","","","","","","","","","","합성감미료","","","16","정제수",""
"6","번호2419","품목보고번호20190575042141","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명에너지워터 핑크베리","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","백설탕","구연산","혼합제제","혼합제제","혼합제제","라즈베리주스농축물","에리스리톨","구연산삼나트륨","정제소금","염화칼륨","젖산칼슘","타우린","염화마그네슘","수크랄로스","","","","시트러스향 SKB-1310","라즈베리향 K-211834","라즈베리향 22105412","라즈베리쥬스농축액(고형분60%)","","","","","","","","","16","식용색소적색제40호",""
"7","번호2418","품목보고번호19960458039652","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명에너지워터 핑크베리","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","설탕","구연산","혼합제제","혼합제제","혼합제제","라즈베리주스농축물","에리스리톨","구연산삼나트륨","정제소금","염화칼륨","젖산칼슘","타우린","염화마그네슘","수크랄로스","","","","시트러스향 SKB-1310","라즈베리향 K-211834","라즈베리향 22105412","라즈베리쥬스농축액(고형분 60%)","","","","","","","","","16","식용색소적색제40호",""
"8","번호2417","품목보고번호20050555180757","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명에너지포텐 청포도 드링크","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"유단백가수분해물(고시형)","정제수","백설탕","타우린","비타민C","백포도농축액","구연산","청포도향","청포도향","과라나추출물분말","구연산삼나트륨","그린칼라","수크랄로스",NA,NA,"락티움","","","","","스페인산","함수구연산","혼합제제A, 청포도향#7","혼합제제B, 청포도향#4","","","혼합제제C, 그린칼라AF7(프로필렌글리콜, 정제수, 홍화황색소, 치자청색소)","",NA,NA,NA,NA,NA
"9","번호2416","품목보고번호20180491044214","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명에너지포텐 청포도 드링크","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"백설탕","백포도농축액","구연산","알로에베라겔농축분말","타우린","비타민C","구연산삼나트륨","과라나추출물분말","열처리유산균","수크랄로스","그린칼라","청포도향","청포도향","정제수",NA,"","칠레산","구연산(결정)","","","","","","EF-2001 유산균사균체분말","","그린칼라AF7","","","",NA,NA,NA,NA
"10","번호2415","품목보고번호1989044501499","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명에너지플러스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"당귀추출액","타우린","글리신","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
