"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호3967","품목보고번호2020044271680","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명베타9프리미엄","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","식물혼합추출물","정제수","기타과당","이소말토올리고당","벌꿀","대추농축액","감초농축액","비타민C","기타가공품","기타가공품","구연산","자몽종자추출물","펙틴","비타민B6염산염","니코틴산아미드","식염","비타민B1염산염","구연산삼나트륨","산화아연","고형분1%","","고과당","","","고형분60%","고형분55%","","치마버섯균사체배양물 (베타글루칸36.17%)","엔에스(NS)베타글루칸(베타글루칸75.68%)","","","","","","","","",""
"2","번호3966","품목보고번호201902802553","업소명(주)케이푸드코리아코퍼레이션","품목유형혼합음료","유통/소비기한제조일로부터 1개월","제품명베트남티베이스","분류식품","업체명","(주)케이푸드코리아코퍼레이션","소재지","경기도 성남시 중원구 순환로 210(주이노트리 3층 304,305호 상대원동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"침출차","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"자스민차","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3965","품목보고번호2013062801983","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명벨리불리 미네랄500수 제주","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","에리스리톨","구연산(무수)","복숭아향","DL-사과산","염화칼륨","복숭아향","수크랄로스","젖산칼슘","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2588",NA,NA,"2589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3964","품목보고번호19950433026546","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명변신자동차 또봇 골드키위맛","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"키위퓌레","백설탕","구연산","비타민C","카로틴","펙틴","수크랄로스","골드키위향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"골드키위퓌레","","구연산함수","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3963","품목보고번호19950433026536","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명변신자동차 또봇 딸기","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"딸기농축액","백설탕","구연산","구연산삼나트륨","젖산칼슘","수크랄로스","레드색소","니코틴산아미드","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","구연산함수","","","","레드파우다","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3962","품목보고번호19950433026547","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명변신자동차 또봇 밀크맛","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"백설탕","구연산","탈지분유","수크랄로스","크림소다향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","구연산함수","함수 구연산","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3961","품목보고번호2016052105313","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명변신자동차 또봇 오렌지","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오렌지향","오렌지향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오렌지향 1","오렌지향 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3960","품목보고번호19950433026537","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명변신자동차 또봇 요거트","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"블루베리농축액","백설탕","구연산","비타민C","가당연유","샤베트믹스","펙틴","수크랄로스","정제소금","요구르트향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","구연산함수","","함수 구연산","요구르트테이스트","정제염","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3959","품목보고번호19990555093230","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한24월","제품명별빛촌 발효오디뽕","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오디청","오디식초","식물혼합추출물","액상과당","혼합허브추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","발효오디식초[발효식초(사과식초), 오디발효원액(오디청),  기타식초(오디초)]","발효오디, 상지, 상엽, 상백피혼합추출물 (고형분 3%)","","복합허브추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3958","품목보고번호20110527046148","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월까지","제품명별양집궁중식혜(실온)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀","기타가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름분말,국산","","유기농(국산)","큰나무집명인궁중비법","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
