"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호5092","품목보고번호20110149027389","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명닥터윤 멀티케어BS 스킨바디밸런스","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","청포도농축액","Gunnera줄기","참취잎","알로에베라겔즙","엘라스틴가수분해물","카라기난","로커스트콩검","분말한천(고시형)","잔탄검","타마린드검","","사용부위 : 줄기, 음양곽","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5091","품목보고번호201804740282","업소명(주)이앤피","품목유형혼합음료","유통/소비기한1년","제품명닥터코아","분류식품","업체명","(주)이앤피","소재지","충청남도 부여군 외산면 지선로 130-53","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5090","품목보고번호19970464172371","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명닥터콜라겐","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","생선콜라겐분말","L-아르지닌","시클로덱스트린","DL-사과산","구연산","구연산삼나트륨","비타민C","기타과당","판토텐산칼슘","히알루론산","","","","","","","","","","","11","12","13","14","15","16","17","석류농축액","정제수","망고농축액","망고향","잔탄검","효소처리스테비아","아카시아검(고시형)","","","","합성향료","","","아카시아 식이섬유",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5089","품목보고번호20010515081441","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명닥터프로틴","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","탈지분유","콩기름(대두유)","소르비탄지방산에스테르","변성전분","구연산칼륨","분리대두단백","설탕","카제인칼슘","땅콩 또는 견과류가공품","호두페이스트","","","Almax 3800","에멀에이드","","","","","잣혼합페이스트","","11","12","13","14","15","16","17","사양벌꿀","재제소금(재제조소금)","탄산칼슘","인산철","건조효모(셀렌함유)","건조효모(크롬함유)","글루콘산아연","제균사양벌꿀","","","","","","","18","19","20","21","22","23","24","25","26","판토텐산칼슘","비오틴","비타민D3혼합제제","비타민믹스혼합제제","벌꿀향","혼합제제","혼합제제","혼합제제","정제수","","","","비타민믹스CEC","","곡물향","곡물향","곡물향",""
"5","번호5088","품목보고번호2021051907131","업소명엔피케이(주) 2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명닥터하이 365 포텐업","분류식품","업체명","엔피케이(주) 2공장","소재지","전라남도 담양군 담양읍 에코길 27-28","1","2","3","4","5","6","7","8","9","10","L-아르지닌","구연산(무수)","프락토올리고당","패션후르츠맛농축액","패션후르츠향","구연산삼나트륨","효소처리스테비아","오르니틴염산염","혼합제제","산화아연","","","액상","패션후르츠농축액","","","","","브라운칼라K","","11","12","13","14","15","16","17","L-카르니틴","서류가공품","수크랄로스","식물혼합농축액","비타민C","타우린","혼합제제","","마카분말","","","","","BCAA","18","19","20",NA,NA,NA,NA,NA,NA,"아미노산혼합제제","비타민미네랄혼합제제","정제수",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA
"6","번호5087","품목보고번호20110527046145","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명단감 식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5",NA,NA,NA,NA,NA,"엿기름","백설탕","멥쌀","정제수","단감",NA,NA,NA,NA,NA,"분말(국산)","","무농약","","단감즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5086","품목보고번호2013062007194","업소명재단법인 남해마늘연구소","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명단맛 미각테스트 126","분류식품","업체명","재단법인 남해마늘연구소","소재지","경상남도 남해군 이동면 남해대로 2465-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5085","품목보고번호2013062007195","업소명재단법인 남해마늘연구소","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명단맛 미각테스트 358","분류식품","업체명","재단법인 남해마늘연구소","소재지","경상남도 남해군 이동면 남해대로 2465-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5084","품목보고번호2013062007193","업소명재단법인 남해마늘연구소","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명단맛 미각테스트 512","분류식품","업체명","재단법인 남해마늘연구소","소재지","경상남도 남해군 이동면 남해대로 2465-8","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5083","품목보고번호2013062007197","업소명재단법인 남해마늘연구소","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명단맛 미각테스트 741","분류식품","업체명","재단법인 남해마늘연구소","소재지","경상남도 남해군 이동면 남해대로 2465-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
