"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호801","품목보고번호201005540707","업소명(주)생명나무","품목유형혼합음료","유통/소비기한제조일부터 2년 (실온)","제품명통감원","분류식품","업체명","(주)생명나무","소재지","경상북도 영주시 장수면 장수로220번길 33(G동)","1","2","3","정제수","식물혼합추출액","기타가공품","","","제품명:복합황금추출물, 제조사:(주)비에스티",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호800","품목보고번호19970368029378","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명통곶감을 넣어 만든 수정과","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","정제수","백설탕","계피추출액","","백설탕","고형분 0.8%","4","5","6","기타설탕","생강","곶감","흑설탕","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호799","품목보고번호20080395120674","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명통아몬드액","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2",NA,"통아몬드","정제수",NA,"2.44% 이상 투입","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호798","품목보고번호20080395120377","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명통아몬드액A","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2",NA,"과.채가공품","정제수",NA,"통아몬드페이스트(미국산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호797","품목보고번호20080395120442","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명통아몬드액D","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2",NA,"땅콩 또는 견과류가공품","정제수",NA,"통아몬드페이스트(아몬드:미국산, 고형분 95.7%)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호796","품목보고번호19970464172169","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명통청수","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","액상과당","귤껍질농축액","계피농축액","","진피농축액","","4","5","6","창출농축액","사철쑥농축액","감초농축액","","인진쑥농축액","","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","매실농축액","배농축액","구연산","구연산삼나트륨","l-멘톨","주정","효소처리스테비아","멘톨향","레몬라임향","L-카르니틴","정제수","생강농축액","아티초크추출분말","프로폴리스추출액","해당화잎","","","","","","","","","","","","","","","해당화잎추출물"
"7","번호795","품목보고번호20140395066253","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명투데이 곤약젤리 (깔라만시)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","정제수","과채주스","에리스리톨","","(깔라만시 원액)","","4","5","6","혼합제제","곤약분말","젖산칼슘","","","","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"천연오렌지향","수크랄로스","아세설팜칼륨","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호794","품목보고번호20140395066254","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명투데이 곤약젤리 (와일드망고)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","정제수","에리스리톨","혼합제제",NA,NA,NA,"4","5","6","구연산(무수)","곤약분말","구연산삼나트륨",NA,NA,NA,"7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,"젖산칼슘","망고향","망고농축액","수크랄로스","아세설팜칼륨","아프리카망고 종자추출물(IGOB131)(기능성원료인정제2015-14호)","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호793","품목보고번호20190413079123","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명투명이온","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","수크랄로스","아세설팜칼륨","과.채가공품","","","몽크후르츠농축과즙","4","5","6","구연산삼나트륨","젖산칼슘","염화마그네슘","","","","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,"L-글루탐산나트륨","정제소금","염화칼륨","구연산","DL-사과산","향료","향료","정제수",NA,NA,NA,NA,NA,NA,NA,"","국산","","","","자몽향","혼합과일향","",NA,NA,NA,NA,NA,NA,NA
"10","번호792","품목보고번호20000614238289","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명트로피칼깔라만시","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","칼라만시주스","백설탕","수크랄로스","깔라만시쥬스(베트남산)","","","4","5","6","아세설팜칼륨","구연산","비타민C","","함수구연산","","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,"구연산삼나트륨","칼라만시향","라임향","레몬향","식용색소황색제4호","안식향산나트륨","나타드코코","정제수",NA,NA,NA,NA,NA,NA,NA,"","깔라만시향","","","","","","",NA,NA,NA,NA,NA,NA,NA
