"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고5","비고6","비고7","비고8","번호9","성분 및 원료9","비고9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고10","비고11","비고12","비고13","비고14","비고15","번호16","성분 및 원료16","비고16"
"1","번호5272","품목보고번호20110493072268","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명내몸에 달콤, 허니","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","벌꿀","배농축액","레몬머틀잎추출액","비타민 C(고시형)","불가리아산","72bx, 국산","레몬머틀추출액 100","영양강화제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5271","품목보고번호1996043907558","업소명한국고려인삼영농조합법인","품목유형혼합음료","유통/소비기한2년","제품명내몸에 야채수","분류식품","업체명","한국고려인삼영농조합법인","소재지","충청북도 보은군 수한면 후평바리미길 32-6","1","2",NA,NA,"채소과일혼합농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5270","품목보고번호2017037259087","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명내몸은육두구","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","육두구추출액","정제수","쇠무릅추출액","용설란시럽","고형분 1.5%이상","","고형분1.5%이상","","5","6","7","8","프락토올리고당","감초농축액","생강농축액","기타가공품","","","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5269","품목보고번호19930571069355","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명내몸을 깨끗하게 스피루리나 스피원샷","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","스피루리나","백설탕","DL-사과산","라임향","스피루리나 페이스트","","","","5","6","7","8","레몬향","스테비아","비타민C","치자그린색소","","","","","9","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5268","품목보고번호20010515081217","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월(실온)","제품명내사랑 사과 드링크","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","사과농축액","액상과당","수크랄로스","구연산","사과과즙으로 4.76% 중국산","","함성감미료","","5","6","7","8","비타민C","카라멜색소비에이","사과향","사과향","","","","","9","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5267","품목보고번호19960458039438","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한페트ㆍ유리병 포장 : 제조일로부터 12개월, 캔 포장 : 제조일로부터 24개월","제품명내사랑 알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","정제수","설탕","알로에베라겔즙","덱스트린","","","","","5","6","7","8","구연산","혼합제제","젖산칼슘","혼합제제","","드링크에센스 K-70188","","화이트그레이프에센스","9","혼합제제","청포도향 FAC-04041","10","11","12","13","14","15","알로에베라겔농축분말","비타민C","탄산칼슘","구연산삼나트륨","젤란검","혼합제제","100:1(알로에베라겔로서 2%)","","","","","치자그린-비에스엘",NA,NA,NA
"7","번호5266","품목보고번호20090435035308","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명내일도 버디","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","정제수","레몬농축과즙","글루콘산마그네슘(고시형)","분말결정포도당","","","","무수결정포도당","5","6","7","8","젖산칼슘(고시형)","해조칼슘","혼합음료","효소처리스테비아","","수용성아쿠아민","라마르미네600","","9","레몬향","천연레몬향","10","11","12",NA,NA,NA,"글루콘산아연(고시형)","폴리감마글루탐산(고시형)","기타가공품",NA,NA,NA,"","","바실러스나토균 농축분말",NA,NA,NA,NA,NA,NA
"8","번호5265","품목보고번호20040360236121","업소명바산고려홍삼 주식회사","품목유형혼합음료","유통/소비기한제조일부터 2년까지","제품명내일맑음Q","분류식품","업체명","바산고려홍삼 주식회사","소재지","경기도 안성시 대덕면 모산로 431","1","2","3","4","헛개나무열매농축액","이소말토올리고당","액상과당","벌꿀류","지구자농축액","","","잡화","5","6","7","8","대추농축액","감초농축액","L-아스파트산","타우린","","","","","9","비타민 C(고시형)","","10","11","12","13","14","15","구연산삼나트륨","물엿","구연산(무수)","펙틴","자몽종자추출물","정제수","","","","","","","16","기타가공품","GlucanHeal(치마버섯균사체배양물)"
"9","번호5264","품목보고번호19970570162279","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한24월","제품명내일엔","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","정제수","액상과당","프락토올리고당","벌꿀","","","","","5","6","7","8","모과농축과즙액","사과농축액","합성착향료","구연산","","","모과향","무수","9","비타민C","","10","11","12","13","14",NA,"황금복합추출물","효소처리스테비아","L-아스파라긴","타우린","황칠나무추출분말",NA,"","","","","",NA,NA,NA,NA
"10","번호5263","품목보고번호19970570162287","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한12","제품명내일엔C","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","황칠","출분말","비타민C","정제수",NA,NA,NA,NA,"5","6","7","8","액상과당","프락토올리고당","벌꿀","모과농축과즙액",NA,NA,NA,NA,"9","사과농축액",NA,"10","11","12","13","14","15","타우린0","합성착향료","구연산","황금복합추출물","효소처리스테비아","L-아스파라긴",NA,NA,NA,NA,NA,NA,NA,NA,NA
