"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호821","품목보고번호20190413079109","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명토레타! THE 락토","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","결정과당","농축과채즙(또는과채분)","요구르트 혼합","두류가공품","혼합제제","혼합제제","혼합제제","기타과당","혼합제제","","","","혼합과채즙청징농축액","요구르트 베이스","대두다당류","토레타! by 아쿠아리우스 원제 제1A부","토레타! by 아쿠아리우스 원제 제1C부","토레타! THE 락토 원제 제2부","토레타! by 아쿠아리우스 원제 제3B부","혼합제제V2 원제 제2B부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호820","품목보고번호19800375002254","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한12개월 (PET,CAN)","제품명토레타! 로즈힙 워터","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","과당","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","당류가공품","기타가공품","식품첨가물혼합제제","","","(결정)","토레타! 로즈힙 워터 원제 제1A부(의왕시청 품목보고)","미닛메이드 스파클링 유자 원제 제1C부(의왕시청 품목보고)","토레타! by 아쿠아리우스 원제 제1C부(의왕시청 품목보고)","토레타! 로즈힙 워터 원제 제1E부(의왕시청 품목보고)","파워에이드 마운틴 블라스트 이온4 원제 제1C부(의왕시청 품목보고)","베리믹스분말(설탕, 과일분말)","로즈힙추출분말(시클로덱스트린, 로즈힙추출물21%, 말토덱스트린)","토레타! 로즈힙 워터 원제 제2부(의왕시청 품목보고)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호819","품목보고번호20100543066680","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명토레타! 로즈힙 워터","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","과당","정제소금","구연산","구연산삼나트륨","합성향료","천연향료","구연산칼륨","DL-사과산","염화칼륨","","","","오스트리아산","","","","","","","","12","13","14","15","16","17","18","19","20","염화마그네슘","비타민C","아세설팜칼륨","염화칼슘","기타가공품","제삼인산칼륨","당류가공품","수크랄로스","초산","","","감미료","","일본산-시클로덱스트린,로즈힙추출물,말토덱스트린","","베리믹스분말","감미료",""
"4","번호818","품목보고번호20070443110385","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명토레타! 로즈힙 워터","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","결정과당","혼합제제","혼합제제","혼합제제","혼합제제","혼합제제","당류가공품","로즈힙추출물분말","혼합제제","","","","토레타! 로즈힙 워터 원제 제1A부","미닛메이드 스파클링 유자 원제 제1C부","토레타! by 아쿠아리우스 원제 제1C부","토레타! 로즈힙 워터 원제 제1E부","파워에이드 마운틴 블라스트 이온4 원제 제1C부","베리믹스분말(설탕,과일분말)","","토레타! 로즈힙 워터 원제 제2부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호817","품목보고번호19920624042530","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명토마토쥬스","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9",NA,NA,"토마토 페이스트","액상과당","구연산","토마토향","토마토향","잔탄검","비타민C","락색소(300P)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호816","품목보고번호20140395066372","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명토비콤 아이비타","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","기타과당","블루베리농축액","사과농축액","블루베리향","구연산","비타민C","비타민믹스혼합제제","구연산삼나트륨","기타가공품","","","액상과당","고형분68%, 블루베리100%","고형분72%, 사과100%","","","","","","해마토코쿠스추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호815","품목보고번호19890445014340","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명토종가시오가피","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8",NA,NA,NA,"토종가시오가피식물혼합추출액","액상과당","캬라멜색소","효소처리스테아","카르복시메틸셀룰로오스나트륨","구연산","자몽종자추출액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호814","품목보고번호20050555180776","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명토종다래ADE","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","다래주스","구연산","덱스트린","향료","잔탄검","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소황색제5호","","","다래추출농축액","함수구연산","말토덱스트린","키위향","","","","","","12",NA,NA,NA,NA,NA,NA,NA,NA,"식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호813","품목보고번호19890445014515","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명토종산수유","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,NA,"산수유식물혼합추출액","액상과당","이소말토올리고당","카르복시메틸셀룰로오스나트륨","벌꿀","카라멜색소","구연산","산수유식물혼합추출액","창출",NA,NA,"고형분 2%이상","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호812","품목보고번호19890445014356","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명토종천마","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,NA,"마분말","도라지분말","농축사과과즙","벌꿀","액상과당","안식향산나트륨","잔탄검","마향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
