"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호2214","품목보고번호19970464172352","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오래간만","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","대추농축액","녹차농축액","헛개나무열매추출분말","칡농축액","오리나무농축액","귤껍질농축액","사양벌꿀","기타과당","글리신","비타민C","구연산","니코틴산아미드","타우린","효소처리스테비아","황금혼합추출물","판토텐산칼슘","비타민B1염산염","비타민B6염산염","트로피칼향혼합제제","크림소다향","폴리감마글루탐산","정제수","","","","","사용부위:오리나무수피","진피농축액","","","","","","","","","복합황금추출물","","","","합성향료(트로피칼후르츠향)","","",""
"2","번호2213","품목보고번호2017047406397","업소명극동에치팜(주) 2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명오렌디-톡","분류식품","업체명","극동에치팜(주) 2공장","소재지","충청남도 예산군 삽교읍 산단1길 144(극동에치팜주 2공장 1동, 2동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","오렌지농축액","난소화성말토덱스트린(고시형)","식이섬유(고시형)","자일리톨","프락토올리고당","석류농축액","DL-사과산","비타민 C(고시형)","에리스리톨","효소처리스테비아","효소혼합분말","L-카르니틴","α-아밀라아제","프로테아제","프로테아제","황금추출물","히비스커스추출분말","아미노산혼합제제","아미노산혼합제제","비타민미네랄혼합제제","녹차추출물분말(고시형)","정제수","모로블러드오렌지농축액","","아카시아식이섬유","","","","","","","","복합효소제","","아밀라아제(AD11P)","브로멜라인","파파인","복합황금추출물","","아미노믹스","BCAA혼합제제","","",""
"3","번호2212","품목보고번호19780614001274","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 캔 : 12개월, 페트 : 9개월","제품명오렌지","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오렌지농축액","기타과당","효소처리스테비아","구연산","구연산삼나트륨","펙틴","비타민C","오렌지향","오렌지향","오렌지향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brix 65.0","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2211","품목보고번호19780368002421","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한12개월(실온)","제품명오렌지","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오렌지농축액","액상과당","효소처리스테비아","구연산","구연산삼나트륨","펙틴","비타민C","오렌지향 1","오렌지향 2","오렌지향 3","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"스페인산","","","","","","","NOCKS 91-1204B","IFF ORANGE B-12531","SC-2002","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2210","품목보고번호19740344001258","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명오렌지 오일 비","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오렌지오일","씨트러스향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2209","품목보고번호1997061704821","업소명부산경남우유협동조합","품목유형혼합음료","유통/소비기한제조일부터 6개월","제품명오렌지동네","분류식품","업체명","부산경남우유협동조합","소재지","경상남도 함안군 칠서면 대부로 528","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","설탕","오렌지농축액","구연산","오렌지 향료","폴리덱스트로스","구연산삼나트륨","비타민C","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2208","품목보고번호20100543066603","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명오렌지드링크","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","당시럽","감귤농축액","오렌지농축액","설탕","구연산","DL-사과산","합성향료","구연산삼나트륨","비타민C","펙틴","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","국산, 배합함량: 감귤100%,감귤과즙으로 환원기준 2%","스페인산, 배합함량: 오렌지100%, 오렌지과즙으로 환원기준 3%","","","","오렌지향","","","","감미료","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2207","품목보고번호20000614238305","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오렌지라임에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,"과.채가공품","과.채가공품","라임농축액","설탕","수크랄로스","아세설팜칼륨","구연산","구연산삼나트륨","비타민C","오렌지향","자몽향","라임향","식용색소황색제4호","식용색소황색제5호","정제수",NA,NA,NA,NA,NA,NA,NA,"레몬분쇄과즙농축액","오렌지분쇄과즙농축","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA
"9","번호2206","품목보고번호19730380010397","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명오렌지에이드","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","과.채가공품","구연산","혼합제제","비타민C","수크랄로스","식용색소황색제5호","식용색소황색제4호","합성향료","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","오렌지농축액, 65 Brix","함수","화이트크라우디","","감미료","착색료","착색료","오렌지향1","오렌지향2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2205","품목보고번호2016044902175","업소명건승티앤비","품목유형혼합음료","유통/소비기한실온보관에서 제조일로부터 24개월","제품명오리지널 깔라만시 클렌즈","분류식품","업체명","건승티앤비","소재지","충청남도 천안시 동남구 성남면 성남로 230-21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"칼라만시주스","프락토올리고당","사과농축액","당시럽류","기타가공품","구연산","비타민 B2(고시형)","아미노산혼합분말","고추추출물분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","메이플시럽","콜라겐펩타이드(피쉬콜라겐)","","","아미노산믹스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
