"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호5752","품목보고번호19970464172488","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명365 x collagen(콜라겐)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","결정과당","생선콜라겐","시클로덱스트린","열대과일혼합농축액","석류농축액","믹스베리향","비타민 C(고시형)","구연산","다시마농축분말","구연산삼나트륨","DL-사과산","L-아르지닌","히알루론산","정제소금","판토텐산칼슘","나이아신(고시형)","비타민B6염산염","비오틴","비타민B2","","","피쉬콜라겐","","","","","비타민c100%","","","","","","","","","니코틴산아미드99%","비타민B6 82%","","비타민B2 100%"
"2","번호5751","품목보고번호20000614238282","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명youus 복숭아아이스티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","복숭아농축액","구연산","홍차추출분말","엿류","향료","향료","아세설팜칼륨","비타민C","향료","수크랄로스","혼합제제",NA,NA,NA,NA,NA,NA,NA,"","","","","","맥아엿","합성향료, 프로필렌글리콜, 정제수","주정, 정제수, 천연향료, 합성향료, 트리아세틴, 프로필렌글리콜","","","합성향료, 주정, 프로필렌글리콜, 글리세린","","정제수, 규소수지, 글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨",NA,NA,NA,NA,NA,NA,NA
"3","번호5750","품목보고번호20000614238346","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명youus 블랙레몬에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,"레몬농축액","라임농축액","설탕","구연산","수크랄로스","아세설팜칼륨","구연산삼나트륨","비타민C","오징어먹물분말","향료","향료","혼합제제","향료","식용색소청색제1호","식용색소적색제40호","식용색소황색제4호","정제수",NA,NA,NA,"레몬주스농축액","","","","","","","","오징어먹물추출분말","합성향료, 천연향료,주정,프로필렌글리콜","주정,천연향료,합성향료","주정,프로필렌글리콜,정제수,합성향료,천연향료,글리세린,트리아세틴,설탕","주정,정제수,합성향료","","","","",NA,NA,NA
"4","번호5749","품목보고번호20000614238286","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명youus 청포도에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"청포도농축액","설탕","수크랄로스","아세설팜칼륨","구연산","비타민C","구연산삼나트륨","향료","식용색소황색제4호","식용색소청색제1호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","청포도향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5748","품목보고번호201005540701","업소명(주)생명나무","품목유형혼합음료","유통/소비기한제조일로부터 2년까지(실온)","제품명健步元(건보원)","분류식품","업체명","(주)생명나무","소재지","경상북도 영주시 장수면 장수로220번길 33(G동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","식물혼합추출액","황금복합추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5747","품목보고번호201005540702","업소명(주)생명나무","품목유형혼합음료","유통/소비기한제조일로부터 2년까지(실온)","제품명健步元-S(건보원-s)","분류식품","업체명","(주)생명나무","소재지","경상북도 영주시 장수면 장수로220번길 33(G동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","식물혼합추출액","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","제품명:복합황금추출물, 제조사:(주)비에스티",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5746","품목보고번호20110149027379","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명天351 진생베리 콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔원액","베리류잎","생선콜라겐펩타이드분말","효소처리스테비아","로커스트콩검","잔탄검","카라기난","분말한천(고시형)","타마린드검",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","진생베리","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5745","품목보고번호19970464172171","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명眞(진)홍삼원","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,"홍삼농축액","대추농축액","계피농축액","당귀농축액","액상과당","말토덱스트린","카라멜색소","잔탄검","효소처리스테비아","구연산","구연산삼나트륨","홍삼향","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5744","품목보고번호20130415052166","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명网易严选 CCollagen","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","생선콜라겐","프락토올리고당","덩굴월귤농축액","세븐베리농축액","대추농축액","자일리톨","크랜베리향","구연산","효소처리스테비아","기타가공품","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,"","저분자피쉬콜라겐","액상","크랜베리농축액","","","","혼합제제, NR-13469","","","복합허브추출물E","",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5743","품목보고번호201905710259","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명雪 동궁식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"건조맥아","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
