"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","성분 및 원료20","비고20"
"1","번호3290","품목보고번호19810227007491","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명셀렉스 프로핏 웨이프로틴 초콜릿","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","유청단백분말","코코아분말","변성전분","식품첨가물혼합제제","탄산수소나트륨","식품첨가물혼합제제","소르비탄지방산에스테르","식품첨가물혼합제제","식품첨가물혼합제제","합성향료","아세설팜칼륨","식품첨가물혼합제제","수크랄로스","식품첨가물혼합제제","차카테킨","L-로이신","L-발린","L-이소로이신","","분리유청단백(덴마크산)","코코아파우더(스페인산)","변성전분","","산도조절제","혼합제제1(결정셀룰로오스,카라기난,CMC)","유화제","혼합제제(천연향료,합성향료)","혼합제제(천연향료,합성향료,탄닌산)","땅콩향","감미료","혼합제제2(규소수지,유화제,CMC,정제수)","감미료","혼합제제(천연향료,합성향료)","","","","",NA,NA,NA
"2","번호3289","품목보고번호2022068312910","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월(실온)","제품명셀렉스 프로핏 웨이프로틴 초콜릿","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","분리유단백분말","코코아분말","변성전분","L-로이신","향료","L-발린","혼합제제","탄산수소나트륨","소르비탄지방산에스테르","차카테킨","향료","향료","합성향료","아세설팜칼륨","혼합제제","수크랄로스","L-이소로이신","향료","","분리유청단백(덴마크산)","코코아파우더(스페인산)","에멀에이드","","초콜릿향 KD-1001","","결정셀룰로스, 카라기난, CMC","산도조절제","유화제","","다크초콜릿향 L-387746","밀크크림향 L-115730","땅콩향","감미료","규소수지, 유화제, CMC, 정제수","감미료","","밀크향 20D 10035",NA,NA,NA
"3","번호3288","품목보고번호2001024563810","업소명(주)닥터클로로필","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명셀렌필","분류식품","업체명","(주)닥터클로로필","소재지","울산광역시 울주군 범서읍 천상6길 12-9","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","건조효모추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3287","품목보고번호20030415157434","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명셀로맥스 간편한 세상","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,"프락토올리고당","정제수","댕댕이나무열매추출물분말","용설란시럽","라즈베리농축액","Saccharomyces cerevisiae","L-아르지닌","효모추출분말","개똥쑥추출물","아티초크추출분말","과일허브추출물분말","신양벚나무열매분말","효소처리스테비아",NA,NA,NA,NA,NA,NA,"","","댕댕이나무열매추출분말","아가베시럽","","","","","","","","몽모랑시타트체리분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3286","품목보고번호19860443015240","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월","제품명셀로맥스 강황의 힘","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,"정제수","팔라티노스","벌꿀","벌꿀","강황추출액","칼라만시농축분말","헛개나무과병추출분말(기능성원료인정제2014-1호)","밀크씨슬추출물","코코넛꽃액즙추출물","아미노산혼합제제","구연산","황금혼합추출물","로열젤리가공품","나한과추출물분말","합성향료","합성향료",NA,NA,NA,"","","마누카꿀","아카시아꿀","네오큐민","","","수용성밀크씨슬","코코넛꽃액즙","아미노리버믹스","무수구연산","복합황금추출물","효소처리로얄젤리분말","나한과추출분말","모과향","믹스드베리향",NA,NA,NA,NA,NA,NA
"6","번호3285","품목보고번호20030415157474","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 머슬매니아","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,"정제수","콜라겐가수분해물","오미자추출액","식물혼합농축액","열대과일혼합농축액","신양벚나무열매","자일리톨혼합제제","누에고치단백가수분해물","구연산","녹용추출분말","잔탄검","황금혼합추출물","사탕수수추출물",NA,NA,NA,NA,NA,NA,"","콜라겐펩타이드","오미자추출물","","트로피칼혼합농축액","타트체리농축액","","실크펩타이드","","발효녹용추출분말","","복합황금추출물","사탕수수추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3284","품목보고번호20060415215261","업소명주식회사 노바렉스 2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명셀로맥스 뷰티인사이드","분류식품","업체명","주식회사 노바렉스 2공장","소재지","충청북도 청주시 청원구 오창읍 각리1길 60(64)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"정제수","콜라겐가수분해물","유당","프락토올리고당","석류농축액","비타민 C(고시형)","히알루론산","돼지태반추출분말","구연산(무수)","석류향","포도잎추출물","시클로덱스트린시럽","엘라스틴가수분해물","효소처리스테비아","Red grape농축액","구연산삼나트륨","식용달팽이추출물분말","황금혼합추출물",NA,"","콜라겐펩타이드","","","","아세로라추출분말","","돈태반추출분말","","","포도잎추출물분말","","","","적포도농축액","","","복합황금추출물",NA,NA,NA,NA
"8","번호3283","품목보고번호19860443015251","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명셀로맥스 비트포유","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,"정제수","레드비트주스농축","코코넛꽃액즙","레몬농축액","블루베리농축액","황금혼합추출물","L-아르지닌","자색당근농축액","로얄젤리분말","구연산","믹스베리향","과라나추출물분말","매실향","L-카르니틴","옥타코사놀 함유 유지(고시형)",NA,NA,NA,NA,"","레드비트 주스농축액","코코넛 꽃즙 시럽","","","복합황금추출물","효소처리아르기닌분말","자색당근 주스농축액","효소처리로얄젤리분말","무수구연산","믹스드베리향","과라나추출분말","","","성균옥타코사놀-에스1",NA,NA,NA,NA,NA,NA,NA
"9","번호3282","품목보고번호20030415157439","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 소황제","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","망고농축액","식물혼합농축액","용설란시럽","바나나농축액","홍삼농축액(고시형)","매실농축액","열대과일향","나한과추출물분말","녹용추출분말","돼지태반추출분말","바닐라향","누에고치단백가수분해물","젤라틴","동결건조로얄젤리분말","잔탄검","흑효모배양액분말","제이인산칼슘","초유단백","","","","아가베시럽","","","","트로피칼믹스향","","분골추출분말","돈태반추출분말","바닐라향코톤","실크펩타이드","당나귀껍질젤라틴","효소처리로얄젤리분말","","","","우유","20","황금혼합추출물","복합황금추출물"
"10","번호3281","품목보고번호19860443015272","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀로맥스 속시원 액","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"식물혼합추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
